factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
T1D_pwy36_pc2 3 3 0.324 -0.652 0.457 0.339
T1D_pwy46_pc2 2 2 0.992 -0.008 0 0.978
T1D_pwy60_pc5 2 2 0.503 0.522 0.496 0.527
T1D_pwy6_pc2 2 2 0.16 0.886 0.938 0.318
allergy_pwy101_pc2 2 2 0.141 0.138 0.952 0.299
allergy_pwy10_pc3 2 2 0.961 0.008 0.004 0.863
allergy_pwy171_pc1 2 2 0.101 -0.261 0.975 0.086
allergy_pwy17_pc1 2 2 0.946 -0.014 0.007 0.822
allergy_pwy245_pc5 3 3 0.672 0.037 0.107 0.652
allergy_pwy259_pc3 2 2 0.009 -0.131 1 0.017
allergy_pwy281_pc2 2 2 0.854 -0.024 0.052 0.664
allergy_pwy28_pc4 2 2 0.81 -0.062 0.087 0.66
allergy_pwy31_pc1 2 2 0.008 -0.207 1 0.032
allergy_pwy37_pc3 2 2 0.931 -0.022 0.012 0.803
allergy_pwy40_pc3 2 2 0.616 -0.082 0.322 0.547
allergy_pwy60_pc5 2 2 0.985 -0.005 0.001 0.966
allergy_pwy6_pc1 2 2 0.808 -0.08 0.088 0.617
allergy_pwy78_pc1 2 2 0.094 0.145 0.978 0.132
allergy_pwy87_pc1 3 3 0.992 -0.002 0 0.992
allergy_pwy8_pc3 3 3 0.664 0.04 0.113 0.666
baso_pwy105_pc2 2 2 0.197 0.138 0.907 0.358
baso_pwy148_pc1 2 2 0.625 -0.087 0.309 0.581
baso_pwy150_pc3 2 2 0.944 -0.009 0.008 0.869
baso_pwy157_pc4 3 3 0.392 -0.085 0.369 0.302
baso_pwy281_pc2 2 2 0.453 0.125 0.574 0.528
baso_pwy74_pc4 3 3 0.003 -0.101 0.995 0.025
baso_pwy81_pc2 2 2 0.049 0.089 0.994 0.126
eo_pwy100_pc5 2 2 0.808 0.044 0.088 0.621
eo_pwy140_pc3 2 2 0.958 0.003 0.004 0.891
eo_pwy1_pc1 2 2 0.002 -0.106 1 0.007
eo_pwy225_pc4 2 2 0.554 -0.053 0.415 0.513
eo_pwy249_pc5 2 2 0.07 0.069 0.988 0.171
eo_pwy28_pc4 2 2 0.94 0.01 0.009 0.847
eo_pwy63_pc3 4 4 0.65 0.036 0.077 0.633
eo_pwy64_pc4 2 2 0.92 0.009 0.016 0.799
eo_pwy82_pc2 3 3 0.508 0.054 0.242 0.495
eo_pwy94_pc3 2 2 0.766 -0.018 0.129 0.591
gran_pwy116_pc4 3 3 0.56 0.018 0.194 0.46
gran_pwy117_pc3 2 2 0.836 0.01 0.065 0.647
gran_pwy126_pc2 2 2 0.813 0.012 0.084 0.624
gran_pwy129_pc3 2 2 0.843 -0.01 0.06 0.653
gran_pwy146_pc5 2 2 0.804 -0.02 0.092 0.614
gran_pwy151_pc4 2 2 0.867 -0.006 0.043 0.671
gran_pwy155_pc4 2 2 0.783 0.02 0.111 0.564
gran_pwy162_pc5 2 2 0.954 -0.003 0.005 0.843
