Category LV40-Enrichment LV40-Enrichment_p LV73-Enrichment LV73-Enrichment_p LV41-Enrichment LV41-Enrichment_p  LV29-Enrichment LV29-Enrichment_p LV15-Enrichment LV15-Enrichment_p
baseL2_0 1 NA 1 NA 1 NA NA 1 NA 1 NA
Coding_UCSC.bedL2_0 -1.6923942856345 0.0681415360909519 -4.78239927240425 0.006311366340128 -4.25407771762534 0.0937551112157572 NA -2.46676222949493 0.337269202799963 -0.765568275574761 0.525449106130435
Coding_UCSC.extend.500.bedL2_0 0.25835917999351 0.294532106725053 0.76067063690237 0.554656857458844 0.30892588890936 0.157407657652109 NA 0.894518578424828 0.818801390328964 0.911358848166972 0.853654896100236
Conserved_LindbladToh.bedL2_0 -0.0745562035552734 0.471825355914162 0.326269698962504 0.655737959844761 -3.04626104186708 0.0843562603631046 NA 1.75239046478931 0.635134386951226 -0.825700212341883 0.360258945699851
Conserved_LindbladToh.extend.500.bedL2_0 1.23060138908068 0.108402661055971 1.31002940951824 0.0110033685176658 1.45869518447803 0.00158581270537057 NA 1.25668567014321 0.0402682661046991 1.41104220254227 0.00206172419841598
CTCF_Hoffman.bedL2_0 1.20485771372699 0.917807909026408 1.76857272267083 0.683057088188964 -1.45987668626451 0.30308232311485 NA 0.632451913615285 0.860053364460887 4.31151464145325 0.167423025685063
CTCF_Hoffman.extend.500.bedL2_0 3.07021282657444 0.00261428445519251 3.56405812083767 3.52608116363823e-05 2.30076625405172 0.105148571371043 NA 2.43725521752645 0.0197046091050231 2.52514602179978 0.033611346526226
DGF_ENCODE.bedL2_0 0.96395187002391 0.952980649068701 1.4887124520546 0.519271126459713 1.42654492733992 0.692361823538026 NA 1.54810737533758 0.421401757904169 2.51776994957082 0.126229734483332
DGF_ENCODE.extend.500.bedL2_0 1.58845363976796 8.83818188137735e-07 1.66262065876336 9.57899197926751e-07 1.640459383437 1.58881065339798e-07 NA 1.56310397945723 1.19929038089736e-06 1.39061558997152 0.00270698366339645
DHS_peaks_Trynka.bedL2_0 1.41133301189995 0.631368014350895 2.22406254916378 0.193531127241903 0.852556751107762 0.904683371842993 NA 2.4684057294961 0.0844668532965981 3.31126064462489 0.0171695137216456
DHS_Trynka.bedL2_0 1.49489105336746 0.545708110084208 2.99169402387127 0.00836430065574721 2.64062933918697 0.0979474889942364 NA 2.15334583701856 0.0905353364146167 2.84018107494337 0.0103198822959579
DHS_Trynka.extend.500.bedL2_0 1.92838487787804 9.46286537064885e-13 1.71478289967731 1.05909986800892e-08 1.73013574128477 2.32009835470302e-06 NA 1.70805680052577 1.46548183699335e-07 1.81328111390669 4.84677121118671e-09
Enhancer_Andersson.bedL2_0 -0.825165276602775 0.698110332703399 -0.717215757986493 0.664806532392696 6.28882348092484 0.491697182387087 NA -7.00921500333229 0.110290125597974 -6.36478969763008 0.305030576042295
Enhancer_Andersson.extend.500.bedL2_0 2.26778093187862 0.371161329692219 2.75397275745571 0.070487514632056 3.57359718815327 0.119937280531551 NA 2.96201739616707 0.144300898421812 5.16045569554768 0.000558914590955088
Enhancer_Hoffman.bedL2_0 1.47669432401063 0.653214410757488 0.541512879306247 0.60888509561539 3.85549549869115 0.0463063242922655 NA 1.69174842759874 0.470783101347569 3.22092881447639 0.0295137052372717
Enhancer_Hoffman.extend.500.bedL2_0 1.64929448734404 0.121033160969142 2.11402588142609 0.00380436792427274 1.6858144498597 0.16601270067703 NA 1.23437147835522 0.61996466923791 1.23642356991058 0.58714630113675
FetalDHS_Trynka.bedL2_0 1.06729116313245 0.95297086804877 3.87727165274385 0.00410614878353736 2.88694590140813 0.130594781177485 NA 1.19865780689842 0.846862973170613 2.10731128620858 0.298752000058103
FetalDHS_Trynka.extend.500.bedL2_0 2.91331373218283 6.42512156856176e-14 2.76913957257664 1.66606799223615e-11 2.79574487932746 1.13290698379118e-08 NA 2.57857651448421 4.20965848441127e-10 2.60623830771389 5.07667294852041e-11
H3K27ac_Hnisz.bedL2_0 1.20086953513687 0.0219691761199952 1.42024005262283 9.46468257451195e-07 1.39948179193932 6.88427509820932e-05 NA 1.31779425676907 0.000305541323232638 1.41062833960394 3.24152212342004e-06
H3K27ac_Hnisz.extend.500.bedL2_0 1.37608659946427 4.51126859434988e-05 1.53446806078624 3.42195412550786e-08 1.52318937695612 5.38986384803451e-05 NA 1.39182905862487 0.000121559994417301 1.35805083985766 0.00174695463729897
H3K27ac_PGC2.bedL2_0 1.298509489889 0.0877154082413601 1.47598714109449 0.017392754624215 1.53273495591752 0.029491920571133 NA 1.25206449426267 0.206494048317607 1.29515370412693 0.119131266563006
H3K27ac_PGC2.extend.500.bedL2_0 1.37395139951143 0.00113575681802653 1.19119383577297 0.128264826095505 1.63804172739613 0.000243923220912593 NA 1.28878874888557 0.0329201422968307 1.49286533528755 0.00020726831303842
H3K4me1_peaks_Trynka.bedL2_0 0.961403730213772 0.946725793332542 1.83672457313113 0.0962452782007792 1.79072977196138 0.265778923473057 NA 0.826265340069104 0.706825871602349 1.18458109190082 0.740388578259053
H3K4me1_Trynka.bedL2_0 1.30859056528968 0.0479146829294216 1.42859039131903 0.00944829188795296 1.03561203768565 0.856630726061611 NA 1.53035929260358 0.000990967895993429 1.02409202431942 0.884739815347021
H3K4me1_Trynka.extend.500.bedL2_0 1.63527891079562 1.09866233790987e-22 1.55500328442592 2.72719071420837e-12 1.46368271394634 1.35714505862736e-07 NA 1.58598926012361 1.13608400804332e-08 1.5676880763952 1.86584141320647e-10
H3K4me3_peaks_Trynka.bedL2_0 0.515385713583418 0.645199319027589 1.39594766720746 0.733497794102736 1.43598542246247 0.757685010521457 NA 1.26746141351052 0.864808423998662 1.38286393762041 0.837003522243057
H3K4me3_Trynka.bedL2_0 1.36451226470231 0.344485944064062 1.72578864916062 0.0496189177996626 1.85848106256797 0.0396307070290392 NA 1.21000120400597 0.563823136108117 1.08873439936579 0.82271626754312
H3K4me3_Trynka.extend.500.bedL2_0 1.55391611260757 0.00361691173605886 1.47441436366005 0.0402858939350538 1.68375226972792 0.00336226500353606 NA 1.27510427294564 0.296523912458142 1.52649261718026 0.0144531313929785
H3K9ac_peaks_Trynka.bedL2_0 -0.836255142709984 0.272405387869061 0.10529219495154 0.503824971639308 2.92236912246569 0.282792601191124 NA 0.594195896958964 0.812697403190432 2.21752851861359 0.464340139611624
H3K9ac_Trynka.bedL2_0 0.36658968534921 0.121514946579724 1.08920189208482 0.816906440773845 0.802973780458384 0.7091579857045 NA 1.11481110494756 0.779769763945879 1.28825058494709 0.567963843788283
H3K9ac_Trynka.extend.500.bedL2_0 1.61167378660119 0.00832274731319178 1.45708503045952 0.015567702297906 1.4856149668054 0.0277831812089029 NA 1.70493825922662 0.000170055860995753 1.34714041591333 0.1335826034926
