factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.UC_pwy241_pc3 3 3 0.002 -0.501 0.996 0.018
EUR.UC_pwy242_pc2 2 1 0.455 -0.657 0.571 0.519
EUR.UC_pwy265_pc4 2 1 0.01 0.257 1 0.059
EUR.UC_pwy290_pc3 2 0 0.749 -0.306 0.148 0.567
EUR.UC_pwy294_pc3 2 0 0.756 0.18 0.14 0.57
EUR.UC_pwy295_pc4 2 0 0.733 -0.296 0.166 0.554
EUR.UC_pwy295_pc5 2 2 0.057 0.34 0.992 0.193
EUR.UC_pwy303_pc2 2 2 0.009 0.351 1 0.036
EUR.UC_pwy306_pc2 2 2 0.01 -0.508 1 0.02
EUR.UC_pwy314_pc2 2 2 0.01 -0.51 1 0.045
EUR.UC_pwy324_pc2 2 2 0.013 0.393 1 0.043
EUR.UC_pwy325_pc4 2 1 0.692 0.183 0.217 0.535
EUR.UC_pwy331_pc5 2 0 0.521 0.276 0.467 0.472
EUR.UC_pwy36_pc1 2 2 0.082 0.658 0.984 0.193
EUR.UC_pwy36_pc5 2 2 0.1 0.752 0.975 0.299
EUR.UC_pwy52_pc1 2 1 0.659 0.301 0.26 0.558
EUR.UC_pwy57_pc1 3 2 0.692 0.233 0.095 0.722
EUR.UC_pwy67_pc1 3 3 0.439 0.44 0.315 0.372
EUR.UC_pwy79_pc5 2 2 0.979 -0.016 0.001 0.927
EUR.UC_pwy86_pc1 2 2 0.008 0.631 1 0.023
EUR.UC_pwy86_pc4 2 2 0.46 0.755 0.563 0.517
T1D_pwy101_pc2 2 2 0.004 0.392 1 0.019
T1D_pwy127_pc4 3 3 0.829 -0.152 0.029 0.817
T1D_pwy128_pc2 2 2 0.867 0.111 0.043 0.723
T1D_pwy144_pc1 3 3 0.073 1.232 0.859 0.102
T1D_pwy145_pc1 2 2 0.126 0.533 0.961 0.21
T1D_pwy146_pc1 3 3 0.233 1.342 0.589 0.139
T1D_pwy158_pc3 2 2 0.825 -0.212 0.073 0.659
T1D_pwy163_pc3 2 2 0.852 0.117 0.053 0.684
T1D_pwy195_pc2 2 2 0.977 0.013 0.001 0.924
T1D_pwy207_pc1 2 2 0.04 0.479 0.996 0.104
T1D_pwy23_pc4 2 2 0.969 -0.016 0.002 0.917
T1D_pwy243_pc3 2 2 0.003 0.415 1 0.013
T1D_pwy253_pc4 2 2 0.855 -0.073 0.051 0.695
T1D_pwy281_pc2 2 2 0.094 -0.254 0.978 0.091
T1D_pwy283_pc2 2 2 0.106 0.344 0.973 0.267
T1D_pwy289_pc1 2 2 0.585 -0.316 0.368 0.589
T1D_pwy297_pc3 2 2 0.07 0.369 0.988 0.085
T1D_pwy314_pc1 3 3 0.39 0.355 0.372 0.411
T1D_pwy320_pc3 2 2 0.023 0.388 0.999 0.006
allergy_pwy10_pc3 2 2 0.028 -0.12 0.998 0.065
