factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
asthma_2_pwy131_pc4 2 0 0.856 1.537 0.982 -0.457771907986256 2.71554744668211e-11 0.661
asthma_2_pwy139_pc2 2 0 0.232 -4.043 0.528 -5.68950440986922 0 0
asthma_2_pwy140_pc4 3 0 0.883 -1.148 0.997 -0.723322238148514 1.44310147315469e-45 0.997
asthma_2_pwy155_pc2 2 0 0.1 -12.224 0.29 -12.090200969795 0 0
asthma_2_pwy160_pc4 2 2 0.024 -11.521 0.11 -11.5167868255364 0 0
asthma_2_pwy168_pc4 4 0 0.625 1.603 0.818 1.66476511176413 0.576194113712 0.793
asthma_2_pwy171_pc3 2 0 0.041 9.883 0.133 9.91294353541939 0 0
asthma_2_pwy172_pc5 2 0 0.145 -5.959 0.504 -5.86875907096893 0 0
asthma_2_pwy174_pc4 2 0 0.941 -0.792 0.744 -1.40146173329301 3.19775716479472e-154 0.729
asthma_2_pwy182_pc3 3 0 0.011 6.219 0.068 6.19443601042889 0 0
asthma_2_pwy182_pc4 2 0 0.086 8.376 0.225 8.43967873813843 0 0
asthma_2_pwy183_pc1 3 0 0.141 -4.742 0.423 -7.56986160630765 0 0
asthma_2_pwy185_pc4 4 0 0.08 -4.613 0.075 -8.0853644610662 3.46336638030399e-05 0.071
asthma_2_pwy185_pc5 6 0 0.328 -2.653 0.175 -2.1988709789066 0.346547401419145 0.599
asthma_2_pwy186_pc5 5 0 0.522 -1.905 0.338 -1.8884811231969 0.473390741599797 0.659
asthma_2_pwy189_pc4 3 0 0.706 3.885 0.497 5.13876229640974 0 0
asthma_2_pwy193_pc4 11 0 0.312 -1.745 0.208 -3.49046390136011 0.0348029437039797 0.033
asthma_2_pwy193_pc5 27 0 0.053 0.491 0.058 0.715226558341639 0.00536942269246568 0.012
asthma_2_pwy21_pc3 2 2 0.301 -3.306 0.477 -4.27935932584183 0 0
asthma_2_pwy213_pc1 2 2 0.996 -0.075 0.931 -1.49292712441847 5.78549891286695e-80 0.545
asthma_2_pwy219_pc4 2 0 0.262 3.545 0.466 3.60078673312688 0 0
asthma_2_pwy221_pc1 2 0 0.876 -1.451 0.804 1.27340039013046 2.87144372399728e-57 0.519
asthma_2_pwy224_pc1 2 2 0.903 -1.478 0.876 2.19295678652949 6.6433023715241e-153 0.843
asthma_2_pwy23_pc4 3 3 0.011 7.313 0.24 7.43838934490509 0 0
asthma_2_pwy238_pc1 3 0 0.003 -5.378 0 -5.35135498989624 0 0
asthma_2_pwy238_pc3 13 0 0.631 -0.551 0.596 -1.08205018418815 0.368606117545704 0.337
asthma_2_pwy238_pc4 7 0 0.706 0.688 0.492 -0.333705240324154 0.89244100013907 0.942
asthma_2_pwy238_pc5 28 0 0.026 -0.502 0.055 -0.71387491867271 0.00106876380440166 0.008
asthma_2_pwy241_pc2 2 0 0.056 12.74 0.414 12.789922387731 0 0
asthma_2_pwy246_pc5 3 0 0.522 2.426 0.669 0.98140527032592 1.17940028511893e-74 0.54
asthma_2_pwy266_pc1 2 0 0.024 -17.363 0.11 -17.4102590656334 0 0
asthma_2_pwy275_pc1 2 0 0.029 7.771 0.077 8.02978811436596 0 0
asthma_2_pwy275_pc3 3 0 0.824 1.077 0.989 -0.377571868738795 1.86369397273174e-26 0.925
asthma_2_pwy275_pc5 5 0 0.003 4.017 0.06 4.76138069605192 4.96933089809977e-15 0.047
asthma_2_pwy279_pc5 7 0 0.092 -2.55 0.034 -3.51507300029674 0.000756999709164106 0.016
asthma_2_pwy282_pc5 8 0 0.652 -1.194 0.627 -2.6589066901228 0.343502054132151 0.403
asthma_2_pwy285_pc3 2 2 0.849 1.984 0.889 -1.20272848932572 9.02328310286085e-68 0.425
asthma_2_pwy287_pc5 4 0 0.904 0.499 0.929 2.22086923721934 0.589185309939082 0.405
