factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_pwy197_pc3 2 2 0.022 -0.112 0.999 0.06
allergy_pwy207_pc1 2 2 0.871 -0.025 0.041 0.737
allergy_pwy209_pc1 2 2 0.836 -0.054 0.065 0.649
allergy_pwy210_pc3 2 2 0.886 0.015 0.032 0.728
allergy_pwy219_pc5 2 2 0.796 -0.032 0.099 0.594
allergy_pwy223_pc5 2 2 0.02 0.081 0.999 0.04
allergy_pwy224_pc5 2 2 0.03 0.1 0.998 0.046
allergy_pwy229_pc5 2 2 0.033 -0.108 0.997 0.097
allergy_pwy245_pc2 3 3 0.004 -0.28 0.993 0.017
allergy_pwy246_pc1 2 2 0.715 -0.106 0.187 0.605
allergy_pwy249_pc3 2 2 0.13 -0.192 0.959 0.278
allergy_pwy254_pc1 2 2 0.848 0.03 0.056 0.657
allergy_pwy255_pc2 2 2 0.669 -0.064 0.246 0.526
allergy_pwy258_pc2 2 2 0.681 -0.062 0.231 0.526
allergy_pwy281_pc2 2 2 0.888 0.015 0.031 0.731
allergy_pwy282_pc4 2 2 0.742 -0.032 0.156 0.534
allergy_pwy311_pc4 2 2 0.945 -0.01 0.007 0.843
allergy_pwy320_pc1 2 2 0.892 -0.035 0.029 0.703
allergy_pwy325_pc3 2 2 0.908 -0.024 0.021 0.798
allergy_pwy331_pc3 3 3 0.44 -0.105 0.314 0.298
allergy_pwy43_pc3 2 2 0.591 -0.134 0.358 0.505
allergy_pwy69_pc3 2 2 0.928 -0.02 0.013 0.804
allergy_pwy70_pc4 2 2 0.027 0.156 0.998 0.021
allergy_pwy89_pc4 3 3 0.782 0.03 0.048 0.802
baso_pwy112_pc5 2 2 0.027 -0.072 0.998 0.109
baso_pwy117_pc2 2 2 0.071 0.103 0.988 0.207
baso_pwy135_pc5 2 2 0.892 -0.011 0.029 0.702
baso_pwy136_pc5 2 2 0.826 -0.014 0.073 0.678
baso_pwy190_pc1 2 2 0.35 -0.115 0.726 0.302
