factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy85_peer4 3 3 0.889 0.016 0.908
pwy96_peer3 2 2 0.158 -0.18 0.274
pwy97_peer3 2 2 0.145 0.185 0.259
pwy97_peer4 3 3 0.058 0.242 0.154
pwy102_peer5 2 2 0.652 0.091 0.525
pwy108_peer2 2 2 0.039 0.137 0.09
pwy116_peer3 2 2 0.564 -0.106 0.51
pwy127_peer4 2 2 0.901 -0.025 0.637
pwy132_peer3 2 2 0.672 -0.078 0.514
pwy140_peer4 2 2 0.929 0.023 0.91
pwy148_peer3 3 3 0.046 -0.188 0.226
pwy164_peer4 3 3 0.64 -0.079 0.569
pwy17_peer5 2 2 0.927 -0.028 0.848
pwy182_peer2 2 2 0.177 -0.186 0.451
pwy185_peer4 2 2 0.746 -0.073 0.525
pwy226_peer3 3 3 0.242 0.13 0.252
pwy263_peer2 2 2 0.934 -0.018 0.849
pwy279_peer3 2 2 0.169 0.177 0.437
pwy28_peer2 2 2 0.689 0.069 0.514
pwy283_peer3 2 2 0.084 0.171 0.029
pwy285_peer3 3 3 0.024 -0.195 0.036
pwy287_peer3 2 2 0.249 -0.198 0.478
pwy307_peer4 2 2 0.041 -0.132 0.133
pwy309_peer3 2 2 0.703 -0.07 0.514
pwy48_peer3 2 2 0.088 2957.734 0.344
pwy62_peer3 2 2 0.068 0.164 0.108
pwy83_peer2 2 2 0.045 -0.139 0.054
pwy87_peer4 2 2 0.147 0.207 0.406
pwy9_peer3 2 2 0.047 0.16 0.187
pwy93_peer2 2 2 0.008 -0.138 0.016
