factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy113_peer1 2 2 0.881 0.227 0.801
pwy121_peer1 2 2 0.858 -0.155 0.757
pwy124_peer1 2 2 0.872 -0.087 0.785
pwy131_peer1 2 2 0.883 -0.124 0.809
pwy134_peer1 2 2 0.875 -0.043 0.789
pwy136_peer1 2 2 0.874 0.128 0.786
pwy137_peer1 2 2 0.874 -0.156 0.786
pwy142_peer1 2 2 0.885 0.153 0.817
pwy143_peer1 2 2 0.885 0.234 0.817
pwy144_peer1 2 2 0.889 -0.063 0.824
pwy151_peer1 2 2 0.875 -0.13 0.789
pwy152_peer1 3 3 0.217 0.168 0.192
pwy153_peer1 2 2 0.903 -0.047 0.848
pwy154_peer1 2 2 0.89 -0.069 0.826
pwy155_peer1 2 2 0.895 0.12 0.835
pwy157_peer1 2 2 0.88 -0.046 0.801
pwy158_peer1 2 2 0.861 0.067 0.765
pwy159_peer1 2 2 0.888 -0.162 0.823
pwy160_peer1 2 2 0.877 0.086 0.79
pwy163_peer1 2 2 0.879 0.077 0.796
pwy167_peer1 2 2 0.84 0.181 0.714
pwy169_peer1 2 2 0.902 -0.058 0.845
pwy183_peer1 2 2 0.856 -0.206 0.754
pwy187_peer1 2 2 0.838 -0.207 0.712
pwy193_peer1 2 2 0.226 0.166 0.138
pwy194_peer1 2 2 0.871 -0.045 0.785
pwy198_peer1 2 2 0.876 -0.053 0.789
pwy2_peer1 2 2 0.877 -0.042 0.79
pwy203_peer1 2 2 0.892 -0.041 0.827
pwy205_peer1 2 2 0.912 -0.064 0.868
pwy206_peer1 2 2 0.004 0.138 0.007
pwy210_peer1 2 2 0.885 -0.098 0.817
pwy213_peer1 2 2 0.891 -0.037 0.827
pwy218_peer1 2 2 0.898 -0.035 0.842
pwy223_peer1 2 2 0.892 -0.102 0.828
pwy227_peer1 2 2 0.904 0.039 0.853
pwy231_peer1 2 2 0.87 -0.046 0.78
pwy236_peer1 2 2 0.884 0.106 0.816
pwy24_peer1 2 2 0.867 -0.048 0.778
pwy241_peer1 2 2 0.898 -0.035 0.841
pwy244_peer1 2 2 0.883 -0.041 0.809
pwy244_peer2 2 2 0.972 0.007 0.956
pwy245_peer1 2 2 0.899 -0.036 0.843
pwy257_peer1 2 2 0.873 0.045 0.785
pwy259_peer1 2 2 0.882 -0.096 0.805
pwy267_peer1 2 2 0.882 -0.042 0.806
pwy268_peer1 2 2 0.878 -0.058 0.793
pwy279_peer1 2 2 0.859 0.229 0.762
pwy28_peer1 2 2 0.849 0.053 0.741
pwy288_peer1 2 2 0.876 0.236 0.789
pwy289_peer1 2 2 0.863 0.24 0.771
pwy292_peer1 2 2 0.858 -0.242 0.76
pwy293_peer1 2 2 0.872 -0.236 0.785
pwy294_peer1 2 2 0.883 0.355 0.812
pwy299_peer1 2 2 0.865 -0.158 0.774
pwy304_peer1 2 2 0.877 -0.092 0.79
pwy307_peer1 3 3 0.209 0.11 0.15
pwy312_peer1 2 2 0.856 -0.093 0.754
pwy315_peer1 2 2 0.887 0.134 0.82
pwy316_peer1 2 2 0.878 0.1 0.795
pwy317_peer1 2 2 0.878 0.045 0.793
pwy318_peer1 2 2 0.865 -0.055 0.774
pwy319_peer1 2 2 0.846 0.096 0.73
pwy320_peer1 2 2 0.278 -0.125 0.181
pwy321_peer1 2 2 0.225 -0.131 0.138
pwy321_peer4 2 2 0.233 0.138 0.333
pwy322_peer4 2 2 0.029 0.104 0.061
pwy323_peer2 3 3 0.959 0.009 0.973
pwy324_peer1 2 2 0.864 -0.119 0.772
pwy326_peer5 2 2 0.066 -0.152 0.124
pwy327_peer1 2 2 0.79 -0.08 0.643
pwy328_peer1 2 2 0.887 -0.039 0.82
pwy329_peer1 2 2 0.847 -0.049 0.734
pwy330_peer1 2 2 0.896 -0.04 0.839
pwy331_peer1 2 2 0.856 -0.06 0.756
pwy36_peer1 2 2 0.077 -0.156 0.149
pwy39_peer1 2 2 0.86 -0.051 0.763
pwy41_peer1 2 2 0.847 0.055 0.734
pwy43_peer1 2 2 0.902 0.02 0.841
pwy44_peer1 2 2 0.855 -0.049 0.754
pwy45_peer1 2 2 0.886 -0.023 0.822
pwy46_peer1 2 2 0.828 -0.057 0.692
pwy47_peer1 2 2 0.879 -0.043 0.797
pwy50_peer1 2 2 0.832 0.061 0.761
pwy53_peer1 2 2 0.849 -0.055 0.739
pwy56_peer1 2 2 0.857 -0.103 0.756
pwy57_peer1 2 2 0.842 0.057 0.721
