factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy307_pc1 3 3 0.882 -0.048 0.014 0.956
EUR.IBD_pwy322_pc3 2 2 0.025 -0.494 0.998 0.018
EUR.IBD_pwy345_pc5 2 2 0.841 0.103 0.061 0.588
EUR.IBD_pwy351_pc2 2 2 0.09 0.568 0.98 0.131
EUR.IBD_pwy355_pc1 2 2 0.829 -0.158 0.07 0.584
EUR.IBD_pwy35_pc3 2 2 0.741 -0.19 0.156 0.623
EUR.IBD_pwy36_pc3 2 2 0.097 -0.519 0.977 0.143
EUR.IBD_pwy403_pc5 2 2 0.094 0.525 0.978 0.313
EUR.IBD_pwy406_pc3 2 2 0.01 0.518 1 0.013
EUR.IBD_pwy430_pc3 2 2 0.085 0.366 0.982 0.173
EUR.IBD_pwy443_pc1 2 2 0.09 -0.6 0.98 0.313
EUR.IBD_pwy481_pc2 2 2 0.696 0.184 0.211 0.623
EUR.IBD_pwy484_pc5 2 2 0.763 -0.128 0.132 0.552
EUR.IBD_pwy486_pc5 2 2 0.763 -0.128 0.132 0.552
EUR.IBD_pwy521_pc1 2 2 0.028 0.63 0.998 0.108
EUR.IBD_pwy529_pc1 3 3 0.943 -0.024 0.003 0.939
EUR.IBD_pwy531_pc5 2 2 0.932 -0.015 0.011 0.859
EUR.IBD_pwy566_pc5 3 3 0.551 0.202 0.202 0.412
EUR.IBD_pwy579_pc1 2 2 0.97 -0.021 0.002 0.925
EUR.IBD_pwy596_pc4 2 2 0.14 0.506 0.953 0.36
EUR.IBD_pwy637_pc5 2 2 0.246 0.447 0.858 0.414
EUR.IBD_pwy641_pc1 2 2 0.934 -0.059 0.011 0.769
EUR.IBD_pwy650_pc4 3 3 0.845 0.066 0.024 0.927
EUR.IBD_pwy674_pc1 2 2 0.867 -0.11 0.043 0.666
EUR.IBD_pwy678_pc2 3 3 0.879 0.049 0.015 0.954
EUR.IBD_pwy719_pc3 4 4 0.999 0 0 1
EUR.IBD_pwy71_pc2 2 2 0.949 0.058 0.006 0.823
EUR.IBD_pwy802_pc5 2 2 0.051 0.238 0.994 0.168
EUR.IBD_pwy837_pc5 2 2 0.915 0.056 0.018 0.689
EUR.IBD_pwy907_pc4 2 2 0.024 0.612 0.999 0.063
EUR.IBD_pwy969_pc4 2 2 0.434 1.034 0.602 0.49
EUR.IBD_pwy971_pc4 2 2 0.02 -0.602 0.999 0.05
EUR.IBD_pwy976_pc2 2 2 0.025 0.452 0.998 0.074
EUR.IBD_pwy983_pc5 2 2 0.837 0.155 0.064 0.646
EUR.IBD_pwy984_pc1 2 2 0.862 0.125 0.046 0.604
EUR.IBD_pwy985_pc5 2 2 0.022 -0.581 0.999 0.016
EUR.UC_pwy100_pc2 2 2 0.106 -0.463 0.973 0.242
EUR.UC_pwy100_pc3 2 2 0.704 -0.209 0.201 0.519
EUR.UC_pwy1042_pc5 2 2 0.06 0.301 0.991 0.117
EUR.UC_pwy1075_pc1 2 2 0.869 -0.071 0.042 0.695
EUR.UC_pwy1097_pc2 2 2 0.927 -0.079 0.013 0.752
EUR.UC_pwy1101_pc4 2 2 0.002 -0.334 1 0.003
EUR.UC_pwy1106_pc1 2 2 0.104 0.781 0.973 0.197
EUR.UC_pwy1108_pc5 2 2 0.073 0.39 0.987 0.256
EUR.UC_pwy1113_pc2 4 4 0.275 0.31 0.371 0.198
EUR.UC_pwy1119_pc5 2 2 0.026 0.179 0.998 0.028
EUR.UC_pwy1120_pc4 2 2 0.077 -0.341 0.985 0.168
