factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy124_pc2 2 0 0.008 -0.032 0.018
pwy135_pc2 3 0 0.781 -0.01 0.804
pwy141_pc2 2 2 0.095 0.035 0.184
pwy142_pc2 2 0 0.945 -0.003 0.871
pwy149_pc5 3 3 0.559 0.032 0.508
pwy156_pc3 2 2 0.057 -0.064 0.118
pwy166_pc1 2 2 0.811 0.008 0.722
pwy175_pc4 3 3 0.709 -0.031 0.688
pwy18_pc2 2 0 0.012 0.042 0.027
pwy183_pc2 3 0 0.63 -0.012 0.613
pwy186_pc2 2 0 0.02 -0.041 0.046
pwy186_pc5 2 2 0.12 -0.12 0.079
pwy189_pc2 2 0 0.938 -0.005 0.858
pwy193_pc4 2 2 0.448 -0.08 0.435
pwy206_pc2 2 0 0.014 -0.048 0.031
pwy21_pc4 2 2 0.046 0.082 0.103
pwy221_pc2 2 0 0.973 0.001 0.951
pwy222_pc2 3 0 0.634 -0.015 0.613
pwy229_pc2 2 0 0.112 -0.048 0.237
pwy230_pc5 2 2 0.934 0.009 0.884
pwy231_pc2 3 0 0.642 -0.016 0.636
pwy231_pc5 2 2 0.568 -0.051 0.566
pwy238_pc5 2 0 0.965 -0.004 0.931
pwy251_pc5 2 2 0.021 -0.076 0.025
pwy259_pc2 2 0 0.984 0.001 0.973
pwy280_pc3 2 0 0.519 0.032 0.521
pwy297_pc4 3 3 0.003 -0.103 0.011
pwy301_pc2 2 0 0.91 -0.006 0.822
pwy304_pc2 3 0 0.592 -0.016 0.583
pwy305_pc2 4 0 0.867 -0.004 0.859
pwy308_pc2 3 3 0.628 0.016 0.625
pwy310_pc2 3 3 0.646 -0.013 0.652
pwy313_pc2 3 0 0.594 -0.016 0.583
pwy314_pc2 4 0 0.916 0.002 0.916
pwy315_pc2 3 0 0.618 -0.011 0.621
pwy316_pc2 3 0 0.64 -0.011 0.652
pwy317_pc2 2 0 0.001 -0.045 0.003
pwy318_pc2 3 0 0.749 0.009 0.767
pwy320_pc3 2 0 0.933 -0.007 0.853
pwy321_pc5 2 0 0.16 0.074 0.268
pwy325_pc4 3 0 0.82 0.014 0.838
pwy326_pc4 2 0 0.957 0.004 0.912
pwy37_pc3 3 3 0.75 0.031 0.764
pwy40_pc3 3 3 0.554 -0.034 0.51
pwy41_pc4 3 3 0.541 0.028 0.493
pwy54_pc2 2 0 0.013 0.035 0.027
pwy61_pc2 2 0 0.034 0.048 0.07
pwy61_pc4 2 2 0.078 -0.079 0.072
pwy62_pc5 4 4 0.007 -0.158 0.02
pwy71_pc1 2 2 0.039 0.072 0.085
pwy72_pc5 3 3 0.162 -0.084 0.119
pwy78_pc4 2 0 0.346 -0.078 0.31
pwy88_pc2 2 0 0.895 -0.007 0.807
pwy97_pc4 2 2 0.937 0.008 0.919
pwy99_pc4 3 3 0.9 -0.01 0.879
pwy100_pc1 2 2 0.704 -0.032 0.599
pwy106_pc4 2 2 0.039 -0.212 0.143
pwy107_pc1 2 2 0.7 -0.047 0.599
pwy128_pc1 2 2 0.711 -0.02 0.599
pwy170_pc3 2 2 0.148 0.172 0.358
pwy186_pc5 2 2 0.024 -0.2 0.016
pwy193_pc5 2 0 0.178 -0.172 0.354
pwy203_pc4 2 2 0.032 0.145 0.111
pwy21_pc1 2 2 0.702 0.047 0.599
pwy238_pc5 3 0 0.758 0.058 0.771
pwy252_pc3 2 2 0.008 0.257 0.033
pwy253_pc5 2 2 0.036 -0.433 0.021
pwy27_pc2 2 2 0.041 -0.196 0.151
pwy29_pc5 2 0 0.898 -0.067 0.695
pwy3_pc4 2 2 0.014 0.315 0.028
pwy320_pc3 3 0 0.768 0.053 0.786
pwy321_pc5 3 0 0.779 0.06 0.792
pwy325_pc4 3 0 0.785 0.054 0.801
pwy326_pc4 3 0 0.763 -0.055 0.772
pwy60_pc5 2 2 0.377 -0.278 0.379
pwy72_pc1 2 2 0.569 0.151 0.556
pwy84_pc3 2 2 0.011 -0.144 0.046
pwy85_pc2 2 2 0.036 -0.153 0.12
pwy85_pc3 2 2 0.045 -0.185 0.19
pwy85_pc5 2 2 0.047 0.24 0.152
pwy10_pc4 2 2 0.388 0.311 0.398
pwy11_pc5 2 2 0.878 -0.206 0.792
pwy14_pc5 2 2 0.025 0.662 0.04
pwy180_pc5 2 2 0.032 0.359 0.063
pwy187_pc5 2 2 0.74 0.167 0.611
pwy21_pc4 2 2 0.078 0.514 0.128
pwy211_pc4 2 2 0.913 0.035 0.85
pwy297_pc3 2 2 0.075 0.44 0.118
pwy332_pc3 3 3 0.813 0.051 0.845
pwy68_pc4 2 2 0.106 -0.582 0.247
pwy77_pc4 3 3 0.35 -0.485 0.313
pwy84_pc3 2 2 0.259 0.297 0.134
pwy97_pc4 2 2 0.078 -0.597 0.184
pwy99_pc4 2 2 0.079 0.755 0.185
pwy108_pc5 2 2 0.641 0.153 NA
pwy13_pc4 3 3 0.464 0.129 0
pwy179_pc4 2 2 0.516 -0.218 NA
pwy232_pc3 2 2 0.507 -0.131 NA
pwy243_pc5 3 3 0.554 0.626 0.75
pwy4_pc5 3 3 0.844 0.346 0.5
pwy62_pc1 2 2 0.66 0.119 NA
pwy103_pc5 2 2 0.776 -0.187 0.604
pwy110_pc5 2 2 0.069 0.468 0.198
pwy188_pc5 2 2 0.682 -0.359 0.495
pwy213_pc5 2 2 0.088 -0.519 0.242
pwy229_pc4 2 2 0.05 0.482 0.088
pwy279_pc4 2 2 0.057 -0.315 0.088
pwy140_pc4 2 2 0.346 0.059 0.331
pwy144_pc5 2 2 0.718 -0.02 0.662
pwy156_pc2 2 2 0.009 -0.06 0.016
pwy174_pc3 2 2 0.107 -0.068 0.215
pwy174_pc5 2 2 0.071 0.08 0.122
pwy185_pc4 4 4 0.421 0.05 0.446
pwy198_pc2 2 2 0.146 -0.04 0.229
pwy238_pc5 2 0 0.195 0.058 0.242
pwy24_pc5 2 2 0.694 0.062 0.603
pwy244_pc2 2 2 0.963 -0.003 0.93
pwy295_pc5 2 2 0.183 0.038 0.211
pwy320_pc3 2 0 0.271 0.058 0.26
pwy321_pc5 2 0 0.239 0.061 0.258
pwy322_pc4 2 2 0.808 -0.048 0.666
pwy325_pc4 2 0 0.231 0.058 0.258
pwy326_pc3 3 3 0.013 0.088 0.024
pwy326_pc4 2 0 0.212 -0.057 0.251
pwy33_pc3 3 3 0.6 -0.029 0.572
pwy60_pc3 2 2 0.086 0.117 0.14
pwy62_pc5 2 2 0.191 0.13 0.326
pwy69_pc5 2 2 0.956 -0.009 0.922
pwy97_pc4 2 2 0.058 0.073 0.104
pwy99_pc4 2 2 0.06 -0.093 0.105
pwy100_pc2 2 2 0.052 0.082 0.1
pwy13_pc1 2 2 0.98 0.002 0.96
pwy134_pc1 3 3 0.318 0.089 0.291
pwy14_pc1 2 2 0.138 -0.076 0.237
pwy141_pc1 2 2 0.381 0.115 0.368
pwy15_pc1 2 2 0.408 0.173 0.394
pwy153_pc4 2 2 0.004 -0.04 0.006
pwy153_pc5 2 2 0.055 0.049 0.09
pwy154_pc1 2 2 0.484 0.092 0.464
pwy168_pc5 2 2 0.028 0.063 0.03
pwy169_pc1 2 2 0.503 0.071 0.474
pwy171_pc5 3 3 0.013 -0.078 0.019
pwy193_pc5 5 0 0.131 0.045 0.144
pwy194_pc1 3 3 0.395 -0.106 0.355
pwy197_pc1 2 2 0.474 0.101 0.457
pwy198_pc1 2 2 0.119 -0.038 0.206
pwy209_pc1 2 2 0.48 0.176 0.461
pwy215_pc3 2 2 0.899 -0.019 0.834
pwy218_pc1 2 2 0.48 -0.087 0.461
pwy223_pc1 2 2 0.48 0.07 0.461
pwy226_pc1 2 2 0.496 0.106 0.47
pwy236_pc1 2 2 0.483 0.071 0.464
pwy238_pc3 2 2 0.123 -0.115 0.182
pwy238_pc5 4 0 0.213 -0.038 0.228
pwy242_pc1 2 2 0.465 -0.123 0.454
pwy29_pc2 2 2 0.065 0.054 0.11
pwy298_pc5 2 2 0.007 0.043 0.005
pwy314_pc5 2 2 0.04 -0.06 0.05
pwy317_pc4 2 2 0.108 0.066 0.17
pwy320_pc3 5 0 0.113 -0.041 0.13
pwy321_pc5 4 0 0.251 -0.044 0.258
pwy323_pc4 2 2 0.131 0.066 0.219
pwy325_pc4 5 0 0.151 -0.044 0.166
pwy325_pc5 2 0 0.055 0.08 0.06
pwy326_pc4 4 0 0.214 0.038 0.233
pwy326_pc5 4 4 0.168 0.086 0.182
pwy328_pc1 3 3 0.398 -0.08 0.359
pwy329_pc1 2 2 0.478 -0.116 0.461
pwy329_pc4 3 3 0.374 0.048 0.382
pwy35_pc1 2 2 0.421 0.28 0.412
pwy40_pc5 2 2 0.108 0.115 0.162
pwy43_pc1 2 2 0.382 -0.172 0.368
pwy46_pc1 2 2 0.48 0.161 0.461
pwy56_pc1 2 2 0.395 0.097 0.382
pwy57_pc1 2 2 0.423 0.14 0.413
pwy58_pc1 2 2 0.407 0.135 0.394
pwy59_pc1 2 2 0.442 0.18 0.433
pwy61_pc1 2 2 0.4 0.145 0.389
pwy74_pc1 3 3 0.393 0.134 0.355
pwy81_pc3 2 2 0.181 0.134 0.29
pwy83_pc4 2 2 0.028 0.066 0.052
pwy87_pc1 2 2 0.472 0.141 0.457
pwy12_pc1 2 2 0.969 -0.005 0.934
pwy130_pc1 2 2 0.997 0 0.99
pwy147_pc1 3 3 0.747 0.017 0.799
pwy148_pc1 3 3 0.787 0.021 0.841
pwy152_pc2 2 2 0.905 0.01 0.809
pwy156_pc2 2 0 0.106 0.084 0.203
pwy164_pc5 2 2 0 0.16 0.001
pwy170_pc1 3 3 0.544 -0.043 0.5
pwy183_pc1 2 2 0.91 0.006 0.825
pwy193_pc5 5 0 0.467 -0.046 0.507
pwy209_pc4 2 2 0.623 0.173 0.543
pwy21_pc1 2 2 0.041 -0.097 0.093
pwy21_pc3 2 2 0.101 0.203 0.151
pwy217_pc1 2 2 0.9 0.008 0.806
pwy22_pc1 2 2 0.119 0.084 0.234
pwy225_pc1 2 2 0.217 -0.118 0.366
pwy23_pc1 2 2 0.078 0.076 0.173
pwy238_pc3 2 0 0.047 0.197 0.102
pwy238_pc5 6 0 0.597 0.03 0.614
pwy243_pc1 2 2 0.092 0.118 0.179
pwy249_pc1 3 3 0.488 -0.046 0.418
pwy253_pc1 2 2 0.088 0.079 0.19
pwy260_pc1 2 2 0.867 0.02 0.757
pwy264_pc3 2 2 0.725 0.078 0.647
pwy29_pc1 2 2 0.1 -0.09 0.191
pwy30_pc1 2 2 0.071 -0.116 0.159
pwy304_pc1 2 2 0.873 0.012 0.763
pwy305_pc1 2 2 0.894 0.009 0.796
pwy308_pc1 2 2 0.891 0.011 0.791
pwy309_pc1 2 2 0.881 0.015 0.777
pwy312_pc1 2 2 0.89 0.01 0.79
pwy313_pc1 3 3 0.54 -0.039 0.491
pwy320_pc3 6 0 0.345 0.051 0.348
pwy321_pc5 6 0 0.573 0.035 0.589
pwy325_pc3 2 0 0.055 0.186 0.125
pwy325_pc4 6 0 0.564 0.034 0.578
pwy326_pc3 2 0 0.069 -0.184 0.148
pwy326_pc4 6 0 0.543 -0.033 0.561
pwy327_pc3 2 2 0.182 -0.204 0.328
pwy33_pc1 2 2 0.013 -0.099 0.028
pwy34_pc1 2 2 0.024 0.152 0.056
pwy39_pc1 3 3 0.838 -0.012 0.835
pwy43_pc3 2 2 0.036 0.19 0.052
pwy47_pc4 2 2 0.758 0.045 0.615
pwy49_pc2 2 2 0.969 0.008 0.926
pwy52_pc1 2 2 0.116 0.121 0.255
pwy61_pc5 2 2 0.057 0.146 0.115
pwy68_pc1 2 2 0.093 -0.106 0.193
pwy72_pc1 2 2 0.72 -0.13 0.559
pwy76_pc3 3 3 0.7 0.077 0.687
pwy78_pc1 2 2 0.077 0.084 0.146
pwy89_pc1 2 2 0.884 0.01 0.78
pwy139_pc3 2 2 0.145 -0.047 0.261
pwy167_pc5 2 0 0.127 -0.075 0.143
pwy174_pc5 2 2 0.045 0.065 0.092
pwy193_pc5 9 0 0.002 -0.049 0.003
pwy197_pc5 3 3 0.211 0.048 0.204
pwy200_pc3 2 0 0.908 -0.007 0.804
pwy222_pc3 2 2 0.86 0.011 0.738
pwy238_pc5 13 0 0 0.052 0
pwy242_pc3 2 2 0.786 0.035 0.656
pwy247_pc3 2 0 0.82 -0.019 0.697
pwy266_pc4 2 2 0.079 -0.068 0.111
pwy273_pc5 2 2 0.895 0.013 0.787
pwy279_pc5 3 3 0.799 0.015 0.831
pwy28_pc5 2 2 1 0 0.999
pwy29_pc3 3 3 0.488 -0.045 0.386
pwy301_pc3 2 2 0.082 0.077 0.151
pwy311_pc3 2 2 0.85 0.025 0.733
pwy32_pc2 2 2 0.034 0.113 0.07
pwy320_pc3 11 0 0.001 0.049 0.003
pwy321_pc5 11 0 0.009 0.046 0.009
pwy325_pc4 10 0 0.002 0.049 0.003
pwy325_pc5 4 0 0.116 -0.088 0.112
pwy326_pc4 12 0 0 -0.05 0
pwy331_pc4 4 4 0.041 -0.057 0.028
pwy34_pc5 2 2 0.057 0.143 0.122
pwy36_pc2 2 0 0.11 -0.076 0.212
pwy44_pc5 2 2 0.968 -0.005 0.926
pwy47_pc3 2 2 0.111 0.047 0.086
pwy60_pc3 2 2 0.163 0.072 0.224
pwy74_pc4 2 2 0.737 -0.051 0.605
pwy84_pc4 2 2 0.748 0.034 0.607
pwy85_pc4 3 3 0.873 0.01 0.89
pwy85_pc5 2 2 0.075 0.074 0.094
pwy86_pc5 2 2 0.77 0.035 0.625
pwy90_pc5 2 2 0.287 -0.149 0.212
pwy97_pc3 2 2 0.147 -0.062 0.26
pwy97_pc4 2 2 0.298 -0.104 0.44
pwy99_pc5 2 2 0.045 0.091 0.104
pwy108_pc2 2 2 0.069 0.05 0.21
pwy117_pc3 2 2 0.013 0.042 0.025
pwy127_pc4 4 4 0.83 0.008 0.749
pwy148_pc3 3 3 0.036 -0.116 0.207
pwy18_pc5 3 3 0.771 0.015 0.831
pwy198_pc2 2 2 0.086 0.052 0.281
pwy204_pc2 2 2 0.912 -0.009 0.846
pwy21_pc5 2 2 0.058 -0.149 0.206
pwy223_pc4 2 2 0.911 -0.012 0.694
pwy234_pc5 2 2 0.105 0.094 0.357
pwy254_pc4 2 2 0.031 0.079 0.084
pwy28_pc2 2 2 0.69 -0.041 0.514
pwy285_pc3 3 3 0.023 -0.061 0.038
pwy287_pc3 2 2 0.228 -0.063 0.468
pwy325_pc3 3 3 0.727 0.036 0.741
pwy42_pc3 2 2 0.682 -0.043 0.537
pwy48_pc3 2 2 0.098 -0.155 0.354
pwy64_pc2 2 2 0.042 -0.104 0.092
pwy83_pc2 2 2 0.043 -0.053 0.048
pwy93_pc2 2 2 0.012 0.035 0.016
