factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy279_pc5 2 2 0.874 -0.083 0.745
pwy320_pc3 6 0 0.047 -0.303 0.085
pwy321_pc5 5 0 0.036 -0.37 0.054
pwy322_pc4 2 0 0.023 -0.66 0.055
pwy325_pc4 5 0 0.039 -0.351 0.055
pwy325_pc5 6 0 0.02 0.823 0.028
pwy326_pc4 6 0 0.038 0.315 0.067
pwy326_pc5 2 2 0.769 -0.147 0.645
pwy328_pc5 4 0 0.799 0.053 0.817
pwy329_pc5 3 0 0.001 0.366 0
pwy330_pc4 3 0 0.61 -0.149 0.643
pwy66_pc5 2 2 0.012 0.424 0.028
pwy87_pc3 2 2 0.537 -0.312 0.548
pwy90_pc3 3 3 0.594 -0.132 0.616
pwy120_pc5 3 0 0.281 0.304 0.282
pwy140_pc4 2 0 0.298 -0.475 0.438
pwy146_pc4 2 0 0.003 0.361 0.007
pwy15_pc5 2 2 0.071 0.764 0.089
pwy156_pc2 2 2 0.072 0.382 0.144
pwy193_pc4 2 0 0.172 -0.77 0.276
pwy193_pc5 12 0 0 0.353 0
pwy22_pc4 2 0 0.45 0.518 0.493
pwy238_pc3 3 0 0.026 -0.563 0.043
pwy238_pc4 2 0 0.947 0.049 0.941
pwy238_pc5 13 0 0 -0.344 0
pwy24_pc4 3 3 0.498 0.244 0.384
pwy26_pc2 2 2 0.1 0.324 0.188
pwy28_pc4 3 3 0.361 0.315 0.358
pwy282_pc5 2 0 0.257 -0.618 0.38
pwy290_pc5 2 2 0.032 -0.342 0.075
pwy292_pc4 2 0 0.008 0.246 0.01
pwy320_pc3 14 0 0 -0.333 0
pwy321_pc3 4 0 0.621 0.166 0.66
pwy321_pc5 12 0 0 -0.372 0
pwy322_pc4 3 0 0.075 -0.526 0.141
pwy325_pc3 4 0 0.726 -0.099 0.752
pwy325_pc4 12 0 0 -0.359 0
pwy325_pc5 6 0 0.006 0.731 0.012
pwy326_pc3 3 0 0.699 -0.096 0.813
pwy326_pc4 13 0 0 0.333 0
pwy331_pc5 2 0 0.02 -0.892 0.037
pwy43_pc2 2 0 0.49 -0.217 0.555
pwy45_pc2 2 2 0.593 0.13 0.564
pwy5_pc3 2 0 0.598 0.186 0.668
pwy55_pc5 3 0 0.042 1.332 0.061
pwy101_pc4 2 2 0.018 -0.035 0.021
pwy103_pc2 2 0 0.737 0.035 0.62
pwy136_pc4 2 2 0.941 0.004 0.88
pwy138_pc3 2 0 0.124 -0.053 0.202
pwy16_pc2 2 2 0.046 0.033 0.046
pwy176_pc3 2 2 0.52 -0.048 0.496
pwy178_pc3 2 2 0.093 0.061 0.187
pwy180_pc4 2 2 0.258 -0.068 0.183
pwy19_pc2 2 2 0.247 -0.17 0.338
pwy193_pc5 9 0 0.001 -0.048 0.002
pwy197_pc5 2 2 0.113 0.062 0.086
pwy20_pc4 2 0 0.223 -0.061 0.23
pwy202_pc5 2 2 0.754 0.021 0.647
pwy203_pc4 2 2 0.103 -0.054 0.13
pwy222_pc3 2 2 0.951 0.004 0.906
pwy231_pc3 2 2 0.04 -0.067 0.098
pwy234_pc4 2 2 0.143 -0.104 0.264
pwy238_pc5 9 0 0.001 0.044 0.002
pwy253_pc5 2 0 0.148 -0.069 0.108
pwy258_pc4 2 2 0.058 -0.034 0.121
pwy259_pc5 2 2 0.072 0.073 0.155
pwy261_pc4 2 0 0.119 -0.131 0.188
pwy273_pc5 2 2 0.991 -0.001 0.984
pwy283_pc3 2 2 0.025 0.038 0.028
pwy284_pc4 2 2 0.018 0.037 0.021
pwy285_pc3 2 2 0.07 -0.045 0.143
pwy301_pc3 2 2 0.123 0.09 0.235
pwy301_pc4 2 2 0.026 -0.063 0.063
pwy306_pc5 2 0 0.107 0.12 0.162
pwy311_pc3 3 3 0.698 0.019 0.733
pwy320_pc3 10 0 0.001 0.043 0
pwy321_pc5 10 0 0.004 0.045 0.003
pwy322_pc4 3 0 0.094 0.082 0.09
pwy325_pc4 9 0 0.001 0.047 0.002
pwy325_pc5 5 0 0.652 -0.021 0.652
pwy326_pc4 10 0 0 -0.043 0
pwy328_pc2 2 2 0.007 -0.047 0.003
pwy331_pc4 3 3 0.082 -0.07 0.041
pwy34_pc5 2 2 0.055 0.145 0.12
pwy40_pc2 2 2 0.582 -0.035 0.547
pwy44_pc3 2 2 0.043 -0.049 0.048
pwy47_pc3 2 2 0.064 0.048 0.058
pwy64_pc3 2 2 0.959 -0.007 0.9
pwy70_pc1 2 2 0.119 -0.069 0.163
pwy85_pc4 2 2 0.828 0.018 0.695
pwy88_pc4 2 2 0.146 -0.108 0.283
pwy93_pc2 2 0 0.829 0.019 0.686
pwy97_pc3 3 3 0.509 -0.033 0.427
pwy97_pc4 3 3 0.014 -0.07 0.054
pwy99_pc4 3 3 0.021 0.084 0.082
pwy99_pc5 2 2 0.066 0.101 0.139
pwy101_pc1 2 2 0.88 0.007 0.801
pwy105_pc1 2 2 0.843 -0.015 0.722
pwy106_pc1 2 2 0.866 0.013 0.774
pwy111_pc1 2 2 0.861 -0.006 0.764
pwy113_pc1 2 2 0.867 -0.006 0.778
pwy114_pc1 2 2 0.886 -0.006 0.82
pwy116_pc1 2 2 0.885 -0.007 0.819
pwy121_pc1 2 2 0.861 -0.008 0.764
pwy124_pc1 2 2 0.87 -0.008 0.78
pwy125_pc1 2 2 0.879 -0.007 0.796
pwy125_pc5 2 2 0.155 0.104 0.207
pwy126_pc1 2 2 0.879 -0.008 0.795
pwy130_pc1 2 2 0.872 -0.01 0.785
pwy131_pc1 2 2 0.876 -0.007 0.789
pwy134_pc1 2 2 0.862 -0.015 0.765
pwy136_pc1 2 2 0.869 -0.007 0.779
pwy137_pc1 2 2 0.871 -0.007 0.785
pwy139_pc1 2 2 0.887 -0.005 0.821
pwy142_pc1 2 2 0.88 -0.007 0.797
pwy143_pc1 2 2 0.872 -0.005 0.785
pwy144_pc1 2 2 0.878 -0.008 0.795
pwy145_pc1 2 2 0.862 -0.008 0.765
pwy151_pc1 2 2 0.873 -0.006 0.785
pwy152_pc1 3 3 0.22 -0.041 0.196
pwy153_pc1 2 2 0.899 -0.006 0.843
pwy154_pc1 2 2 0.876 -0.009 0.789
pwy155_pc1 2 2 0.891 -0.006 0.827
pwy157_pc1 2 2 0.865 -0.013 0.773
pwy159_pc1 2 2 0.872 -0.006 0.785
pwy160_pc1 2 2 0.865 -0.01 0.774
pwy160_pc4 2 2 0.726 -0.049 0.631
pwy163_pc1 2 2 0.87 -0.008 0.78
pwy165_pc1 2 2 0.883 -0.006 0.812
pwy167_pc1 2 2 0.833 -0.009 0.7
pwy169_pc1 2 2 0.889 -0.007 0.825
pwy17_pc1 2 2 0.101 -0.068 0.177
pwy170_pc1 2 2 0.882 -0.01 0.806
pwy171_pc1 2 2 0.872 -0.009 0.785
pwy180_pc1 2 2 0.891 -0.006 0.827
pwy182_pc2 2 2 0.616 0.05 0.512
pwy183_pc1 2 2 0.862 -0.008 0.765
pwy185_pc1 2 2 0.832 -0.009 0.7
pwy185_pc4 2 2 0.006 0.053 0.007
pwy186_pc1 2 2 0.831 -0.009 0.7
pwy187_pc1 2 2 0.835 -0.009 0.705
pwy189_pc1 2 2 0 0.027 0
pwy193_pc1 3 3 0.19 -0.024 0.125
pwy194_pc1 2 2 0.866 0.015 0.774
pwy195_pc1 2 2 0.908 -0.007 0.864
pwy198_pc1 2 2 0.88 -0.01 0.801
pwy199_pc1 2 2 0.879 -0.007 0.795
pwy2_pc1 2 2 0.887 0.012 0.823
pwy201_pc1 2 2 0.9 -0.007 0.843
pwy202_pc1 2 2 0.893 -0.007 0.831
pwy203_pc1 2 2 0.879 -0.009 0.797
pwy204_pc1 2 2 0.911 -0.008 0.866
pwy205_pc1 2 2 0.898 -0.006 0.84
pwy206_pc1 3 3 0.942 0.003 0.959
pwy209_pc1 2 2 0.885 -0.017 0.817
pwy210_pc1 2 2 0.878 -0.008 0.793
pwy213_pc1 2 2 0.881 0.01 0.801
pwy214_pc1 2 2 0.889 -0.008 0.825
pwy218_pc1 2 2 0.892 0.008 0.831
pwy22_pc3 2 2 0.939 0.014 0.91
pwy223_pc1 2 2 0.88 -0.007 0.797
pwy227_pc1 2 2 0.908 0.007 0.864
pwy231_pc1 2 2 0.857 -0.013 0.757
pwy232_pc2 2 2 0.08 0.058 0.122
pwy236_pc1 2 2 0.885 -0.007 0.817
pwy24_pc1 2 2 0.872 0.012 0.785
pwy240_pc1 2 2 0.876 -0.014 0.789
pwy241_pc1 2 2 0.903 -0.01 0.848
pwy243_pc1 2 2 0.11 0.067 0.195
pwy244_pc1 2 2 0.881 -0.015 0.801
pwy244_pc2 2 2 0.966 -0.004 0.95
pwy245_pc1 2 2 0.891 0.009 0.827
pwy25_pc2 2 2 0.09 -0.192 0.142
