factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy101_pc5 3 2 0.567 0.169 0.188 0.451
EUR.CD_pwy111_pc2 2 2 0.921 -0.06 0.015 0.744
EUR.CD_pwy112_pc2 2 1 0.025 -0.522 0.998 0.049
EUR.CD_pwy133_pc2 2 2 0.167 -0.767 0.933 0.33
EUR.CD_pwy147_pc5 2 2 0.052 0.53 0.993 0.182
EUR.CD_pwy177_pc5 2 2 0.049 -0.243 0.994 0.138
EUR.CD_pwy208_pc1 2 1 0.866 -0.274 0.044 0.771
EUR.CD_pwy238_pc5 2 2 0.092 0.539 0.979 0.267
EUR.CD_pwy278_pc3 3 3 0.842 0.084 0.025 0.878
EUR.CD_pwy311_pc2 2 1 0.986 -0.013 0 0.929
EUR.CD_pwy317_pc2 3 2 0.594 0.271 0.165 0.492
EUR.CD_pwy320_pc5 3 3 0.555 -0.213 0.198 0.555
EUR.CD_pwy52_pc1 2 2 0.969 -0.037 0.002 0.926
EUR.CD_pwy63_pc1 2 2 0.046 0.659 0.995 0.114
EUR.CD_pwy63_pc3 3 2 0.687 -0.217 0.098 0.724
EUR.CD_pwy64_pc4 2 2 0.086 0.59 0.982 0.15
EUR.CD_pwy95_pc4 2 2 0.096 0.424 0.977 0.227
EUR.IBD_pwy121_pc1 2 2 0.015 -0.508 0.999 0.002
EUR.IBD_pwy12_pc1 2 2 0.006 -0.876 1 0.02
EUR.IBD_pwy13_pc3 2 2 0.12 -0.567 0.965 0.302
EUR.IBD_pwy193_pc2 2 1 0.583 -0.125 0.371 0.459
EUR.IBD_pwy209_pc3 2 2 0.184 -0.44 0.919 0.407
EUR.IBD_pwy223_pc1 2 2 0.021 0.622 0.999 0.049
EUR.IBD_pwy23_pc4 3 3 0.664 0.18 0.113 0.687
EUR.IBD_pwy255_pc4 2 2 0.104 -0.314 0.973 0.242
EUR.IBD_pwy275_pc1 2 1 0.012 -0.584 1 0.015
EUR.IBD_pwy278_pc3 2 2 0.866 -0.08 0.044 0.672
EUR.IBD_pwy279_pc1 3 2 0.798 0.131 0.041 0.884
EUR.IBD_pwy281_pc4 2 1 0.509 -0.132 0.486 0.434
EUR.IBD_pwy292_pc1 3 2 0.825 0.095 0.031 0.846
EUR.IBD_pwy294_pc1 2 2 0.025 0.541 0.999 0.066
EUR.IBD_pwy33_pc1 2 2 0.012 -0.529 1 0.041
EUR.IBD_pwy42_pc1 2 2 0.013 0.793 1 0.06
EUR.IBD_pwy44_pc4 2 2 0.066 0.518 0.989 0.254
EUR.IBD_pwy86_pc2 2 2 0.988 0.012 0 0.974
EUR.IBD_pwy98_pc2 2 2 0.057 0.635 0.992 0.191
EUR.UC_pwy121_pc1 2 2 0.076 0.76 0.986 0.254
EUR.UC_pwy125_pc1 2 2 0.114 0.556 0.968 0.037
EUR.UC_pwy132_pc2 3 3 0.784 0.154 0.047 0.826
EUR.UC_pwy134_pc5 2 2 0.835 -0.233 0.065 0.584
EUR.UC_pwy137_pc4 2 2 0.099 -0.256 0.976 0.293
EUR.UC_pwy140_pc5 2 1 0.27 0.88 0.831 0.443
EUR.UC_pwy145_pc1 2 2 0.078 -0.685 0.985 0.204
EUR.UC_pwy157_pc4 2 2 0.103 -0.327 0.974 0.01
EUR.UC_pwy158_pc3 3 3 0.674 0.168 0.106 0.677
EUR.UC_pwy162_pc1 3 3 0.018 0.476 0.964 0.115
EUR.UC_pwy169_pc5 3 3 0.007 -0.334 0.986 0.017
EUR.UC_pwy176_pc2 2 2 0.993 -0.004 0 0.961
EUR.UC_pwy177_pc3 2 2 0.129 -0.277 0.96 0.268
EUR.UC_pwy179_pc1 2 2 0.008 -0.794 1 0.034
EUR.UC_pwy182_pc1 2 1 0.193 1.126 0.911 0.441
EUR.UC_pwy184_pc2 2 2 0.982 -0.009 0.001 0.941
EUR.UC_pwy186_pc4 2 2 0.01 0.268 1 0.015
EUR.UC_pwy202_pc1 2 2 0.027 -0.499 0.998 0.017
EUR.UC_pwy203_pc1 2 2 0.981 0.014 0.001 0.924
EUR.UC_pwy204_pc1 2 2 0.892 0.118 0.028 0.638
EUR.UC_pwy210_pc1 2 1 0.012 -0.655 1 0.057
EUR.UC_pwy211_pc1 2 2 0.995 -0.004 0 0.978
EUR.UC_pwy225_pc1 2 2 0.912 -0.084 0.019 0.719
EUR.UC_pwy229_pc4 2 2 0.929 -0.058 0.012 0.808
EUR.UC_pwy23_pc4 3 3 0.926 0.037 0.006 0.937
EUR.UC_pwy23_pc5 2 2 0.002 -0.382 1 0.002
EUR.UC_pwy253_pc4 2 2 0.947 -0.043 0.007 0.884
EUR.UC_pwy256_pc4 2 2 0.899 -0.081 0.025 0.709
EUR.UC_pwy261_pc3 2 2 0.899 -0.073 0.025 0.727
EUR.UC_pwy265_pc1 2 2 0.167 -0.884 0.932 0.303
EUR.UC_pwy275_pc1 2 1 0.209 -0.941 0.896 0.453
EUR.UC_pwy275_pc2 2 2 0.013 0.568 1 0.047
EUR.UC_pwy279_pc1 3 2 0.459 -0.521 0.293 0.298
EUR.UC_pwy282_pc1 3 3 0.009 -0.53 0.982 0.043
EUR.UC_pwy288_pc1 2 2 0.948 0.043 0.007 0.808
EUR.UC_pwy294_pc1 2 2 0 0.499 1 0
