factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy312_pc4 3 3 0.454 0.366 0.298 0.484
EUR.IBD_pwy313_pc2 3 3 0.004 0.919 0.992 0.013
EUR.IBD_pwy321_pc5 2 1 0.311 -0.228 0.78 0.168
EUR.IBD_pwy325_pc4 2 1 0.319 -0.22 0.77 0.168
EUR.IBD_pwy325_pc5 2 1 0.59 0.326 0.361 0.468
EUR.IBD_pwy328_pc1 2 2 0.018 0.61 0.999 0.009
EUR.IBD_pwy330_pc1 2 2 0.014 0.523 0.999 0.006
EUR.IBD_pwy33_pc2 2 2 0.02 -0.416 0.999 0.04
EUR.IBD_pwy35_pc5 2 2 0.004 0.912 1 0.017
EUR.IBD_pwy42_pc1 2 2 0.012 -0.618 1 0.032
EUR.IBD_pwy42_pc4 2 2 0.135 1.084 0.956 0.255
EUR.IBD_pwy60_pc5 2 2 0.058 0.869 0.992 0.101
EUR.IBD_pwy66_pc5 3 3 0.51 0.256 0.24 0.329
EUR.IBD_pwy67_pc1 2 2 0.205 -2.979 0.9 0.258
EUR.IBD_pwy71_pc2 2 2 0.97 -0.041 0.002 0.912
EUR.IBD_pwy79_pc4 2 2 0.012 -0.79 1 0.038
EUR.IBD_pwy80_pc4 2 2 0.906 -0.121 0.022 0.765
EUR.IBD_pwy87_pc1 2 2 0.029 0.772 0.998 0.075
EUR.IBD_pwy87_pc2 2 2 0.795 0.318 0.1 0.743
EUR.IBD_pwy90_pc3 2 2 0.059 0.425 0.991 0.159
EUR.IBD_pwy94_pc3 2 2 0.002 0.298 1 0.009
EUR.IBD_pwy94_pc4 2 2 0.013 -0.492 1 0.031
EUR.IBD_pwy95_pc1 2 2 0.006 0.544 1 0.016
EUR.IBD_pwy99_pc1 3 3 0.003 0.676 0.995 0.019
EUR.IBD_pwy99_pc4 4 4 0.41 0.33 0.233 0.379
EUR.UC_pwy100_pc3 2 2 0.981 0.04 0.001 0.944
EUR.UC_pwy108_pc3 2 2 0.759 0.291 0.137 0.523
EUR.UC_pwy119_pc4 2 2 0.021 0.458 0.999 0.015
EUR.UC_pwy136_pc5 2 2 0.866 -0.109 0.043 0.652
EUR.UC_pwy145_pc1 3 3 0.605 0.656 0.156 0.549
EUR.UC_pwy158_pc2 2 2 0.968 -0.042 0.002 0.88
EUR.UC_pwy171_pc1 2 2 0.003 -1.387 1 0.012
EUR.UC_pwy184_pc1 2 2 0.122 1.102 0.964 0.369
EUR.UC_pwy205_pc3 2 2 0.909 -0.15 0.02 0.739
EUR.UC_pwy210_pc3 2 2 0.131 -0.941 0.958 0.276
EUR.UC_pwy218_pc1 3 3 0.49 -0.887 0.26 0.384
EUR.UC_pwy238_pc4 2 0 0.082 -1.303 0.983 0.038
EUR.UC_pwy23_pc4 2 2 0.843 -0.165 0.06 0.656
EUR.UC_pwy246_pc1 2 2 0.09 1.124 0.98 0.147
EUR.UC_pwy24_pc1 2 1 0.1 -0.891 0.975 0.323
EUR.UC_pwy24_pc4 2 1 0.927 0.081 0.013 0.773
EUR.UC_pwy266_pc2 2 2 0.935 0.112 0.01 0.77
EUR.UC_pwy26_pc3 2 2 0.931 -0.111 0.012 0.743
EUR.UC_pwy272_pc2 2 1 0.601 -0.879 0.344 0.495
EUR.UC_pwy278_pc1 2 2 0.874 0.253 0.038 0.611
EUR.UC_pwy283_pc1 2 2 0.777 -0.385 0.117 0.694
EUR.UC_pwy287_pc5 2 1 0.936 0.087 0.01 0.914
EUR.UC_pwy292_pc5 2 1 0.928 -0.074 0.013 0.881
