factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy789_pc3 2 2 0.034 -1.03 0.997 0.007
EUR.CD_pwy906_pc3 2 2 0.221 1.983 0.884 0.39
EUR.CD_pwy912_pc3 2 2 0.805 -0.65 0.091 0.527
EUR.CD_pwy917_pc5 2 2 0.678 0.716 0.234 0.61
EUR.CD_pwy931_pc5 3 3 0.771 -0.236 0.052 0.855
EUR.CD_pwy953_pc3 2 2 0.658 -1.883 0.262 0.585
EUR.CD_pwy95_pc2 3 1 0.016 -0.801 0.968 0.031
EUR.CD_pwy973_pc2 2 2 0.904 0.189 0.023 0.738
EUR.CD_pwy97_pc1 2 1 0.543 -0.648 0.433 0.476
EUR.IBD_pwy1000_pc5 2 2 0.944 -0.055 0.008 0.84
EUR.IBD_pwy1004_pc1 2 1 0.047 -2.076 0.995 0.019
EUR.IBD_pwy1014_pc3 2 2 0.881 0.138 0.035 0.712
EUR.IBD_pwy1023_pc3 2 2 0.022 -0.603 0.999 0.044
EUR.IBD_pwy1034_pc3 3 3 0.545 0.201 0.207 0.384
EUR.IBD_pwy1035_pc3 2 2 0.041 -0.587 0.996 0.129
EUR.IBD_pwy1038_pc4 4 4 0.843 -0.069 0.015 0.821
EUR.IBD_pwy1039_pc4 2 2 0.119 0.996 0.966 0.325
EUR.IBD_pwy1040_pc4 2 2 0.119 0.996 0.966 0.325
EUR.IBD_pwy1044_pc3 2 1 0.803 0.263 0.093 0.544
EUR.IBD_pwy1059_pc1 3 3 0.304 1.175 0.485 0.254
EUR.IBD_pwy1060_pc5 2 2 0.04 -0.508 0.996 0.101
EUR.IBD_pwy1061_pc2 2 2 0.147 1.169 0.947 0.225
EUR.IBD_pwy1064_pc4 5 5 0.811 0.088 0.016 0.84
EUR.IBD_pwy1071_pc5 3 3 0.399 -0.443 0.361 0.329
EUR.IBD_pwy1074_pc5 3 3 0.571 0.299 0.184 0.417
EUR.IBD_pwy1076_pc4 2 2 0.13 -0.715 0.959 0.058
EUR.IBD_pwy1081_pc2 3 3 0.618 0.363 0.146 0.53
EUR.IBD_pwy1082_pc3 3 3 0.908 0.122 0.009 0.967
EUR.IBD_pwy1082_pc4 3 3 0.752 -0.142 0.061 0.801
EUR.IBD_pwy1083_pc4 4 4 0.472 -0.279 0.183 0.537
EUR.IBD_pwy1085_pc2 2 2 0.869 0.195 0.041 0.654
EUR.IBD_pwy1085_pc4 2 2 0.684 -0.301 0.227 0.592
EUR.IBD_pwy1089_pc5 2 2 0.987 -0.018 0 0.978
EUR.IBD_pwy1094_pc5 2 2 0.861 -0.083 0.047 0.682
EUR.IBD_pwy1096_pc4 3 3 0.948 -0.031 0.003 0.971
EUR.IBD_pwy1098_pc1 2 2 0.012 1.226 1 0.045
EUR.IBD_pwy1099_pc1 2 2 0.025 1.428 0.998 0.076
EUR.IBD_pwy1103_pc5 2 2 0.053 -0.407 0.993 0.139
EUR.IBD_pwy1105_pc5 2 2 0.003 0.41 1 0.007
EUR.IBD_pwy1109_pc5 2 2 0.053 -0.407 0.993 0.139
EUR.IBD_pwy110_pc1 3 3 0.037 -0.671 0.927 0.054
EUR.IBD_pwy110_pc3 3 3 0.712 -0.14 0.083 0.738
EUR.IBD_pwy110_pc4 3 3 0.74 -0.077 0.067 0.755
EUR.IBD_pwy1111_pc5 2 2 0.041 0.321 0.996 0.103
EUR.IBD_pwy1117_pc1 2 2 0.012 0.611 1 0.02
EUR.IBD_pwy1117_pc4 4 4 0.467 0.242 0.187 0.521
EUR.IBD_pwy1118_pc4 3 3 0.381 0.282 0.383 0.317
EUR.IBD_pwy1126_pc4 2 2 0.999 0.001 0 0.994
EUR.IBD_pwy1129_pc3 2 2 0.028 -0.942 0.998 0.071
EUR.IBD_pwy1135_pc4 2 2 0.08 -0.142 0.984 0.219
EUR.IBD_pwy1136_pc3 3 3 0.556 0.194 0.197 0.405
EUR.IBD_pwy1140_pc4 2 2 0.074 -0.751 0.986 0.012
EUR.IBD_pwy1141_pc4 2 2 0.055 -0.785 0.993 0.172
EUR.IBD_pwy1145_pc4 2 2 0.96 -0.044 0.004 0.865
EUR.IBD_pwy1152_pc5 2 2 0.879 -0.122 0.036 0.666
EUR.IBD_pwy1155_pc1 2 2 0.137 -0.947 0.954 0.361
EUR.IBD_pwy1158_pc5 2 2 0.062 0.484 0.991 0.08
EUR.IBD_pwy1161_pc2 2 2 0.805 0.184 0.091 0.603
EUR.IBD_pwy1171_pc4 2 2 0.119 0.995 0.966 0.325
