factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_pwy144_pc4 2 2 0.84 -0.028 0.062 0.657
allergy_pwy145_pc3 2 2 0.867 -0.033 0.043 0.7
allergy_pwy147_pc1 3 3 0.855 -0.033 0.021 0.866
allergy_pwy148_pc3 2 2 0.97 0.006 0.002 0.92
allergy_pwy15_pc1 2 2 0.011 -0.133 1 0.035
allergy_pwy164_pc1 2 2 0.929 0.018 0.012 0.797
allergy_pwy17_pc3 2 1 0.165 -0.217 0.934 0.346
allergy_pwy187_pc3 2 2 0.636 0.119 0.292 0.538
allergy_pwy189_pc3 2 2 0.954 0.01 0.005 0.848
allergy_pwy18_pc4 2 2 0.937 0.015 0.01 0.812
allergy_pwy236_pc5 2 2 0.624 -0.076 0.309 0.538
allergy_pwy24_pc1 2 2 0.666 0.1 0.251 0.538
allergy_pwy259_pc1 2 2 0.848 -0.028 0.056 0.663
allergy_pwy259_pc5 2 2 0.002 0.117 1 0.012
allergy_pwy260_pc1 2 2 0.958 0.007 0.004 0.869
allergy_pwy26_pc4 2 2 0.129 -0.162 0.959 0.159
allergy_pwy283_pc3 3 3 0.613 0.06 0.15 0.581
allergy_pwy284_pc3 2 2 0.994 0.001 0 0.983
allergy_pwy296_pc1 2 2 0.234 0.139 0.871 0.454
allergy_pwy301_pc4 2 2 0.638 0.082 0.29 0.538
allergy_pwy326_pc5 2 2 0.058 -0.131 0.992 0.097
allergy_pwy328_pc1 2 2 0.127 -0.107 0.961 0.169
allergy_pwy75_pc2 3 3 0.424 0.099 0.332 0.264
allergy_pwy84_pc4 2 2 0.994 0.001 0 0.972
baso_pwy123_pc5 2 2 0.086 0.075 0.982 0.216
baso_pwy164_pc4 2 2 0.072 0.101 0.987 0.087
baso_pwy166_pc1 2 2 0.104 0.064 0.974 0.212
baso_pwy197_pc5 2 2 0.081 -0.094 0.984 0.257
baso_pwy245_pc3 2 2 0.185 -0.088 0.918 0.363
baso_pwy260_pc4 2 2 0.769 0.033 0.126 0.559
baso_pwy302_pc3 2 2 0.441 0.087 0.591 0.461
baso_pwy315_pc3 3 3 0.012 0.075 0.976 0.062
