Category LV90-Enrichment LV90-Enrichment_p LV50-Enrichment LV50-Enrichment_p LV104-Enrichment LV104-Enrichment_p LV47-Enrichment LV47-Enrichment_p LV81-Enrichment LV81-Enrichment_p LV120-Enrichment LV120-Enrichment_p
baseL2_0 1 NA 1 NA 1 NA 1 NA 1 NA 1 NA
Coding_UCSC.bedL2_0 -6.64723404796855 0.00128820559297942 0.463292743301383 0.738153908371709 -4.94280183227445 0.043617601773482 -2.55056036737781 0.0601020338583837 -2.9826510229119 0.222676833750578 -3.45920560895007 0.0138478287040244
Coding_UCSC.extend.500.bedL2_0 0.523846993685811 0.334752165854256 0.406722378573406 0.138942756308462 0.346977238433886 0.146390289659887 0.582450378356662 0.290188492869399 0.737244617240182 0.509319168881854 0.451427996726539 0.174775686127096
Conserved_LindbladToh.bedL2_0 -0.879756923766178 0.272306199012669 0.748461483379318 0.876569066823345 -3.38079047756697 0.0148187403440975 0.0299290474648894 0.575429625610867 -1.23990801209879 0.303085430219693 0.697104523848098 0.865237177003222
Conserved_LindbladToh.extend.500.bedL2_0 1.42054537114962 0.00265600992890076 1.35642226537588 0.0135950173884431 1.46711181731835 0.000654316096517608 1.33540258833957 0.0224741251912634 1.29692972776995 0.0345596615383708 1.3548861093288 0.0127832816950664
CTCF_Hoffman.bedL2_0 1.3896103656723 0.842407132696754 1.01162513421487 0.99493744460601 -0.34475179830254 0.554311063245138 1.27293652313271 0.877285746477063 -0.360249967932898 0.571460621162549 -0.249287954562188 0.565219575313037
CTCF_Hoffman.extend.500.bedL2_0 2.47951647771737 0.0223734640370335 2.60513241709474 0.00984462224324204 1.57086441875612 0.441628279746862 2.61724073108233 0.00842859887562021 2.24291641038783 0.0527333017163641 1.94683838747256 0.220043869706817
DGF_ENCODE.bedL2_0 0.0527059282784948 0.235904477131566 0.714716019628235 0.708769971146443 1.91084587695982 0.27960863219822 1.86633858554256 0.228383065728391 1.48389145166071 0.560879280898945 1.44021334012913 0.597735663105902
DGF_ENCODE.extend.500.bedL2_0 1.5639847525177 9.06328644810667e-07 1.61759469631992 1.02377797333822e-07 1.73831308455435 8.36458814112046e-09 1.51522805210263 1.20626307952841e-06 1.5466098023838 0.000879183660718078 1.59713391475266 1.48884797652516e-06
DHS_peaks_Trynka.bedL2_0 3.36887210104804 0.0110982952127397 1.33039887050244 0.732771960966001 2.11663701527996 0.369270547878215 1.73458253189565 0.399578728912875 1.4369129844285 0.682731212972774 1.54286502052025 0.659641302230201
DHS_Trynka.bedL2_0 1.82614949751787 0.307000527332624 2.63749017429289 0.031716737256914 2.61841085338288 0.0726486481771999 1.92017778797483 0.18443837952279 2.08686343102335 0.19689870221321 2.14150641950826 0.16412875265662
DHS_Trynka.extend.500.bedL2_0 1.88367700913084 1.88368409671149e-11 1.7120209099009 2.996337904302e-08 1.88211893125594 1.15743116218881e-10 1.83854154622363 3.87494124616148e-10 1.77312848262248 4.50423660242184e-08 1.73324701787778 9.47889240694283e-07
Enhancer_Andersson.bedL2_0 -0.16655918668079 0.798365722740719 -4.65901670272945 0.232492194880576 3.62662858357123 0.628538118075586 -5.3371958700408 0.275951312500305 -0.0554844003701048 0.808351790813208 2.80335711754644 0.733412853898416
Enhancer_Andersson.extend.500.bedL2_0 3.2250922353411 0.0436324487363412 3.64544343907111 0.017378480155521 2.72508501093222 0.224717661923935 4.25024303624647 0.0024895771023544 3.77136001378572 0.00551852004253844 3.66851603682901 0.0328006570559482
Enhancer_Hoffman.bedL2_0 2.40147735807228 0.156202478512299 1.41733288427637 0.644159236552629 3.27747384564188 0.0265992440856148 2.11369920103733 0.251445779316806 2.61609182207 0.119140898027598 3.42785215456023 0.0289192573899133
Enhancer_Hoffman.extend.500.bedL2_0 1.46898372055204 0.320920267961289 1.72420006729399 0.106948562585575 2.00698605782836 0.0202314199543868 1.61799218170086 0.129534066005855 2.15414621536831 0.00622613031220897 1.25663831759357 0.593367430810412
FetalDHS_Trynka.bedL2_0 3.43656175500151 0.0139960115639879 2.4659860198649 0.18076127872713 2.07691679366352 0.362673592795875 2.21217063437206 0.238852220526624 2.90557066323792 0.0807027852725426 1.47124909902695 0.690871087539256
FetalDHS_Trynka.extend.500.bedL2_0 2.81455528727963 6.15651682716401e-13 2.95758211250428 1.0614246889863e-12 2.77837769487341 3.45998088057995e-10 2.52849168011808 8.22820490338671e-10 2.79998110950514 2.07746970595794e-11 2.42455023401117 3.47121207936325e-07
H3K27ac_Hnisz.bedL2_0 1.44797346318079 2.14494910696032e-07 1.40904095017379 9.13435134384881e-06 1.30033765538669 0.00225840808898342 1.46856794340975 9.16673034177959e-09 1.36534683383221 6.25083796403031e-05 1.35333795882105 0.000300055160862473
H3K27ac_Hnisz.extend.500.bedL2_0 1.41263019535733 2.15720332385146e-05 1.39846249368621 9.53575636653957e-05 1.32107186120096 0.000951942315940524 1.33912209940566 0.000210029823655556 1.42473287597156 8.18782124707842e-06 1.44967551716266 4.78579044315064e-06
H3K27ac_PGC2.bedL2_0 1.35977544111607 0.0958995506331097 1.57377532686476 0.00271357076995998 1.54742397247044 0.0591304251644314 1.55786843993829 0.0025439394808289 1.32654733859534 0.0707848479022523 1.41157530290286 0.0509610067548078
H3K27ac_PGC2.extend.500.bedL2_0 1.31885034446201 0.00980249894001844 1.35945514664344 0.006695998033799 1.55128127403324 0.000435839439476385 1.27946673934653 0.0226619426431213 1.28094018352547 0.0235905458882928 1.2142807054601 0.214347386592671
