factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy120_pc3 2 2 0.132 0.34 0.957 0.057
EUR.CD_pwy141_pc2 2 2 0.372 0.473 0.695 0.396
EUR.CD_pwy167_pc4 2 1 0.195 -0.598 0.909 0.402
EUR.CD_pwy193_pc2 2 2 0.003 0.684 1 0.011
EUR.CD_pwy195_pc3 2 2 0.364 -0.426 0.708 0.372
EUR.CD_pwy200_pc5 2 2 0.938 -0.046 0.009 0.838
EUR.CD_pwy206_pc5 2 2 0.03 0.526 0.998 0.091
EUR.CD_pwy256_pc5 3 3 0.083 1.133 0.84 0.139
EUR.CD_pwy287_pc1 2 2 0.948 0.053 0.007 0.84
EUR.CD_pwy28_pc2 2 2 0.072 -0.895 0.987 0.076
EUR.CD_pwy28_pc3 2 2 0.064 0.638 0.99 0.122
EUR.CD_pwy307_pc1 2 1 0.547 -0.548 0.427 0.509
EUR.CD_pwy317_pc2 2 2 0.23 1.088 0.875 0.433
EUR.CD_pwy320_pc2 2 1 0.144 0.43 0.949 0.237
EUR.CD_pwy320_pc5 2 0 0.838 -0.102 0.063 0.68
EUR.CD_pwy322_pc4 2 1 0.1 -0.375 0.976 0.207
EUR.CD_pwy322_pc5 2 2 0.965 0.024 0.003 0.909
EUR.CD_pwy323_pc3 2 1 0.389 0.703 0.67 0.499
EUR.CD_pwy331_pc4 2 1 0.305 0.906 0.788 0.494
EUR.CD_pwy56_pc4 2 2 0.014 0.421 1 0.034
EUR.CD_pwy78_pc3 2 2 0.011 -0.547 1 0.029
EUR.CD_pwy80_pc5 2 2 0.077 0.511 0.986 0.018
EUR.IBD_pwy104_pc2 2 2 0.082 -0.497 0.984 0.228
EUR.IBD_pwy107_pc2 2 2 0.892 0.113 0.029 0.701
EUR.IBD_pwy116_pc2 2 2 0.064 -0.62 0.99 0.17
EUR.IBD_pwy120_pc3 2 2 0.144 0.269 0.95 0.041
EUR.IBD_pwy141_pc2 2 2 0.344 0.379 0.735 0.349
EUR.IBD_pwy168_pc2 2 2 0.23 -0.52 0.876 0.414
EUR.IBD_pwy170_pc5 2 2 0.121 -0.423 0.964 0.278
EUR.IBD_pwy171_pc4 2 2 0.148 -0.373 0.947 0.414
EUR.IBD_pwy180_pc4 2 2 0.837 0.079 0.064 0.618
EUR.IBD_pwy182_pc4 2 1 0.015 -0.362 0.999 0.025
EUR.IBD_pwy195_pc3 2 2 0.336 -0.341 0.747 0.313
EUR.IBD_pwy201_pc3 3 3 0.798 0.117 0.041 0.876
EUR.IBD_pwy206_pc5 3 3 0.043 0.339 0.915 0.099
EUR.IBD_pwy223_pc5 2 2 0.094 0.288 0.978 0.301
EUR.IBD_pwy237_pc5 2 2 0.128 0.401 0.96 0.39
EUR.IBD_pwy24_pc1 2 2 0.092 -0.564 0.979 0.243
EUR.IBD_pwy24_pc3 2 2 0.251 -0.492 0.853 0.463
EUR.IBD_pwy256_pc5 3 3 0.046 0.891 0.91 0.085
EUR.IBD_pwy260_pc2 3 3 0.858 -0.073 0.02 0.925
EUR.IBD_pwy274_pc4 2 2 0.902 -0.039 0.023 0.771
EUR.IBD_pwy293_pc4 2 2 0.109 0.312 0.971 0.27
EUR.IBD_pwy293_pc5 2 2 0.898 -0.032 0.026 0.764
EUR.IBD_pwy317_pc2 3 3 0.402 0.352 0.357 0.248
EUR.IBD_pwy320_pc2 3 2 0.003 0.427 0.993 0
EUR.IBD_pwy322_pc4 2 1 0.004 -0.415 1 0.004
EUR.IBD_pwy322_pc5 2 1 0.1 0.384 0.975 0.127
EUR.IBD_pwy324_pc3 2 1 0.189 0.356 0.914 0.44
EUR.IBD_pwy52_pc2 2 2 0.996 0.004 0 0.986
EUR.IBD_pwy67_pc1 2 2 0.14 -0.499 0.952 0.286
EUR.IBD_pwy80_pc5 2 2 0.086 0.405 0.982 0
EUR.IBD_pwy88_pc4 2 2 0.13 0.319 0.959 0.281
EUR.UC_pwy120_pc3 2 2 0.981 0.015 0.001 0.955
EUR.UC_pwy151_pc2 2 2 0.122 -0.526 0.963 0.277
EUR.UC_pwy158_pc4 3 3 0.528 0.27 0.222 0.397
