factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy294_pc2 2 2 0.195 0.585 0.257
pwy326_pc5 3 3 0.467 0.729 0.376
pwy55_pc2 2 2 0.464 -0.577 0.408
pwy55_pc5 2 2 0.036 0.785 0.055
pwy6_pc3 2 2 0.059 1.483 0.121
pwy67_pc1 2 2 0.866 0.413 0.772
pwy99_pc4 2 2 0.056 0.821 0.09
pwy10_pc4 2 2 0.052 0.093 0.108
pwy127_pc2 3 3 0.497 -0.055 0.446
pwy131_pc3 2 2 0.004 0.15 0.007
pwy14_pc2 2 2 0.034 0.151 0.054
pwy157_pc3 3 3 0.564 0.053 0.514
pwy167_pc3 3 3 0.005 -0.115 0.009
pwy174_pc5 2 2 0.002 -0.078 0
pwy179_pc2 2 2 0.088 0.166 0.081
pwy192_pc1 2 2 0.303 0.162 0.239
pwy193_pc4 3 3 0.354 -0.099 0.301
pwy194_pc1 2 2 0.165 -0.258 0.223
pwy226_pc2 2 2 0.944 -0.015 0.881
pwy232_pc4 2 2 0.977 0.005 0.942
pwy236_pc4 5 5 0.194 0.089 0.185
pwy245_pc3 3 3 0.781 0.031 0.818
pwy246_pc5 3 3 0.011 -0.104 0.031
pwy25_pc1 2 2 0.85 -0.046 0.731
pwy251_pc5 2 2 0.963 -0.008 0.922
pwy253_pc2 2 2 0.03 -0.138 0.035
pwy253_pc3 2 2 0.012 -0.105 0.022
pwy272_pc4 3 3 0.72 0.042 0.732
pwy275_pc3 2 2 0.131 0.111 0.262
pwy280_pc3 2 2 0.089 -0.11 0.177
pwy297_pc3 2 2 0.853 0.019 0.727
pwy317_pc3 2 2 0.835 -0.045 0.721
pwy32_pc1 2 2 0.02 -0.212 0.012
pwy35_pc4 2 2 0.976 0.005 0.949
pwy45_pc1 2 2 0.558 -0.11 0.531
pwy57_pc5 2 2 0.001 -0.135 0.002
pwy8_pc2 2 2 0.045 0.181 0.09
pwy93_pc1 2 2 0.983 -0.002 0.96
pwy99_pc5 2 2 0.875 -0.024 0.77
pwy120_pc2 2 2 0.025 0.14 0.054
pwy194_pc1 2 2 0.984 0.005 0.975
pwy196_pc2 2 2 0.758 -0.182 0.621
pwy278_pc3 2 2 0.092 0.115 0.149
pwy301_pc2 4 4 0.052 -0.19 0.071
pwy305_pc2 2 2 0.074 0.163 0.115
pwy39_pc5 2 2 0.286 -0.106 0.199
pwy44_pc5 5 5 0.832 -0.033 0.849
pwy55_pc1 3 3 0.337 -0.189 0.318
pwy8_pc2 2 2 0.056 -0.218 0.05
pwy80_pc1 2 2 0.029 -0.375 0.059
pwy101_pc1 3 3 0 -0.042 0.001
pwy101_pc5 2 2 0.111 0.022 0.204
pwy102_pc2 2 2 0.031 0.065 0.046
pwy103_pc2 2 2 0.229 -0.058 0.403
pwy106_pc4 2 2 0.732 0.027 0.629
pwy118_pc5 2 2 0.184 -0.025 0.156
pwy120_pc1 2 2 0.022 0.039 0.02
pwy120_pc2 2 2 0.867 -0.013 0.743
pwy126_pc3 2 2 0.076 0.037 0.104
pwy14_pc1 2 2 0.865 0.019 0.745
pwy148_pc2 2 2 0.939 -0.012 0.874
pwy17_pc5 3 3 0.34 0.03 0.295
pwy170_pc1 2 2 0.103 0.112 0.094
pwy184_pc3 3 3 0.415 0.045 0.325
pwy184_pc5 4 4 0.621 0.011 0.599
