factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy144_pc1 2 2 0.02 -1.651 0.051
pwy148_pc3 2 2 0.952 -0.065 0.895
pwy162_pc2 3 3 0.02 1.007 0.087
pwy163_pc3 2 2 0.093 -0.596 0.212
pwy164_pc4 3 3 0.05 0.661 0.019
pwy164_pc5 2 2 0.137 0.652 0.212
pwy166_pc1 2 2 0.004 0.327 0
pwy180_pc3 2 2 0.938 0.05 0.85
pwy187_pc2 5 4 0.005 -0.864 0.045
pwy188_pc2 2 2 0.147 -1.229 0.282
pwy2_pc3 2 2 0.861 0.335 0.685
pwy203_pc5 2 2 0.032 0.382 0.077
pwy216_pc4 2 2 0.232 -1.574 0.378
pwy221_pc4 3 3 0.126 0.739 0.091
pwy23_pc4 2 2 0.035 -0.666 0.077
pwy234_pc3 2 2 0.967 0.03 0.972
pwy240_pc2 3 3 0.037 0.75 0.074
pwy251_pc1 3 3 0.577 -0.445 0.534
pwy252_pc1 2 2 0.303 1.357 0.4
pwy253_pc5 3 3 0.12 -0.753 0.126
pwy254_pc1 2 1 NaN 0.731 0
pwy273_pc5 2 2 0.206 -1.181 0.366
pwy29_pc1 2 2 0.026 -0.599 0.077
pwy29_pc3 2 1 NaN -0.553 0
pwy295_pc1 2 2 0.047 -0.759 0.029
pwy297_pc1 2 2 0.003 0.433 0.003
pwy297_pc3 2 2 0.876 -0.107 0.827
pwy3_pc4 2 2 0.23 2.145 0.371
pwy300_pc1 2 2 0.873 0.319 0.713
pwy320_pc4 2 2 0.177 -0.927 0.315
pwy327_pc1 2 2 0.043 -0.644 0.114
pwy327_pc2 2 2 0.737 -1.626 0.555
pwy34_pc1 2 2 0.057 0.814 0.152
pwy54_pc2 2 2 0.05 -1.125 0.022
pwy65_pc5 2 2 0.116 0.603 0.203
pwy68_pc4 2 2 0.094 -0.614 0.22
pwy7_pc3 2 2 0.121 -1.451 0.254
pwy77_pc4 2 2 0.103 -0.971 0.233
pwy78_pc1 2 2 0.059 0.469 0.131
pwy85_pc1 2 2 0.086 0.381 0.163
pwy94_pc2 2 2 0.99 0.007 0.98
pwy109_pc5 2 2 0.871 -0.196 0.703
pwy129_pc2 2 2 0.615 0.484 0.549
pwy134_pc5 3 3 0.819 0.216 0.788
pwy135_pc3 2 2 0.011 0.61 0.044
pwy173_pc3 2 2 0.129 0.356 0.242
pwy244_pc3 2 2 0.046 -1.156 0
pwy26_pc4 2 2 0.787 0.288 0.593
pwy271_pc4 2 2 0.773 -0.273 0.593
pwy331_pc1 2 2 0.146 0.731 0.297
pwy10_pc2 4 4 0.331 -0.479 NA
pwy104_pc3 2 2 NaN 0 NA
pwy107_pc1 3 3 0.315 -0.259 0.25
pwy108_pc1 3 3 0.372 0.294 0.25
pwy108_pc5 3 3 0.406 0.194 0.25
pwy11_pc2 3 3 0.253 -2.337 0.25
pwy110_pc1 2 2 0.708 -0.107 NA
pwy114_pc1 4 4 0.288 -1.579 NA
pwy121_pc2 2 2 0.219 -0.752 NA
pwy123_pc4 3 3 0.372 -0.279 0.25
pwy128_pc1 2 2 0.607 -0.118 NA
pwy129_pc1 2 2 0.658 -0.188 NA
pwy13_pc4 3 3 0.495 0.13 0.25
pwy130_pc1 3 3 0.359 -0.345 0.25
pwy151_pc4 3 3 0.352 0.247 0.25
pwy173_pc2 4 4 0.299 0.381 NA
pwy216_pc1 3 3 0.346 -0.303 0.25
pwy23_pc5 3 3 0.325 0.393 0.25
pwy24_pc5 3 3 0.322 0.505 0.25
pwy263_pc2 3 3 0.546 -0.627 0.5
pwy265_pc5 4 4 0.798 0.296 NA
pwy281_pc5 3 3 0.57 -0.225 0.5
pwy298_pc4 3 3 0.374 0.516 0.25
pwy308_pc1 4 4 0.316 -0.895 NA
pwy324_pc4 4 4 0.804 -0.257 NA
pwy44_pc1 3 3 0.545 0.414 0.5
pwy65_pc3 3 3 0.498 -0.252 0.25
pwy92_pc2 2 2 0.268 -0.75 NA
pwy94_pc1 3 3 0.277 0.086 0
pwy97_pc4 3 3 0.251 -0.735 0
pwy113_pc4 3 3 0.046 -0.28 0.078
pwy141_pc5 2 2 0.058 0.147 0.053
pwy148_pc2 2 2 0.109 0.238 0.216
pwy194_pc1 2 2 0.627 0.124 0.575
pwy232_pc5 3 3 0.004 0.192 0.004
pwy241_pc5 4 4 0.25 0.096 0.224
pwy244_pc2 2 2 0.946 -0.015 0.9
pwy265_pc2 2 2 0.688 0.031 0.585
pwy268_pc5 2 2 0.046 0.205 0.036
pwy283_pc2 2 2 0.852 -0.033 0.737
pwy303_pc1 2 2 0.036 0.362 0.077
pwy310_pc2 2 2 0.255 -0.302 0.373
pwy327_pc5 2 2 0.15 -0.181 0.262
pwy39_pc4 4 4 0.07 -0.15 0.075
pwy60_pc3 2 2 0.039 0.117 0.051
pwy62_pc5 2 2 0.186 0.126 0.321
pwy80_pc1 2 2 0.957 -0.017 0.909
pwy87_pc5 2 2 0.099 0.141 0.169
pwy97_pc4 2 2 0.913 -0.021 0.833
pwy99_pc2 2 2 0.946 0.019 0.896
pwy1_pc4 2 2 0.306 -0.098 0.256
pwy10_pc1 2 2 0.037 -0.119 0.033
pwy101_pc4 2 2 0.57 0.084 0.503
pwy102_pc3 2 2 0.277 0.507 0.41
pwy103_pc4 2 2 0.029 0.153 0.049
pwy107_pc2 2 2 0.783 0.124 0.724
pwy117_pc5 2 2 0.337 0.21 0.389
pwy13_pc2 8 8 0.908 -0.006 0.895
pwy147_pc4 2 2 0.024 -0.189 0.045
pwy15_pc2 2 2 0.185 -0.091 0.248
pwy15_pc3 3 3 0.426 -0.057 0.377
pwy152_pc5 2 2 0.634 -0.053 0.6
pwy164_pc2 2 2 0.669 0.056 0.6
pwy194_pc3 2 2 0.113 0.253 0.122
pwy20_pc4 2 2 0.904 -0.022 0.842
pwy210_pc4 2 2 0.156 -0.299 0.268
pwy24_pc1 2 2 0.03 0.122 0.026
pwy241_pc5 2 2 0.945 0.018 0.912
pwy255_pc4 2 2 0.67 0.041 0.6
pwy263_pc1 2 2 0.927 0.026 0.889
pwy29_pc2 2 2 0.001 0.075 0.002
pwy291_pc2 2 2 0.087 -0.082 0.123
pwy301_pc2 2 2 0.386 0.218 0.381
pwy31_pc3 2 2 0.758 0.036 0.654
pwy320_pc4 2 2 0.391 -0.174 0.386
pwy36_pc5 2 2 0.105 -0.133 0.121
pwy40_pc5 2 2 0.032 0.155 0.06
pwy50_pc1 2 2 0.029 0.201 0.053
pwy61_pc1 2 2 0.077 -0.286 0.08
pwy61_pc2 2 2 0.187 -0.245 0.253
pwy64_pc3 2 2 0.103 0.154 0.177
pwy7_pc2 4 4 0.888 0.011 0.886
pwy8_pc2 2 2 0.085 0.288 0.116
pwy81_pc4 2 2 0.11 0.148 0.174
pwy90_pc1 2 2 0.155 -0.268 0.265
pwy96_pc2 2 2 0.617 0.261 0.593
pwy97_pc4 2 2 0.039 -0.155 0.066
pwy115_pc1 2 2 0.01 -0.302 0.002
pwy116_pc1 2 2 0.993 0.003 0.985
pwy132_pc2 2 2 0.804 0.115 0.678
pwy153_pc3 3 3 0.477 0.069 0.484
pwy154_pc3 2 2 0.205 0.213 0.376
pwy156_pc4 2 2 0.888 -0.032 0.765
pwy162_pc1 2 2 0.891 -0.029 0.8
pwy164_pc5 2 2 0.053 0.177 0.095
pwy169_pc5 2 2 0.079 0.155 0.158
pwy174_pc3 2 2 0.125 0.182 0.235
pwy186_pc2 2 2 0.168 0.292 0.325
pwy193_pc2 2 2 0.777 -0.073 0.681
pwy217_pc1 2 2 0.072 0.266 0.121
pwy221_pc4 2 2 0.796 0.083 0.669
pwy243_pc3 2 2 0.019 0.28 0.031
pwy251_pc1 2 2 0.006 0.262 0.013
pwy263_pc3 2 2 0.747 -0.064 0.668
pwy275_pc2 2 2 0.432 -0.202 0.441
pwy277_pc4 2 2 0.857 0.05 0.742
pwy278_pc5 2 2 0.002 0.186 0.002
pwy280_pc5 2 2 0.028 -0.212 0.05
pwy286_pc3 2 2 0.995 -0.002 0.991
pwy299_pc3 2 2 0.992 -0.003 0.987
pwy304_pc3 3 3 0.547 -0.111 0.487
pwy324_pc3 2 2 0.721 -0.107 0.676
pwy328_pc2 2 2 0.657 0.062 0.599
pwy329_pc3 2 2 0.017 -0.157 0.002
pwy330_pc2 2 2 0.403 -0.113 0.411
pwy331_pc1 2 2 0.125 0.192 0.208
pwy59_pc1 2 2 0.962 -0.014 0.912
pwy60_pc1 2 2 0.787 -0.129 0.615
pwy76_pc3 2 2 0.956 0.019 0.902
pwy8_pc4 3 3 0.002 0.225 0.005
pwy102_pc3 2 2 0.13 0.182 0.251
pwy13_pc3 2 2 0.271 -0.185 0.175
pwy139_pc2 2 2 0.056 0.149 0.129
pwy144_pc1 2 2 0.73 -0.118 0.588
pwy157_pc3 3 3 0.878 -0.013 0.895
pwy179_pc2 3 3 0.12 0.24 0.091
pwy193_pc4 3 3 0.378 -0.083 0.288
pwy194_pc1 4 4 0.025 -0.174 0.011
pwy197_pc5 3 3 0.502 0.049 0.511
pwy210_pc5 4 4 0.784 -0.021 0.748
pwy222_pc1 2 2 0.997 -0.001 0.99
pwy253_pc1 2 2 0.019 0.088 0.043
pwy253_pc2 2 2 0.039 -0.171 0.052
pwy253_pc3 2 2 0.037 -0.102 0.066
pwy272_pc4 2 2 0.975 0.006 0.95
pwy275_pc3 2 2 0.069 0.141 0.156
pwy278_pc2 2 2 0.059 0.123 0.034
pwy285_pc4 2 2 0.561 -0.05 0.545
pwy293_pc1 2 2 0.812 -0.05 0.679
pwy295_pc5 2 2 0.966 0.005 0.921
pwy297_pc3 3 3 0.917 0.008 0.941
pwy32_pc1 2 2 0.014 -0.205 0.012
pwy35_pc4 2 2 0.01 -0.192 0.006
pwy39_pc4 2 2 0.538 0.094 0.528
pwy5_pc3 2 2 0.038 0.154 0.089
pwy57_pc5 4 4 0.306 -0.089 0.298
pwy66_pc3 3 3 0.006 -0.096 0.028
pwy71_pc5 2 2 0.9 -0.03 0.797
pwy74_pc4 2 2 0.003 0.119 0.004
pwy8_pc2 2 2 0.066 0.183 0.106
pwy80_pc4 2 2 0.03 -0.139 0.044
pwy84_pc4 2 2 0.003 -0.069 0.005
pwy85_pc4 2 2 0.006 -0.069 0.016
pwy95_pc3 3 3 0.002 0.235 0.009
pwy11_pc3 2 2 0.856 0.03 0.705
pwy126_pc5 2 2 0.029 -0.094 0.106
pwy140_pc5 2 2 0.073 -0.077 0.271
pwy175_pc1 2 2 0.883 -0.04 0.63
pwy176_pc3 2 2 0.042 0.114 0.133
pwy182_pc2 2 2 0.232 0.113 0.468
pwy232_pc1 2 2 0.232 -0.266 0.468
pwy235_pc2 2 2 0.881 -0.054 0.63
pwy240_pc2 2 2 0.057 0.23 0.025
pwy25_pc2 2 2 0.892 -0.037 0.66
pwy263_pc2 2 2 0.039 0.299 0.021
pwy281_pc3 2 2 0.123 -0.07 0.387
pwy285_pc3 2 2 0.037 -0.064 0.079
pwy287_pc3 3 3 0.002 -0.062 0.027
pwy43_pc2 2 2 0.01 0.167 0.051
pwy70_pc3 2 2 0.226 -0.205 0.465
pwy82_pc5 2 2 0.875 -0.03 0.614
