factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy58_pc2 2 2 0.287 -0.141 0.453 -0.141387356020228 1.65299223261975e-131 0.015
pwy71_pc3 2 2 0.05 -0.128 0.083 -0.12216354047596 9.75274366428812e-23 0.213
pwy74_pc2 2 2 0.901 0.011 0.756 0.00489929489547912 0.496835136197786 0.878
pwy110_pc4 3 3 0.327 -0.042 0.32 -0.0163852067537304 0.00691465546800104 0.783
pwy114_pc4 2 2 0.021 0.051 0.027 0.0503591813795415 4.86666100535218e-36 0.233
pwy136_pc3 2 2 0.897 0.006 0.793 0.00511926112653417 0.170588699345146 0.861
pwy139_pc3 2 2 0.097 -0.037 0.19 -0.0367789087885111 4.4858546987417e-27 0.439
pwy153_pc5 2 2 0.054 -0.057 0.098 -0.0550699459630399 9.68656235155382e-21 0.457
pwy154_pc4 2 2 0.914 -0.008 0.827 -0.00686231698579756 0.165104052294416 0.858
pwy169_pc4 2 2 0 -0.061 0.001 -0.0611933882778756 4.37120350049163e-36 0.229
pwy178_pc3 2 2 0.172 0.074 0.328 0.0728685937875601 7.28783407089585e-41 0.335
pwy178_pc4 2 2 0.93 -0.009 0.859 -0.00729724962310408 0.336013759083241 0.896
pwy185_pc5 2 0 0.736 0.023 0.637 0.0157189477241723 0.0115013445766527 0.776
pwy186_pc4 2 2 0.03 0.072 0.041 0.070367854692865 5.4543075944276e-36 0.235
pwy188_pc4 3 3 0.064 -0.093 0.163 -0.0907311131470948 3.34414182158836e-69 0.168
pwy193_pc4 2 0 0.861 0.02 0.74 0.000576602321366305 0.937606264092281 0.994
pwy193_pc5 10 0 0.914 -0.003 0.903 -0.0381003534002829 0.0419671030959578 0.064
pwy202_pc5 2 2 0.443 0.063 0.414 0.0196903042870193 0.00390923235815537 0.733
pwy203_pc3 2 2 0.105 0.074 0.172 0.0680235263145324 5.31384137487933e-28 0.318
pwy206_pc3 2 2 0.11 -0.071 0.205 -0.0706246456660839 6.66799482781349e-27 0.442
pwy211_pc3 2 2 0.159 -0.065 0.284 -0.0716791035252323 9.13978069678124e-67 0.07
pwy216_pc4 2 2 0.986 0.001 0.974 -4.40964541119088e-05 0.99390556736619 0.998
pwy231_pc5 2 2 0.063 -0.084 0.055 -0.0949954370387021 1.30779758880835e-23 0.289
pwy235_pc4 3 3 0.556 0.025 0.461 0.0237580136172344 1.41431332014047e-07 0.674
pwy238_pc5 10 0 0.672 0.01 0.676 0.0436334802254992 0.0158003775346755 0.036
pwy242_pc3 3 3 0.84 -0.012 0.868 -0.0145455973254469 0.0144106742990919 0.907
pwy261_pc4 2 2 0.606 0.07 0.555 0.0170947990758476 0.0880332991465434 0.883
pwy262_pc3 2 2 0.031 0.063 0.036 0.0645205108701276 1.59553577736875e-33 0.067
pwy273_pc2 3 0 0.252 -0.037 0.24 0.0183662293926256 6.04714436227023e-05 0.694
pwy284_pc3 3 3 0.573 0.02 0.487 0.0187441071948664 4.23563584104408e-07 0.696
pwy288_pc4 2 2 0.095 -0.039 0.184 -0.0385264278919632 4.1549592295533e-27 0.439
pwy289_pc4 2 2 0.882 0.008 0.77 0.00618530588581537 0.105945032012169 0.846
pwy294_pc4 2 2 0.096 -0.028 0.186 -0.0275705983611263 4.32613871458506e-27 0.439
pwy298_pc4 2 2 0.085 0.051 0.134 0.0479207698264846 2.50278435425356e-28 0.311
pwy301_pc3 3 3 0.41 0.051 0.313 0.0453399342922184 4.33457644328148e-24 0.446
pwy313_pc4 4 4 0.279 -0.045 0.238 -0.0445445349913368 0.201732540384039 0.259
pwy315_pc4 2 2 0.046 0.036 0.099 0.0363500114988108 1.2176927141097e-16 0.576
pwy320_pc3 7 0 0.094 0.035 0.076 0.0403890982288305 0.0286011955906872 0.055
pwy321_pc5 6 0 0.043 0.046 0.039 0.0528580883975505 0.000963741173324111 0.018
pwy325_pc4 8 0 0.067 0.042 0.086 0.0474380934844344 0.0187684810529409 0.059
pwy325_pc5 2 0 0.12 -0.123 0.21 -0.129680718684181 3.87043891382028e-68 0.133
pwy326_pc4 8 0 0.068 -0.04 0.085 -0.0445926563249431 0.018267681234288 0.059
pwy331_pc5 2 0 0.877 0.019 0.763 0.00689568821733853 0.409207679412996 0.905
pwy47_pc3 2 2 0.001 0.07 0 0.0701569879771033 5.69783242362953e-33 0.188
pwy58_pc2 3 3 0.885 -0.009 0.889 -0.010395374518368 0.0704259591574592 0.911
pwy60_pc3 2 2 0.114 0.073 0.183 0.0737858024204216 2.80154653334597e-21 0.528
pwy108_pc4 2 2 0.747 0.24 0.631 -0.0941052505927197 0.183822708533285 0.96
pwy164_pc2 3 0 0.31 -0.349 0.318 -0.200437310696669 2.79020050055904e-07 0.565
pwy172_pc5 2 2 0.854 0.117 0.732 0.0875551883850679 0.0602636683239432 0.775
pwy18_pc4 2 2 0.016 0.439 0.013 0.449934333969363 8.79850807359252e-44 0.064
pwy141_pc2 2 2 0.045 0.171 0.068 0.174100053344345 3.11629339494085e-17 0.485
pwy15_pc4 2 2 0.071 -0.403 0.158 -0.401018500364468 1.27340731981684e-15 0.583
pwy175_pc3 2 2 0.832 0.114 0.752 0.0686406124399159 0.188526889552792 0.824
pwy193_pc5 4 0 0.139 0.32 0.133 0.213528422622914 1.35352404595384e-06 0.13
pwy238_pc5 6 0 0.037 -0.325 0.065 -0.196662966459957 0.00764200525800367 0.084
pwy246_pc5 2 2 0.014 -0.346 0.007 -0.337413548859092 3.47187070481049e-22 0.19
pwy26_pc2 2 2 0.977 -0.009 0.946 -0.051331735848971 0.0442399907390967 0.773
pwy279_pc5 2 2 0.874 -0.083 0.745 -0.107373258090302 0.00137670888804026 0.698
pwy320_pc3 6 0 0.047 -0.303 0.085 -0.192020313743528 0.00551512353746563 0.072
pwy321_pc5 5 0 0.036 -0.37 0.054 -0.24108268242152 9.71455855806669e-05 0.03
pwy322_pc4 2 0 0.023 -0.66 0.055 -0.652857709698947 8.23692848345901e-54 0.122
pwy325_pc4 5 0 0.039 -0.351 0.055 -0.230827448364147 0.000127753504811202 0.027
pwy325_pc5 6 0 0.02 0.823 0.028 0.286828962867214 0.171701713669129 0.284
pwy326_pc4 6 0 0.038 0.315 0.067 0.193409972708128 0.00635824116634361 0.078
pwy326_pc5 2 2 0.769 -0.147 0.645 -0.0824647482559381 0.0946850984990722 0.786
pwy328_pc5 4 0 0.799 0.053 0.817 0.0432367392893958 0.817393766797295 0.846
pwy329_pc5 3 0 0.001 0.366 0 0.361781331209595 2.97368478535942e-24 0.194
pwy330_pc4 3 0 0.61 -0.149 0.643 0.165722013441356 1.45831930223813e-06 0.528
pwy66_pc5 2 2 0.012 0.424 0.028 0.424236442356517 1.89459525770638e-18 0.462
pwy87_pc3 2 2 0.537 -0.312 0.548 -0.0984073925929682 0.0279849877924254 0.729
pwy90_pc3 3 3 0.594 -0.132 0.616 -0.123136951379802 0.000139472995344984 0.766
pwy120_pc5 3 0 0.281 0.304 0.282 0.05943747298079 0.105384117355091 0.824
pwy140_pc4 2 0 0.298 -0.475 0.438 -0.430424635331583 3.36950216190934e-46 0.29
pwy146_pc4 2 0 0.003 0.361 0.007 0.36499132091869 5.9057575847144e-19 0.356
pwy15_pc5 2 2 0.071 0.764 0.089 0.713922379237778 1.0532244297661e-20 0.319
pwy156_pc2 2 2 0.072 0.382 0.144 0.383801293938602 7.38698111821765e-25 0.423
pwy193_pc4 2 0 0.172 -0.77 0.276 -0.729383030757876 2.70516956100794e-54 0.239
pwy193_pc5 12 0 0 0.353 0 0.288257428770149 4.52648752010402e-22 0
pwy22_pc4 2 0 0.45 0.518 0.493 0.0173351678861479 0.798608834736372 0.991
pwy238_pc3 3 0 0.026 -0.563 0.043 -0.733213458608856 3.92764617327236e-65 0.015
pwy238_pc4 2 0 0.947 0.049 0.941 -0.0261460718676633 0.585614518510294 0.885
pwy238_pc5 13 0 0 -0.344 0 -0.256063682723714 1.38176495726821e-11 0
pwy24_pc4 3 3 0.498 0.244 0.384 0.14021085863536 0.00336769749399303 0.822
pwy26_pc2 2 2 0.1 0.324 0.188 0.332692645333484 6.87796343489927e-25 0.46
pwy28_pc4 3 3 0.361 0.315 0.358 -0.0717933038866372 0.16459535356791 0.91
pwy282_pc5 2 0 0.257 -0.618 0.38 -0.567910055453095 3.8192045437801e-49 0.269
pwy290_pc5 2 2 0.032 -0.342 0.075 -0.34487395215186 1.06963545096306e-18 0.517
pwy292_pc4 2 0 0.008 0.246 0.01 0.239842441232171 6.02006004345479e-19 0.363
pwy320_pc3 14 0 0 -0.333 0 -0.25180132539675 2.10649340004428e-12 0
pwy321_pc3 4 0 0.621 0.166 0.66 0.338184139036061 0.313502373184981 0.45
pwy321_pc5 12 0 0 -0.372 0 -0.288946533154118 3.37034636998973e-20 0
pwy322_pc4 3 0 0.075 -0.526 0.141 -0.531177757013476 1.68356611635938e-56 0.045
pwy325_pc3 4 0 0.726 -0.099 0.752 -0.236578109337604 0.425306840148584 0.512
pwy325_pc4 12 0 0 -0.359 0 -0.27962007929422 1.30086568825292e-22 0
pwy325_pc5 6 0 0.006 0.731 0.012 0.579146675548116 0.0017834255589529 0.029
pwy326_pc3 3 0 0.699 -0.096 0.813 0.077769119703175 0.00438811675372683 0.687
pwy326_pc4 13 0 0 0.333 0 0.249750656677822 3.19700852386096e-12 0
pwy331_pc5 2 0 0.02 -0.892 0.037 -0.904202477256807 2.59585360860833e-58 0.07
pwy43_pc2 2 0 0.49 -0.217 0.555 -0.0826223344900323 0.0241480390689993 0.752
pwy45_pc2 2 2 0.593 0.13 0.564 0.0247628225349546 0.310743928450798 0.859
pwy5_pc3 2 0 0.598 0.186 0.668 0.0542392429657099 0.12911901105559 0.789
pwy55_pc5 3 0 0.042 1.332 0.061 0.729304357247375 3.42172173227428e-21 0.425
pwy101_pc4 2 2 0.018 -0.035 0.021 -0.0354271338460857 3.44653573515748e-18 0.376
pwy103_pc2 2 0 0.737 0.035 0.62 0.0275431449391852 2.50181129614571e-06 0.678
pwy136_pc4 2 2 0.941 0.004 0.88 0.000378946452526898 0.939988484343664 0.989
pwy138_pc3 2 0 0.124 -0.053 0.202 -0.0517350795397908 7.15391505397099e-46 0.232
pwy16_pc2 2 2 0.046 0.033 0.046 0.0286374409483238 9.39152883531092e-16 0.241
pwy176_pc3 2 2 0.52 -0.048 0.496 -0.00967649588277775 0.0966956643262674 0.713
pwy178_pc3 2 2 0.093 0.061 0.187 0.0608884267527734 2.30307153193304e-25 0.418
pwy180_pc4 2 2 0.258 -0.068 0.183 -0.011279803295717 0.0599925937448172 0.955
pwy19_pc2 2 2 0.247 -0.17 0.338 -0.198218750172841 1.01955294247949e-33 0.263
pwy193_pc5 9 0 0.001 -0.048 0.002 -0.0502977816644459 2.69033197820623e-06 0.003
pwy197_pc5 2 2 0.113 0.062 0.086 0.0702456413925317 5.74145200117034e-21 0.217
pwy20_pc4 2 0 0.223 -0.061 0.23 -0.0798684796067667 4.09594417401607e-40 0.126
pwy202_pc5 2 2 0.754 0.021 0.647 0.00491913534004327 0.462017332302268 0.847
pwy203_pc4 2 2 0.103 -0.054 0.13 -0.0618508402599892 1.29099215393022e-23 0.236
pwy222_pc3 2 2 0.951 0.004 0.906 0.000553214984575934 0.920031101630653 0.983
pwy231_pc3 2 2 0.04 -0.067 0.098 -0.0670955565350495 2.38639082124193e-18 0.522
pwy234_pc4 2 2 0.143 -0.104 0.264 -0.102662916732279 5.40122398203675e-64 0.177
pwy238_pc5 9 0 0.001 0.044 0.002 0.0464653180476149 8.854655112239e-07 0.003
pwy253_pc5 2 0 0.148 -0.069 0.108 -0.0827934430690764 4.14140317987477e-24 0.192
pwy258_pc4 2 2 0.058 -0.034 0.121 -0.0338240072670173 2.12437051455642e-18 0.121
pwy259_pc5 2 2 0.072 0.073 0.155 0.0722251017329048 1.60034502499145e-21 0.488
pwy261_pc4 2 0 0.119 -0.131 0.188 -0.128760125786898 4.88673731731338e-46 0.231
pwy273_pc5 2 2 0.991 -0.001 0.984 0.00126392527477964 0.866941171361199 0.979
pwy283_pc3 2 2 0.025 0.038 0.028 0.0389071895875317 3.62517173380728e-18 0.372
pwy284_pc4 2 2 0.018 0.037 0.021 0.038179244682172 3.44702822351247e-18 0.376
pwy285_pc3 2 2 0.07 -0.045 0.143 -0.045436022602359 1.36905188789374e-25 0.413
pwy301_pc3 2 2 0.123 0.09 0.235 0.0902951473426108 1.68060867678674e-63 0.178
pwy301_pc4 2 2 0.026 -0.063 0.063 -0.0632694369309689 3.58439328512497e-18 0.554
pwy306_pc5 2 0 0.107 0.12 0.162 0.117499819413572 2.39733733566276e-46 0.23
pwy311_pc3 3 3 0.698 0.019 0.733 0.0249318192335589 5.79150081168829e-07 0.697
pwy320_pc3 10 0 0.001 0.043 0 0.0451278611101762 2.8071272260765e-06 0.001
pwy321_pc5 10 0 0.004 0.045 0.003 0.0481336985658619 7.19487412929793e-05 0.003
pwy322_pc4 3 0 0.094 0.082 0.09 0.117111998469576 7.09286517201751e-77 0.093
pwy325_pc4 9 0 0.001 0.047 0.002 0.0488998199841748 2.13179026791635e-06 0.003
pwy325_pc5 5 0 0.652 -0.021 0.652 -0.0743676566887586 0.0584074618723475 0.12
pwy326_pc4 10 0 0 -0.043 0 -0.0457020585988006 4.16341650811489e-07 0.001
pwy328_pc2 2 2 0.007 -0.047 0.003 -0.0483041224149199 1.5631318938833e-29 0.111
pwy331_pc4 3 3 0.082 -0.07 0.041 -0.0293524618659765 9.82365702165871e-07 0.594
pwy34_pc5 2 2 0.055 0.145 0.12 0.144803361510692 1.79396156183399e-22 0.353
pwy40_pc2 2 2 0.582 -0.035 0.547 -0.000888266938586959 0.900142709678472 0.99
pwy44_pc3 2 2 0.043 -0.049 0.048 -0.0518525769212352 2.06016651041855e-20 0.315
pwy47_pc3 2 2 0.064 0.048 0.058 0.0530063477622206 3.42529590471626e-20 0.307
pwy64_pc3 2 2 0.959 -0.007 0.9 -0.00649173660483286 0.615840729659306 0.932
pwy70_pc1 2 2 0.119 -0.069 0.163 -0.0555813953696529 3.70347170503227e-15 0.131
pwy85_pc4 2 2 0.828 0.018 0.695 0.0030130320900319 0.676685987168094 0.943
pwy88_pc4 2 2 0.146 -0.108 0.283 -0.107492392666071 1.57078895953719e-62 0.18
pwy93_pc2 2 0 0.829 0.019 0.686 0.021588100695396 6.92878989913934e-09 0.624
pwy97_pc3 3 3 0.509 -0.033 0.427 -0.0319937913531262 1.05925123629972e-16 0.498
pwy97_pc4 3 3 0.014 -0.07 0.054 -0.0702316730552175 1.59671292670177e-40 0.333
pwy99_pc4 3 3 0.021 0.084 0.082 0.0868411405347553 1.23164592611549e-38 0.332
pwy99_pc5 2 2 0.066 0.101 0.139 0.101600823517989 1.02637081614197e-23 0.46
pwy101_pc1 2 2 0.88 0.007 0.801 0.00223793221277657 0.426582533097711 0.944
pwy105_pc1 2 2 0.843 -0.015 0.722 -0.00701078396926305 0.122977352457883 0.871
pwy106_pc1 2 2 0.866 0.013 0.774 0.00489634841964989 0.276677713117749 0.918
pwy111_pc1 2 2 0.861 -0.006 0.764 -0.00224905865784297 0.235322894811337 0.905
pwy113_pc1 2 2 0.867 -0.006 0.778 -0.00220402170835372 0.290895928632985 0.923
