factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
T1D_pwy96_pc5 2 2 0.947 0.022 0.007 0.873
allergy_pwy100_pc2 3 3 0.915 0.015 0.007 0.891
allergy_pwy107_pc5 2 2 0.089 0.116 0.981 0.076
allergy_pwy109_pc1 2 2 0.698 -0.057 0.209 0.611
allergy_pwy110_pc1 2 2 0.004 -0.14 1 0.017
allergy_pwy111_pc5 2 2 0.729 -0.045 0.171 0.555
allergy_pwy129_pc5 2 2 0.931 -0.011 0.012 0.784
allergy_pwy135_pc5 3 3 0.931 -0.008 0.005 0.94
allergy_pwy144_pc4 2 2 0.836 -0.028 0.065 0.6
allergy_pwy145_pc3 2 2 0.156 -0.25 0.941 0.377
allergy_pwy148_pc3 2 2 0.979 0.004 0.001 0.94
allergy_pwy150_pc2 2 2 0.193 0.25 0.91 0.373
allergy_pwy162_pc5 2 2 0.849 0.03 0.055 0.628
allergy_pwy168_pc4 2 2 0.701 0.072 0.205 0.553
allergy_pwy179_pc2 2 2 0.028 0.134 0.998 0.07
allergy_pwy17_pc3 2 1 0.998 0.001 0 0.993
allergy_pwy186_pc4 2 2 0.086 0.129 0.982 0.196
allergy_pwy18_pc4 2 2 0.918 0.019 0.017 0.745
allergy_pwy191_pc5 2 2 0.692 0.077 0.217 0.553
allergy_pwy207_pc3 2 2 0.61 -0.088 0.33 0.553
allergy_pwy20_pc5 2 2 0.942 0.013 0.008 0.834
allergy_pwy215_pc2 3 3 0.003 0.115 0.993 0.01
allergy_pwy224_pc5 2 2 0.153 -0.087 0.943 0.294
allergy_pwy247_pc1 2 2 0.96 0.012 0.004 0.851
allergy_pwy24_pc1 2 2 0.651 0.101 0.272 0.553
allergy_pwy255_pc2 2 2 0.99 -0.003 0 0.96
allergy_pwy258_pc2 3 3 0.693 0.046 0.094 0.73
allergy_pwy259_pc5 2 2 0.008 0.108 1 0.019
allergy_pwy283_pc3 3 3 0.664 0.054 0.113 0.688
allergy_pwy296_pc1 2 2 0.087 0.107 0.981 0.262
allergy_pwy296_pc3 2 2 0.684 -0.107 0.226 0.553
allergy_pwy306_pc5 2 2 0.078 -0.108 0.985 0.063
allergy_pwy317_pc3 2 2 0.05 -0.165 0.994 0.169
allergy_pwy319_pc5 2 2 0.897 -0.017 0.026 0.738
allergy_pwy326_pc5 2 2 0.002 -0.129 1 0.013
allergy_pwy328_pc1 2 2 0.138 -0.106 0.953 0.208
allergy_pwy33_pc4 2 2 0.16 -0.271 0.938 0.386
allergy_pwy3_pc1 2 2 0.093 -0.108 0.979 0.076
allergy_pwy62_pc3 2 1 0.245 0.251 0.86 0.49
allergy_pwy75_pc2 3 3 0.42 0.105 0.336 0.285
allergy_pwy78_pc3 2 2 0.583 -0.079 0.372 0.53
baso_pwy100_pc1 2 2 0.871 -0.02 0.04 0.676
baso_pwy123_pc5 2 2 0.153 0.072 0.943 0.358
baso_pwy144_pc5 2 2 0.359 0.203 0.714 0.458
baso_pwy164_pc4 2 2 0.036 0.103 0.997 0.03
baso_pwy166_pc1 2 2 0.072 0.067 0.987 0.084
baso_pwy180_pc2 2 2 0.042 0.18 0.996 0.035
baso_pwy195_pc5 2 2 0.967 0.003 0.003 0.919
baso_pwy208_pc1 3 3 0.871 -0.019 0.017 0.942
baso_pwy226_pc3 2 2 0.833 0.035 0.068 0.627
baso_pwy268_pc2 2 2 0.073 0.104 0.987 0.054
baso_pwy315_pc3 2 2 0.141 0.076 0.952 0.351
baso_pwy45_pc4 2 2 0.902 0.016 0.023 0.728
baso_pwy58_pc2 2 2 0.205 -0.142 0.9 0.324
baso_pwy76_pc1 3 3 0.089 0.103 0.83 0.191
baso_pwy88_pc4 3 3 0.464 0.044 0.287 0.351
baso_pwy94_pc5 2 2 0.988 -0.001 0 0.967
baso_pwy95_pc2 2 2 0.131 0.122 0.958 0.312
baso_pwy98_pc5 2 2 0.138 -0.137 0.954 0.165
baso_pwy99_pc4 2 2 0.226 0.217 0.879 0.408
eo_pwy137_pc5 2 2 0.984 0.002 0.001 0.965
eo_pwy139_pc1 2 2 0.047 0.098 0.995 0.12
eo_pwy153_pc3 2 2 0.05 -0.121 0.994 0.133
eo_pwy228_pc1 2 2 0.84 -0.021 0.062 0.641
eo_pwy244_pc5 2 2 0.964 -0.004 0.003 0.896
eo_pwy271_pc1 2 2 0.051 0.068 0.994 0.112
eo_pwy278_pc2 3 3 0.44 -0.065 0.314 0.308
eo_pwy295_pc1 2 2 0.054 -0.086 0.993 0.118
eo_pwy44_pc3 2 2 0.957 -0.009 0.004 0.905
eo_pwy84_pc1 2 2 0.005 0.06 1 0.007
gran_pwy100_pc4 2 2 0.657 0.038 0.263 0.584
gran_pwy103_pc4 2 2 0.581 -0.097 0.374 0.526
gran_pwy107_pc4 2 2 0.008 0.078 1 0.031
gran_pwy119_pc5 2 2 0.88 0.011 0.035 0.748
gran_pwy15_pc4 2 2 0.932 -0.01 0.012 0.771
gran_pwy166_pc3 2 2 0.845 0.038 0.058 0.692
gran_pwy228_pc2 4 4 0.503 -0.042 0.161 0.497
gran_pwy232_pc2 2 2 0.307 -0.152 0.784 0.51
gran_pwy258_pc2 2 2 0.075 -0.108 0.986 0.181
gran_pwy278_pc3 2 2 0.042 -0.087 0.996 0.133
gran_pwy29_pc2 3 3 0.879 -0.024 0.015 0.906
gran_pwy322_pc2 2 2 0.068 -0.099 0.989 0.242
gran_pwy94_pc5 2 2 0.883 -0.019 0.033 0.808
hct_pwy131_pc4 3 3 0.457 0.033 0.295 0.372
hct_pwy133_pc2 2 2 0.969 -0.004 0.002 0.922
hct_pwy187_pc2 2 2 0.137 0.054 0.954 0.026
hct_pwy202_pc3 3 3 0.904 0.008 0.009 0.88
hct_pwy206_pc2 2 2 0.085 -0.082 0.982 0.104
hct_pwy213_pc1 2 2 0.011 -0.096 1 0.043
hct_pwy221_pc3 2 2 0.342 0.078 0.737 0.48
hct_pwy234_pc3 3 3 0.09 0.167 0.828 0.198
hct_pwy260_pc2 2 2 0.114 0.091 0.969 0.312
hct_pwy306_pc3 2 2 0.308 -0.105 0.784 0.477
hct_pwy315_pc3 2 2 0.069 -0.062 0.988 0.097
hct_pwy36_pc2 2 2 0.816 0.021 0.082 0.638
hct_pwy85_pc3 2 2 0.115 0.029 0.968 0.01
hct_pwy92_pc5 3 3 0.07 -0.127 0.865 0.164
hgb_pwy10_pc2 2 2 0.053 -0.122 0.993 0.064
hgb_pwy114_pc5 2 2 0.973 0.002 0.002 0.907
hgb_pwy123_pc5 2 1 0.892 -0.013 0.028 0.865
hgb_pwy125_pc5 2 1 0.914 -0.014 0.018 0.772
hgb_pwy133_pc3 2 2 0.027 -0.092 0.998 0.083
hgb_pwy143_pc3 2 1 0.883 0.013 0.034 0.861
hgb_pwy151_pc5 2 1 0.891 -0.015 0.029 0.712
hgb_pwy155_pc4 2 2 0.414 0.026 0.634 0.401
hgb_pwy156_pc3 2 1 0.212 0.041 0.893 0.036
hgb_pwy159_pc3 2 2 0.072 0.057 0.987 0.049
hgb_pwy167_pc3 3 3 0.916 0.009 0.007 0.936
hgb_pwy187_pc2 2 2 0.08 0.056 0.984 0.002
hgb_pwy197_pc5 2 1 0.885 0.015 0.032 0.861
hgb_pwy198_pc2 2 2 0.049 -0.061 0.994 0.001
hgb_pwy202_pc3 4 3 0.692 0.02 0.06 0.676
hgb_pwy206_pc2 3 2 0.694 -0.03 0.094 0.688
hgb_pwy20_pc3 2 1 0.022 -0.211 0.999 0.06
hgb_pwy218_pc3 4 3 0.73 -0.02 0.046 0.706
hgb_pwy228_pc3 2 1 0.866 -0.018 0.043 0.857
hgb_pwy231_pc4 2 1 0.87 -0.02 0.041 0.675
hgb_pwy234_pc3 3 3 0.095 0.156 0.819 0.195
hgb_pwy238_pc5 2 1 0.797 -0.032 0.098 0.578
hgb_pwy240_pc2 2 2 0.019 0.087 0.999 0.03
hgb_pwy255_pc5 2 2 0.037 -0.047 0.997 0.029
hgb_pwy267_pc3 2 1 0.14 0.128 0.952 0.337
hgb_pwy294_pc3 2 2 0.035 -0.055 0.997 0.115
hgb_pwy296_pc5 2 2 0.085 0.052 0.982 0.274
hgb_pwy300_pc4 2 2 0.114 -0.073 0.968 0.325
hgb_pwy306_pc3 2 2 0.26 -0.098 0.843 0.388
hgb_pwy315_pc3 3 3 0.02 -0.062 0.96 0.021
hgb_pwy319_pc3 2 2 0.375 0.028 0.691 0.268
hgb_pwy327_pc4 2 2 0.823 -0.018 0.075 0.624
hgb_pwy36_pc2 3 3 0.82 -0.012 0.032 0.857
hgb_pwy49_pc5 2 2 0.927 -0.016 0.013 0.788
hgb_pwy66_pc4 2 2 0.733 -0.062 0.166 0.544
hgb_pwy92_pc5 2 2 0.133 -0.086 0.957 0.328
lymph_pwy10_pc2 3 3 0.376 0.094 0.39 0.275
lymph_pwy247_pc4 2 2 0.493 0.031 0.511 0.501
lymph_pwy258_pc2 2 2 0.016 -0.072 0.999 0.05
lymph_pwy272_pc1 2 2 0.587 -0.084 0.365 0.523
lymph_pwy278_pc2 2 2 0.048 -0.086 0.994 0.053
lymph_pwy279_pc4 2 2 0.852 -0.021 0.053 0.674
lymph_pwy285_pc3 2 2 0.131 0.094 0.958 0.316
lymph_pwy4_pc3 2 2 0.055 -0.079 0.992 0.146
lymph_pwy66_pc5 4 4 0.462 -0.04 0.191 0.439
