factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
T1D_pwy96_pc5 2 2 0.81 0.091 0.086 0.713
T1D_pwy97_pc4 2 2 0.034 0.323 0.997 0.109
allergy_pwy103_pc2 2 2 0.897 -0.053 0.026 0.742
allergy_pwy136_pc2 3 2 0.959 0.006 0.002 0.966
allergy_pwy146_pc1 2 2 0.071 0.172 0.988 0.192
allergy_pwy157_pc1 2 2 0.182 -0.231 0.921 0.384
allergy_pwy161_pc2 3 3 0.696 -0.041 0.092 0.674
allergy_pwy171_pc3 2 2 0.038 -0.102 0.996 0.054
allergy_pwy186_pc1 2 2 0.95 -0.009 0.006 0.877
allergy_pwy193_pc4 2 0 0.044 0.139 0.995 0.127
allergy_pwy204_pc2 2 2 0.746 0.063 0.151 0.581
allergy_pwy209_pc5 2 2 0.816 -0.044 0.082 0.768
allergy_pwy215_pc2 2 2 0.015 -0.236 0.999 0.042
allergy_pwy219_pc5 2 2 0.024 0.098 0.999 0.023
allergy_pwy238_pc3 2 1 0.491 0.096 0.514 0.497
allergy_pwy273_pc1 2 2 0.842 0.027 0.061 0.677
allergy_pwy276_pc2 2 2 0.855 -0.056 0.051 0.688
allergy_pwy277_pc1 2 2 0.676 0.099 0.237 0.519
allergy_pwy291_pc1 2 2 0.794 -0.017 0.101 0.643
allergy_pwy320_pc5 2 1 0.183 -0.22 0.919 0.401
allergy_pwy40_pc4 2 2 0.095 0.112 0.978 0.236
allergy_pwy45_pc3 2 2 0.104 0.14 0.973 0.243
allergy_pwy48_pc1 2 2 0.023 -0.152 0.999 0.063
allergy_pwy6_pc5 2 2 0.098 -0.116 0.977 0.241
allergy_pwy94_pc5 2 2 0.071 0.077 0.988 0.184
allergy_pwy99_pc4 2 1 0.939 -0.013 0.009 0.832
baso_pwy114_pc2 2 2 0.059 -0.083 0.991 0.204
baso_pwy126_pc5 3 3 0.405 0.03 0.354 0.333
baso_pwy127_pc3 2 1 0.915 0.008 0.018 0.757
baso_pwy138_pc1 3 3 0.018 0.057 0.964 0.086
baso_pwy143_pc4 2 2 0.671 0.022 0.243 0.551
baso_pwy149_pc5 2 2 0.656 -0.045 0.265 0.551
baso_pwy150_pc3 2 2 0.967 -0.003 0.003 0.896
baso_pwy153_pc1 2 1 0.048 -0.088 0.994 0.101
baso_pwy172_pc1 2 2 0.998 0 0 0.985
baso_pwy173_pc4 2 2 0.628 0.035 0.304 0.551
baso_pwy183_pc4 2 2 0.964 0.003 0.003 0.893
baso_pwy186_pc4 2 2 0.936 0.005 0.01 0.827
baso_pwy189_pc4 2 2 0.031 0.06 0.998 0.079
baso_pwy190_pc4 2 2 0.177 0.09 0.924 0.362
baso_pwy200_pc4 2 2 0.606 -0.046 0.336 0.551
baso_pwy201_pc4 2 2 0.606 -0.041 0.336 0.551
baso_pwy205_pc4 2 2 0.627 0.034 0.306 0.551
baso_pwy210_pc4 2 2 0.976 -0.002 0.001 0.908
baso_pwy246_pc2 3 2 0.001 -0.144 0.998 0.019
baso_pwy251_pc2 2 2 1 0 0 0.998
baso_pwy252_pc3 2 2 0.979 0.005 0.001 0.952
