Category LV46-Enrichment LV46-Enrichment_p LV38-Enrichment LV38-Enrichment_p LV6-Enrichment LV6-Enrichment_p LV59-Enrichment LV59-Enrichment_p LV5-Enrichment LV5-Enrichment_p
baseL2_0 1 NA 0.999999999999996 NA 1.00000000000001 NA 0.999999999999985 NA 1 NA
Coding_UCSC.bedL2_0 -68.4424292567246 0.10695253152134 94.8314803584369 0.260895813423378 13.522754177502 0.677816652241873 49.6534043088062 0.40722807768144 44.9491891741949 0.110867684838739
Coding_UCSC.extend.500.bedL2_0 4.46326452005487 0.753731850198789 5.1788828189286 0.870243859943734 1.89448619964527 0.886952880127174 -4.78812709970707 0.673682705098445 5.01666846617054 0.593268491664414
Conserved_LindbladToh.bedL2_0 71.4829189613749 0.187627836079178 115.059080698113 0.245195978152645 -34.4666543286739 0.20547753490011 -159.150495768666 0.00133436503038704 59.5061434104401 0.0337452905333412
Conserved_LindbladToh.extend.500.bedL2_0 4.67516615451173 0.499070779452911 12.8924793434624 0.270794548321458 2.19194104102352 0.657858577958007 5.5532168307743 0.317250337134567 -0.572190429001168 0.545242170076191
CTCF_Hoffman.bedL2_0 67.7154247322903 0.242542719828399 -14.2559049981783 0.85503783708333 18.9730137097273 0.508515990178531 -55.7519264682998 0.258743837222114 -7.96768958211653 0.748962436334603
CTCF_Hoffman.extend.500.bedL2_0 21.2137560155967 0.333414414259221 -29.9996306697403 0.329414979558827 10.341885722143 0.373843042308341 -36.1661535519823 0.0424999511990411 2.4268068675582 0.903632108169552
DGF_ENCODE.bedL2_0 48.1528846093222 0.0350704250807917 -6.57006817754905 0.836418052600457 0.734498860900849 0.981968153520291 19.4050990428124 0.461049003643485 10.0128330875899 0.512652815702805
DGF_ENCODE.extend.500.bedL2_0 0.423712321400967 0.911213306484915 0.520320679271258 0.943331336371593 0.991380766663469 0.997305520828262 -0.123912018698263 0.782320157874759 -3.53324602455149 0.0492616591034198
DHS_peaks_Trynka.bedL2_0 17.1475814189428 0.510971811497204 -10.9264114681044 0.793446296361924 -4.771712985396 0.685643331433329 3.54192259728225 0.927027659151523 11.2740191042112 0.468522238028369
DHS_Trynka.bedL2_0 9.93761873821929 0.637074736352323 5.93548253894559 0.877232315567255 -2.07741122360759 0.779638663772476 -4.04654474505946 0.805623347995545 -10.1992124840396 0.287560136302067
DHS_Trynka.extend.500.bedL2_0 5.68453824779962 0.336381921597183 11.9453283212487 0.165893093017571 1.34210923078287 0.884612505317116 0.272777315050183 0.867698084339884 4.24453663322005 0.181744549725475
Enhancer_Andersson.bedL2_0 -248.201521137518 0.0553505709789233 314.710278999419 0.158888343102055 31.8018391034661 0.65275391339388 35.199274583238 0.828805227963408 -15.518580382964 0.823048846402401
Enhancer_Andersson.extend.500.bedL2_0 -54.7746418094876 0.162579614055084 30.279580929231 0.670272330359957 8.2250379935787 0.710042848906612 11.5838906193473 0.820616357735409 -7.81714941578295 0.744630628893374
Enhancer_Hoffman.bedL2_0 -37.1527451474214 0.201835957956834 24.1271647393752 0.684359902285779 -6.01052721031393 0.66622847947788 -56.38703338351 0.0378078579799523 11.0190844253405 0.586050819776877
Enhancer_Hoffman.extend.500.bedL2_0 -12.8790146136809 0.280002237482535 40.5242489114334 0.130516137482823 3.66775343550854 0.732170640253892 -5.63178841269046 0.657980421212948 -10.7977357268436 0.110253628731683
FetalDHS_Trynka.bedL2_0 2.75966720750158 0.950571278842199 -6.02754014767517 0.884632010607898 -1.72119264162351 0.861502612908713 -40.4239510841966 0.220879117514711 -27.0833365325511 0.0928467986649345
FetalDHS_Trynka.extend.500.bedL2_0 -6.33308448699802 0.351658259977978 4.09008387580689 0.815755978643299 3.57755584579946 0.59089634667543 -1.29938969993918 0.766388544959818 2.11085785356761 0.79834342371675
H3K27ac_Hnisz.bedL2_0 4.79460751386169 0.256298176116803 -2.59407806760873 0.472073682338017 0.779255424845136 0.876185241429702 5.84526373174173 0.0909904345192216 3.02068004208089 0.179851878428922
H3K27ac_Hnisz.extend.500.bedL2_0 -0.422438682707588 0.662077935817774 -1.57601793314277 0.622750979455991 2.55747189371351 0.321670339247489 6.3047503838119 0.0760595918738518 1.71258306394179 0.697542835748831
H3K27ac_PGC2.bedL2_0 -4.49978172636091 0.43436516970605 -12.5987375207735 0.245230984059536 -0.177866229184965 0.750071588305197 5.21499786905659 0.534594350463814 3.12330531452675 0.565966006849288
H3K27ac_PGC2.extend.500.bedL2_0 -3.23637094782005 0.382440431728882 -5.74560603346582 0.396025027462161 1.25382534074741 0.919949526264297 5.02477051473386 0.338267573538936 -5.02576565543304 0.0120100096129825
H3K4me1_peaks_Trynka.bedL2_0 5.83661620934534 0.788153087779095 -11.9410749597794 0.660369100682158 11.5129170010165 0.218991769581866 13.6905062480662 0.413293161689688 5.0430546656417 0.663905338250388
H3K4me1_Trynka.bedL2_0 6.57357981419978 0.422413743377073 1.86768460133155 0.930574447720276 0.741970537067898 0.92864764370675 1.68424085344879 0.895917544943005 2.70241182660271 0.573268491039872
H3K4me1_Trynka.extend.500.bedL2_0 2.47496727964901 0.596280939800019 0.158835664224617 0.827964197454626 0.596730081944597 0.747614345960115 0.619826963650003 0.864753926293395 2.49820840428383 0.253020512257124
H3K4me3_peaks_Trynka.bedL2_0 -12.5157214224933 0.706004108496667 40.2818942986035 0.484557885982365 -2.86844267704431 0.836936020244585 -52.3148302569234 0.165479404647775 -35.743018860095 0.0690924834045145
