Category LV40-Enrichment LV40-Enrichment_p LV78-Enrichment LV78-Enrichment_p LV76-Enrichment LV76-Enrichment_p LV15-Enrichment LV15-Enrichment_p LV51-Enrichment LV51-Enrichment_p LV11-Enrichment LV11-Enrichment_p
baseL2_0 1.00000000000002 NA 1.00000000000001 NA 0.999999999999957 NA 1 NA 1.00000000000005 NA 0.999999999999998 NA
Coding_UCSC.bedL2_0 -14.3180503412997 0.824464253793066 72.8063370862713 0.488132281415397 -26.4584927998883 0.945440974111816 -1.68234758252976 0.892548669932834 272.419134036813 0.00706967932129321 -8.85789975282312 0.524495441417147
Coding_UCSC.extend.500.bedL2_0 30.2532462949968 0.0768843649612713 -26.7067783058695 0.442788261785003 44.8086533406546 0.814026956690135 1.03749086569255 0.994302178719886 34.3035207987975 0.215007583878856 6.6573534562277 0.154232845051104
Conserved_LindbladToh.bedL2_0 -26.2208916487841 0.6553707328566 222.398135408791 0.063868710121167 -297.090148923913 0.573151366186833 -16.7381775562731 0.409135940328456 79.7026867854506 0.429089871195513 15.0833767749641 0.333668209040238
Conserved_LindbladToh.extend.500.bedL2_0 8.95764587073941 0.0922350824007793 1.08845956381955 0.994404912299374 2.00079276124126 0.97841427491827 1.84431684233297 0.684058060271533 5.33002613599606 0.776436323120059 2.16041801412828 0.505371648613444
CTCF_Hoffman.bedL2_0 -23.6075519199046 0.648228506170252 195.303239556376 0.196432521873551 -276.445066167702 0.62277119278996 17.3791588209537 0.408258896299516 121.790136746706 0.308851331735117 5.59021751661084 0.787207335653322
CTCF_Hoffman.extend.500.bedL2_0 -47.2488061209442 0.0116886584788851 52.1737085909345 0.101301059820009 98.7612634933566 0.543664964626209 5.10282888579017 0.628902607070581 18.8479304438135 0.693523369179044 17.326264990111 0.00201477944160797
DGF_ENCODE.bedL2_0 13.8805154634721 0.558126376902326 -30.914232526466 0.423591378182751 37.9785150973566 0.850676674979349 9.85574185027467 0.371875564117692 12.3199785669014 0.8398547385046 6.69111898264492 0.406776037741204
DGF_ENCODE.extend.500.bedL2_0 4.41671764139907 0.356746733096688 -3.14981713657256 0.618863354843022 32.9988616561857 0.491242402537938 2.45691982996503 0.3658516432324 4.35068103671475 0.73529220094385 1.23790030238656 0.839831660537307
DHS_peaks_Trynka.bedL2_0 -1.13447677389654 0.933829483006343 -16.5879001210658 0.664849037321487 405.368134756613 0.205774165915327 -1.43967930728822 0.824947534682862 158.974575642727 0.00555766422592863 6.17784589111884 0.478720197536369
DHS_Trynka.bedL2_0 -3.75890461234359 0.797788239987409 -54.2903456031873 0.229315759563623 108.367740052465 0.566719864365112 1.2691650440053 0.97543242877724 106.360504102055 0.00844060206207941 6.34300262280652 0.358206829118174
DHS_Trynka.extend.500.bedL2_0 11.8044209995019 0.0196771089055727 9.61465258540461 0.251211876931741 -43.252613629154 0.244532698062424 2.9282790311519 0.28835411243783 20.4356152272933 0.10374766678181 2.726325557405 0.187060312746124
Enhancer_Andersson.bedL2_0 248.915315927619 0.130203406996525 -231.923057572968 0.435237627113581 1167.83032256235 0.503505895202015 -29.4194062042666 0.625780354110303 273.559881014758 0.391396052259028 56.4931840474659 0.216492762875587
Enhancer_Andersson.extend.500.bedL2_0 73.7114868821487 0.0653363624757586 -214.876236294034 0.134720379978516 -241.778763023238 0.576688519844347 -19.3570999496517 0.181686191388967 18.614452471756 0.874185410766805 1.76782251610027 0.951471750622182
Enhancer_Hoffman.bedL2_0 -31.2222587482231 0.299444267292298 -111.794502603221 0.119627283365095 136.039307728507 0.717575272674363 -17.2444899426621 0.111266900613874 47.4002180471092 0.516832231689125 26.3445106094339 0.0130901334411342
Enhancer_Hoffman.extend.500.bedL2_0 9.03634858705109 0.523582675376184 -8.15988490111737 0.827770430293393 -72.3300517449549 0.544562272455211 2.8768086659025 0.746405891374622 -11.7416204990792 0.701241134256026 -2.43234842918998 0.445436902311951
FetalDHS_Trynka.bedL2_0 -39.5775287814957 0.173684261968379 -89.8866843240524 0.249743791806378 365.547221770675 0.351574126378073 11.1692532636043 0.391841887232075 127.71098913898 0.0268519069222572 15.9217019538855 0.0611629016646816
FetalDHS_Trynka.extend.500.bedL2_0 -2.86891763689672 0.599048234241318 -12.8058418129729 0.333229273204862 -1.75702617206988 0.973502398336446 1.40369031957665 0.893908796817764 7.13940494280863 0.73885290784055 4.46839999820347 0.123766608531244
H3K27ac_Hnisz.bedL2_0 0.684460406043468 0.916383369683536 -3.82866358397756 0.390955872141775 -7.73528956269789 0.704738638661678 1.51551843350562 0.656166721311319 14.7656111457967 0.044234021154465 -0.265512775280043 0.163448129537272
H3K27ac_Hnisz.extend.500.bedL2_0 3.62073361985197 0.425544237098174 0.586375267272418 0.941527000675464 15.3539444823255 0.54488468926593 0.40767978343807 0.582474987250949 5.51764817642525 0.610158416794298 0.223087309231454 0.337935364804825
H3K27ac_PGC2.bedL2_0 4.4794475237643 0.595226767217225 1.52484897815222 0.961251513120203 -18.9187330091278 0.806113356669516 1.96514292408206 0.695594683019216 24.8191748005508 0.112131904082525 3.46917538397486 0.31547268769428
H3K27ac_PGC2.extend.500.bedL2_0 6.2270976764672 0.225451164569 -2.4665881821495 0.636883962013026 86.7845663742348 0.187502872867635 1.52328994242467 0.763838532825335 5.21974692307838 0.716344534454445 2.46921541314794 0.348586086582035
H3K4me1_peaks_Trynka.bedL2_0 -20.006626735704 0.218291816241249 -11.5553814412255 0.715692716559776 -106.139263460522 0.382108303314089 3.92264758821156 0.589146575706028 40.8120275704068 0.210775096130274 0.459428084490842 0.926031970763016
