Category LV46-Enrichment LV46-Enrichment_p LV52-Enrichment LV52-Enrichment_p LV5-Enrichment LV5-Enrichment_p LV5-Enrichment LV5-Enrichment_p
baseL2_0 1 NA 1 NA 1 NA 1 NA
Coding_UCSC.bedL2_0 -1.87913430066208 0.136250468180803 2.64931945299897 0.390395291352597 -1.2935302172113 0.231233329911661 -5.72311639505302 0.00855904916732748
Coding_UCSC.extend.500.bedL2_0 0.824241138068448 0.672478720600736 0.804822220890944 0.645753949469291 0.723389255242904 0.462424433348487 0.546378847206922 0.219551213228129
Conserved_LindbladToh.bedL2_0 1.13809326925233 0.946020122081107 0.312793408162848 0.685117036600152 -0.378900625083737 0.375813208882462 -3.59440828326725 0.00117184613159613
Conserved_LindbladToh.extend.500.bedL2_0 1.51518195881279 0.00148684509714322 1.40282501698558 0.00534007497030374 1.31216648213561 0.143483379612275 1.48595744270015 4.98061389221484e-05
CTCF_Hoffman.bedL2_0 2.32277267487412 0.487166251398102 0.775789144583472 0.926840749531709 2.0633745150218 0.588870568783654 1.09821338541286 0.954796991918119
CTCF_Hoffman.extend.500.bedL2_0 2.72700676118032 0.0123652155227917 1.88962483279009 0.312926434248051 2.3739812904916 0.0651668894771586 2.59167152889329 0.000354266767436154
DGF_ENCODE.bedL2_0 2.3792187560114 0.0793742329298511 2.15805411288234 0.189157616390789 0.548387407872887 0.681798161139609 1.44233359417573 0.569793518593523
DGF_ENCODE.extend.500.bedL2_0 1.72650482442902 2.32437758659217e-07 1.36843008151035 0.0212830063448703 1.51659395843389 3.66497819789871e-06 1.60173499012848 1.99213388972136e-09
DHS_peaks_Trynka.bedL2_0 3.04127124113912 0.022386161277189 1.69616546552162 0.516470897858341 1.04903129255863 0.972202440108199 2.57244815357349 0.0907035686922394
DHS_Trynka.bedL2_0 3.05052138285597 0.00803620171287869 1.85166699078609 0.24363070054625 2.04734613186334 0.178734886194977 3.17049103223085 0.00138317082722148
DHS_Trynka.extend.500.bedL2_0 2.01165962398005 1.67299795765742e-10 2.05684230918435 2.17288184264696e-08 1.57472433044062 0.000204413224153683 1.77670238271849 3.91384498731296e-10
Enhancer_Andersson.bedL2_0 3.90510910597025 0.58173219723358 -5.69134024439236 0.248704856131082 -3.06134009274714 0.446811507790839 1.09190486753588 0.983657110014553
Enhancer_Andersson.extend.500.bedL2_0 3.33294618237641 0.0490358616958677 5.05911302438031 0.000384465482658989 5.17809470865575 0.00465511861097253 3.52600856984738 0.0207718379049191
Enhancer_Hoffman.bedL2_0 1.52098866743429 0.572413675802772 2.22504491674834 0.281512516383131 1.79648611698384 0.469816829464696 3.07657899918637 0.0140836656865738
Enhancer_Hoffman.extend.500.bedL2_0 1.5988021410808 0.12066206177892 1.08690669835831 0.849649218769913 1.54541045158393 0.447889575132173 2.02979432691077 0.0139148462646129
FetalDHS_Trynka.bedL2_0 2.72007755635426 0.0694311455007138 0.843914835926447 0.880363508802036 2.51051041656652 0.294745164794453 3.54300873873489 0.0136293170712963
FetalDHS_Trynka.extend.500.bedL2_0 3.20956261637485 5.69558986194809e-14 2.63347516933723 4.03028601914438e-08 2.32322701660659 2.45688709616184e-06 2.6263979531163 7.80285897526395e-11
H3K27ac_Hnisz.bedL2_0 1.45058659724059 9.45638133368365e-06 1.33328750667241 0.000341489679020306 1.34942814690435 0.00228958387388555 1.45128130880648 1.18044986160015e-08
H3K27ac_Hnisz.extend.500.bedL2_0 1.39700690209009 8.35626401367314e-05 1.47591233178001 3.25243946361154e-05 1.27907382427075 0.00336405410960083 1.34896020889563 5.42275629371923e-05
H3K27ac_PGC2.bedL2_0 1.57220690003399 0.00645423699178169 1.38816316533932 0.16430792914033 1.18382606286985 0.445224680626974 1.24707636642725 0.202818220217437
H3K27ac_PGC2.extend.500.bedL2_0 1.39927849554661 0.00617263476096578 1.21401687167882 0.0985456636809279 1.17301527217397 0.180706235475571 1.36363660507202 0.000982533222345715
H3K4me1_peaks_Trynka.bedL2_0 0.377134082970218 0.253907592093203 0.0527178422335385 0.0808353852905911 0.504437443348363 0.339195210518827 0.765593405753113 0.678684126138009
H3K4me1_Trynka.bedL2_0 1.33528576172196 0.0372051256432031 1.06361265626936 0.727154953117423 1.03369221486692 0.837370617651367 1.27480678982458 0.0788330031864363
H3K4me1_Trynka.extend.500.bedL2_0 1.47451169877183 4.71352016692937e-12 1.65681001478974 1.87230283799168e-11 1.52282997407355 1.01912885901057e-14 1.50745503591069 6.88630253025425e-16
H3K4me3_peaks_Trynka.bedL2_0 -1.95975837776601 0.0323625212445092 0.467200703441833 0.739800023066948 1.05152334748272 0.97450260746229 2.66761156836376 0.215070458207472
H3K4me3_Trynka.bedL2_0 1.57744232386681 0.0805786255768262 1.04679266654921 0.90328889006845 1.66732713988836 0.0700535528996781 1.21181225238698 0.552184516280189
H3K4me3_Trynka.extend.500.bedL2_0 1.60053637742281 0.00203868338527254 1.46834847722067 0.0231137625238477 1.40819710358177 0.0310762150290105 1.55657634044675 0.00105800948833576
H3K9ac_peaks_Trynka.bedL2_0 -0.45846094223765 0.270925190643017 -0.375490721046944 0.348189794525184 5.15785421964307 0.0032294474253929 3.79325936553841 0.0570057261692392
H3K9ac_Trynka.bedL2_0 1.41308640226119 0.281204190681347 0.651567700962004 0.406287739056755 1.4536350549399 0.248376494001921 1.42775123355221 0.23818980538794
H3K9ac_Trynka.extend.500.bedL2_0 1.74365694022767 0.000103178772699127 1.63556613240883 0.0044901859756008 1.55822232426874 0.00826968325682161 1.65319880228149 0.000114195697001549
