factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.UC_pwy79_pc4 2 2 0.013 -0.957 1 0.029
EUR.UC_pwy86_pc2 2 1 0.932 -0.1 0.011 0.758
EUR.UC_pwy99_pc4 3 3 0.003 0.818 0.995 0.012
HDL_pwy120_pc2 2 2 0.058 0.16 0.992 0.128
HDL_pwy138_pc5 2 2 0.148 -0.2 0.947 0.267
HDL_pwy177_pc1 2 2 0.405 0.361 0.647 0.539
HDL_pwy194_pc1 3 3 0.014 -0.233 0.972 0.037
HDL_pwy219_pc1 2 2 0.982 -0.005 0.001 0.97
HDL_pwy245_pc4 2 2 0.906 -0.018 0.022 0.767
HDL_pwy270_pc1 2 2 0.341 -0.44 0.739 0.506
HDL_pwy275_pc5 2 2 0.873 -0.017 0.039 0.733
HDL_pwy320_pc3 2 1 0.675 0.037 0.239 0.631
HDL_pwy321_pc5 2 1 0.742 0.034 0.155 0.645
HDL_pwy325_pc4 2 1 0.73 0.035 0.169 0.639
HDL_pwy55_pc1 2 2 0.641 -0.137 0.286 0.55
LDL_pwy118_pc3 3 3 0.551 0.143 0.201 0.527
LDL_pwy149_pc3 2 2 0.196 0.512 0.909 0.288
LDL_pwy156_pc2 2 2 0.18 0.181 0.922 0.219
LDL_pwy156_pc5 2 1 0.048 -0.106 0.994 0.074
LDL_pwy159_pc2 2 2 0.32 -0.692 0.768 0.402
LDL_pwy15_pc2 2 2 0.191 0.116 0.912 0.301
LDL_pwy186_pc1 2 2 0.694 -0.092 0.214 0.591
LDL_pwy242_pc5 2 2 0.352 0.7 0.724 0.42
LDL_pwy243_pc5 2 2 0.796 0.079 0.099 0.662
LDL_pwy284_pc4 3 2 0.468 0.098 0.283 0.458
LDL_pwy308_pc3 2 1 0.552 -0.162 0.419 0.545
LDL_pwy327_pc2 2 2 0.784 -0.107 0.111 0.652
LDL_pwy3_pc5 2 2 0.748 -0.198 0.149 0.625
LDL_pwy72_pc2 2 2 0.067 -0.178 0.989 0.111
