factors	hsq	SE	zscore	pval	qvalues
pwy1_pc1	0.168318	0.731288	0.230166500749363	0.817962391592673	0.999999286025314
pwy1_pc2	1e-06	0.811235	1.23268843183541e-06	0.999999016456932	0.999999286025314
pwy1_pc3	0.999999	0.719683	1.3894992656489	0.164680984072219	0.999999286025314
pwy1_pc4	0.777417	0.586539	1.32543104550593	0.185028225711601	0.999999286025314
pwy1_pc5	0.430049	0.701574	0.612977390838315	0.53989128934764	0.999999286025314
pwy10_pc1	0.206063	0.701569	0.293717367785635	0.768973881822446	0.999999286025314
pwy10_pc2	1e-06	0.89463	1.11778053496976e-06	0.999999108140169	0.999999286025314
pwy10_pc3	0.918932	0.770797	1.19218419376308	0.233189029739195	0.999999286025314
pwy10_pc4	1e-06	0.84107	1.18896167976506e-06	0.999999051345832	0.999999286025314
pwy10_pc5	1e-06	0.888865	1.12503023518757e-06	0.999999102355745	0.999999286025314
pwy100_pc1	0.255306	0.681887	0.37441100944878	0.708098553281284	0.999999286025314
pwy100_pc2	0.884728	0.737112	1.20026264665343	0.230037351882639	0.999999286025314
pwy100_pc3	0.999999	0.805804	1.24099532888891	0.214607474464562	0.999999286025314
pwy100_pc4	0.415143	0.778545	0.533229293104445	0.593874866257885	0.999999286025314
pwy100_pc5	0.999999	0.8412	1.18877674750357	0.234527530412432	0.999999286025314
pwy101_pc1	1e-06	0.780795	1.2807459064159e-06	0.999998978112615	0.999999286025314
pwy101_pc2	0.038329	0.884409	0.0433385458537848	0.965431664925641	0.999999286025314
pwy101_pc3	0.999999	0.799195	1.25125782818962	0.210840426147317	0.999999286025314
pwy101_pc4	1e-06	0.866904	1.15353026402001e-06	0.999999079616012	0.999999286025314
pwy101_pc5	0.41806	0.611528	0.683631820619824	0.494207685927518	0.999999286025314
pwy102_pc1	0.360256	0.680464	0.529426979237697	0.596509286707542	0.999999286025314
pwy102_pc2	0.999999	0.903749	1.10650080940615	0.268509813877951	0.999999286025314
pwy102_pc3	1e-06	0.931764	1.07323313628773e-06	0.99999914368385	0.999999286025314
pwy102_pc4	0.652422	0.621358	1.04999372342514	0.29372099850623	0.999999286025314
pwy102_pc5	0.604913	0.642074	0.942123493553703	0.34612941758836	0.999999286025314
pwy103_pc1	0.77245	0.625477	1.23497746519856	0.216838891039128	0.999999286025314
pwy103_pc2	0.28221	0.777486	0.362977597024255	0.716621619657851	0.999999286025314
pwy103_pc3	0.121884	0.898349	0.135675555936501	0.892077772544245	0.999999286025314
pwy103_pc4	0.135203	0.598492	0.225906110691538	0.82127444503046	0.999999286025314
pwy103_pc5	0.999999	0.699074	1.43046229726753	0.152584379402904	0.999999286025314
pwy104_pc1	1e-06	0.709008	1.41042132105703e-06	0.999998874646604	0.999999286025314
pwy104_pc2	1e-06	0.790949	1.26430401960177e-06	0.999998991231343	0.999999286025314
pwy104_pc3	1e-06	1.016411	9.83853972457992e-07	0.999999214998105	0.999999286025314
pwy104_pc4	0.999999	0.678159	1.47457897041844	0.14032577213062	0.999999286025314
pwy104_pc5	0.339163	0.67888	0.499591975017676	0.617362409650143	0.999999286025314
pwy105_pc1	1e-06	0.711096	1.40627988344752e-06	0.999998877950993	0.999999286025314
pwy105_pc2	0.999999	0.808814	1.23637696676863	0.216318473718107	0.999999286025314
pwy105_pc3	0.999999	0.661539	1.51162516495626	0.130629246083875	0.999999286025314
pwy105_pc4	0.937956	0.520651	1.80150619128745	0.0716231323364129	0.999999286025314
pwy105_pc5	0.678103	0.676601	1.00221991986414	0.316237389068559	0.999999286025314
pwy106_pc1	0.188057	0.695447	0.270411692048424	0.786843546097334	0.999999286025314
pwy106_pc2	0.768273	0.74208	1.03529673350582	0.300530354857674	0.999999286025314
pwy106_pc3	0.999999	0.823117	1.21489290100921	0.224406941706292	0.999999286025314
pwy106_pc4	1e-06	0.840219	1.19016589722441e-06	0.999999050385006	0.999999286025314
pwy106_pc5	0.650897	0.751912	0.865655821425911	0.386678933855666	0.999999286025314
pwy107_pc1	0.279817	0.673276	0.415605190144903	0.67769892817917	0.999999286025314
pwy107_pc2	0.999999	0.682743	1.46467851006894	0.143008650731954	0.999999286025314
pwy107_pc3	0.026875	0.839323	0.0320198540966946	0.974456217735091	0.999999286025314
pwy107_pc4	0.999999	0.575507	1.73759658874697	0.0822819213400747	0.999999286025314
pwy107_pc5	0.18019	0.874586	0.206028909678408	0.836768329057425	0.999999286025314
pwy108_pc1	1e-06	0.931679	1.07333105071597e-06	0.999999143605726	0.999999286025314
pwy108_pc2	0.049694	0.66119	0.0751584264734796	0.940088661623893	0.999999286025314
pwy108_pc3	0.848385	0.595966	1.42354597409919	0.154577944626954	0.999999286025314
pwy108_pc4	1e-06	0.897913	1.11369364292532e-06	0.999999111401037	0.999999286025314
pwy108_pc5	1e-06	0.756436	1.3219889058691e-06	0.999998945205463	0.999999286025314
pwy109_pc1	0.238344	0.72276	0.329769217997676	0.741574347950723	0.999999286025314
pwy109_pc2	0.347018	0.737731	0.470385547035437	0.638079588197321	0.999999286025314
pwy109_pc3	0.089154	0.829353	0.107498254663575	0.914393709877183	0.999999286025314
pwy109_pc4	0.970249	0.707447	1.37147941824617	0.17022555520048	0.999999286025314
pwy109_pc5	1e-06	0.812953	1.23008341195616e-06	0.999999018535437	0.999999286025314
pwy11_pc1	0.881686	0.606309	1.4541859019081	0.14589477256111	0.999999286025314
pwy11_pc2	1e-06	0.867823	1.15230870811214e-06	0.999999080590673	0.999999286025314
pwy11_pc3	1e-06	0.867105	1.15326286897204e-06	0.999999079829362	0.999999286025314
