factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy1014_pc3 2 2 0.88 0.141 0.035 0.712
EUR.IBD_pwy1034_pc3 3 3 0.557 0.195 0.196 0.407
EUR.IBD_pwy1038_pc4 3 3 0.701 0.172 0.089 0.707
EUR.IBD_pwy1039_pc4 2 2 0.12 1.009 0.965 0.382
EUR.IBD_pwy1040_pc4 2 2 0.12 1.009 0.965 0.382
EUR.IBD_pwy1043_pc3 2 2 0.335 -0.4 0.748 0.409
EUR.IBD_pwy1044_pc3 2 1 0.798 0.266 0.097 0.521
EUR.IBD_pwy1059_pc1 3 3 0.307 1.18 0.48 0.273
EUR.IBD_pwy1064_pc4 4 4 0.897 -0.057 0.007 0.87
EUR.IBD_pwy1071_pc5 3 3 0.396 -0.446 0.364 0.326
EUR.IBD_pwy1074_pc5 2 2 0.984 0.019 0.001 0.973
EUR.IBD_pwy1076_pc4 2 2 0.129 -0.715 0.959 0.06
EUR.IBD_pwy1081_pc2 2 2 0.951 -0.083 0.006 0.81
EUR.IBD_pwy1082_pc4 3 3 0.755 -0.142 0.06 0.79
EUR.IBD_pwy1083_pc4 4 4 0.476 -0.28 0.181 0.497
EUR.IBD_pwy1098_pc1 2 2 0.013 1.217 1 0.065
EUR.IBD_pwy110_pc3 2 2 0.564 -0.303 0.4 0.495
EUR.IBD_pwy1117_pc1 2 2 0.023 0.625 0.999 0.056
EUR.IBD_pwy1117_pc4 4 4 0.47 0.242 0.185 0.476
EUR.IBD_pwy1118_pc4 3 3 0.379 0.283 0.386 0.336
EUR.IBD_pwy1129_pc3 2 2 0.02 -0.944 0.999 0.04
EUR.IBD_pwy1136_pc3 3 3 0.566 0.189 0.188 0.435
EUR.IBD_pwy1140_pc4 2 2 0.078 -0.756 0.985 0.01
EUR.IBD_pwy1141_pc4 2 2 0.059 -0.788 0.991 0.204
EUR.IBD_pwy1145_pc4 2 2 0.959 -0.045 0.004 0.877
EUR.IBD_pwy1152_pc5 2 2 0.888 -0.114 0.031 0.623
EUR.IBD_pwy1158_pc5 2 2 0.07 0.467 0.988 0.089
EUR.IBD_pwy1161_pc2 2 2 0.807 0.182 0.089 0.594
EUR.IBD_pwy1171_pc4 2 2 0.12 1.008 0.965 0.382
EUR.IBD_pwy1174_pc3 4 4 0.15 0.589 0.553 0.144
EUR.IBD_pwy1175_pc3 2 2 0.435 0.719 0.601 0.462
EUR.IBD_pwy117_pc4 2 2 0.886 0.076 0.032 0.741
EUR.IBD_pwy1182_pc4 2 2 0.861 -0.116 0.047 0.771
EUR.IBD_pwy1195_pc4 2 2 0.954 -0.041 0.005 0.87
EUR.IBD_pwy1198_pc2 2 2 0.988 0.02 0 0.962
EUR.IBD_pwy119_pc4 2 2 0.891 0.072 0.029 0.745
EUR.IBD_pwy1210_pc3 3 3 0.786 0.108 0.046 0.78
EUR.IBD_pwy1213_pc1 2 2 0.007 1.136 1 0
EUR.IBD_pwy1217_pc2 2 2 0.907 0.097 0.021 0.8
EUR.IBD_pwy1218_pc2 2 2 0.907 0.097 0.021 0.8
EUR.IBD_pwy122_pc4 2 2 0.968 -0.028 0.002 0.95
EUR.IBD_pwy123_pc4 2 2 0.944 0.047 0.008 0.935
EUR.IBD_pwy124_pc4 2 2 0.889 0.124 0.03 0.627
EUR.IBD_pwy12_pc4 2 2 0.12 1.008 0.965 0.382
EUR.IBD_pwy131_pc2 2 2 0.2 0.756 0.905 0.329
EUR.IBD_pwy139_pc4 2 2 0.93 -0.096 0.012 0.912
EUR.IBD_pwy149_pc1 2 2 0.258 0.612 0.845 0.444
EUR.IBD_pwy14_pc4 2 2 0.989 0.012 0 0.978
EUR.IBD_pwy154_pc5 2 2 0.886 0.133 0.032 0.705
EUR.IBD_pwy156_pc5 2 2 0.013 0.969 1 0.004
EUR.IBD_pwy164_pc5 2 2 0.005 -1.402 1 0.018
EUR.IBD_pwy183_pc5 2 2 0.986 -0.036 0 0.974
EUR.IBD_pwy18_pc4 2 2 0.977 -0.025 0.001 0.96
EUR.IBD_pwy198_pc2 3 3 0.616 -0.409 0.148 0.548
EUR.IBD_pwy19_pc4 2 2 0.984 -0.017 0.001 0.971
EUR.IBD_pwy201_pc4 2 2 0.999 -0.001 0 0.995
EUR.IBD_pwy203_pc4 2 2 0.985 -0.016 0.001 0.973
EUR.IBD_pwy208_pc1 2 2 0.221 -0.718 0.884 0.414
EUR.IBD_pwy208_pc4 2 2 0.149 -0.561 0.947 0.352
EUR.IBD_pwy20_pc1 2 2 0.912 -0.182 0.019 0.692
EUR.IBD_pwy20_pc3 2 2 0.018 -0.647 0.999 0.042
EUR.IBD_pwy211_pc2 2 2 0.07 0.687 0.988 0.24
EUR.IBD_pwy212_pc3 2 2 0.538 0.282 0.44 0.493
EUR.IBD_pwy216_pc1 2 2 0.801 0.155 0.095 0.678
EUR.IBD_pwy218_pc2 2 2 0.865 0.237 0.044 0.672
EUR.IBD_pwy218_pc3 2 2 0.915 -0.11 0.018 0.776
EUR.IBD_pwy224_pc5 2 2 0.096 0.669 0.978 0.326
EUR.IBD_pwy231_pc4 2 2 0.479 -0.639 0.533 0.464
EUR.IBD_pwy232_pc4 2 2 0.479 -0.639 0.533 0.464
EUR.IBD_pwy233_pc2 3 3 0.662 -0.139 0.114 0.646
EUR.IBD_pwy242_pc5 2 2 0.546 -0.232 0.428 0.493
EUR.IBD_pwy249_pc2 2 2 0.846 -0.251 0.058 0.581
EUR.IBD_pwy251_pc1 2 2 0.534 -0.214 0.447 0.58
EUR.IBD_pwy254_pc1 2 2 0.531 -0.22 0.451 0.58
EUR.IBD_pwy274_pc3 2 2 0.025 -0.799 0.998 0.074
EUR.IBD_pwy27_pc4 2 2 0.12 1.008 0.965 0.382
EUR.IBD_pwy281_pc4 2 2 0.979 -0.018 0.001 0.942
EUR.IBD_pwy283_pc4 3 3 0.706 0.181 0.087 0.713
EUR.IBD_pwy287_pc1 2 2 0.762 0.176 0.133 0.66
EUR.IBD_pwy305_pc3 3 3 0.071 -0.935 0.862 0.116
EUR.IBD_pwy306_pc4 2 2 0.899 0.064 0.025 0.755
EUR.IBD_pwy307_pc4 2 2 0.883 -0.073 0.034 0.741
EUR.IBD_pwy310_pc4 3 3 0.72 -0.325 0.078 0.739
EUR.IBD_pwy312_pc3 2 2 0.898 -0.103 0.025 0.661
EUR.IBD_pwy316_pc4 2 2 0.871 -0.08 0.041 0.733
