factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_pwy258_pc2 2 2 0.653 -0.073 0.269 0.534
allergy_pwy266_pc2 2 2 0.896 0.024 0.026 0.761
allergy_pwy280_pc2 2 2 0.126 -0.18 0.962 0.281
allergy_pwy311_pc4 2 2 0.93 -0.013 0.012 0.833
allergy_pwy321_pc1 2 2 0.928 -0.022 0.013 0.783
allergy_pwy325_pc1 2 2 0.935 -0.02 0.01 0.803
allergy_pwy326_pc1 2 2 0.957 0.016 0.005 0.878
allergy_pwy43_pc3 2 2 0.58 -0.137 0.376 0.503
allergy_pwy66_pc3 2 2 0.812 -0.053 0.085 0.655
allergy_pwy77_pc5 3 3 0.956 0.011 0.002 0.953
allergy_pwy88_pc5 2 2 0.776 0.04 0.118 0.637
allergy_pwy89_pc4 2 2 0.957 -0.009 0.005 0.853
baso_pwy135_pc5 2 2 0.074 -0.092 0.986 0.062
baso_pwy136_pc5 2 2 0.805 -0.015 0.091 0.683
baso_pwy159_pc4 2 2 0.422 0.067 0.622 0.413
baso_pwy178_pc4 2 2 0.032 0.065 0.997 0.112
baso_pwy190_pc1 2 2 0.35 -0.123 0.727 0.283
baso_pwy199_pc5 2 2 0.099 0.06 0.976 0.261
baso_pwy215_pc2 2 2 0.022 -0.099 0.999 0.074
baso_pwy217_pc2 2 2 0.978 -0.004 0.001 0.905
baso_pwy221_pc1 2 2 0.456 -0.125 0.569 0.467
baso_pwy231_pc2 2 2 0.901 0.019 0.024 0.734
baso_pwy235_pc1 2 2 0.156 0.137 0.941 0.376
baso_pwy240_pc1 3 3 0.035 0.154 0.932 0.152
baso_pwy241_pc1 2 2 0.818 0.06 0.08 0.6
baso_pwy246_pc1 5 5 0.634 -0.066 0.062 0.613
baso_pwy248_pc1 2 2 0.153 0.178 0.944 0.373
baso_pwy260_pc1 3 3 0.587 0.057 0.17 0.543
baso_pwy260_pc3 2 2 0.039 -0.117 0.996 0.017
baso_pwy262_pc3 2 2 0.029 0.062 0.998 0.101
baso_pwy26_pc3 2 2 0.226 0.265 0.879 0.371
baso_pwy271_pc1 2 2 0.95 -0.01 0.006 0.813
baso_pwy290_pc4 2 2 0.26 -0.155 0.842 0.461
baso_pwy298_pc1 2 2 0.952 0.009 0.006 0.866
baso_pwy298_pc4 2 2 0.078 -0.087 0.985 0.067
baso_pwy305_pc1 2 2 0.042 0.106 0.996 0.071
baso_pwy40_pc3 2 2 0.036 -0.102 0.997 0.077
baso_pwy70_pc1 3 3 0.128 -0.132 0.761 0.106
baso_pwy79_pc3 2 2 0.134 -0.09 0.956 0.28
baso_pwy86_pc3 2 2 0.484 -0.134 0.524 0.507
baso_pwy89_pc1 2 2 0.162 0.15 0.936 0.377
baso_pwy8_pc1 2 2 0.048 0.139 0.994 0.062
baso_pwy8_pc4 2 2 0.035 0.089 0.997 0.107
eo_pwy101_pc1 2 2 0.765 0.034 0.13 0.671
eo_pwy161_pc2 3 3 0.782 0.025 0.047 0.802
eo_pwy190_pc3 3 3 0.358 0.059 0.412 0.36
eo_pwy192_pc1 2 2 0.846 -0.029 0.058 0.689
eo_pwy211_pc3 3 3 0.828 0.02 0.03 0.821
eo_pwy215_pc3 2 2 0.058 0.072 0.992 0.145
eo_pwy236_pc2 4 4 0.906 -0.013 0.006 0.882
eo_pwy266_pc5 3 3 0.299 0.055 0.491 0.24
eo_pwy273_pc3 2 2 0.237 0.121 0.867 0.463
eo_pwy283_pc1 2 2 0.006 -0.134 1 0.014
eo_pwy285_pc4 2 2 0.149 -0.083 0.946 0.212
eo_pwy289_pc3 2 2 0.043 0.101 0.995 0.12
eo_pwy28_pc3 2 2 0.887 0.014 0.031 0.725
eo_pwy28_pc4 2 2 0.951 0.008 0.006 0.882
eo_pwy325_pc3 2 1 0.818 -0.051 0.08 0.609
eo_pwy4_pc1 2 2 0.038 0.169 0.996 0.079
eo_pwy50_pc3 2 2 0.979 0.003 0.001 0.946
eo_pwy52_pc4 2 2 0.114 -0.101 0.968 0.249
eo_pwy66_pc2 2 2 0.002 0.079 1 0.004
eo_pwy95_pc1 3 3 0.008 -0.106 0.984 0.05
gran_pwy102_pc1 2 2 0.964 -0.008 0.003 0.902
gran_pwy102_pc2 2 1 0.299 0.099 0.795 0.429
gran_pwy14_pc4 3 3 0.007 0.096 0.986 0.034
gran_pwy171_pc1 3 3 0.48 0.111 0.271 0.364
gran_pwy184_pc3 2 2 0.059 -0.08 0.992 0.044
gran_pwy21_pc1 2 2 0.951 -0.007 0.006 0.833
gran_pwy221_pc3 2 2 0.805 0.051 0.091 0.583
gran_pwy224_pc2 2 2 0.908 -0.02 0.021 0.763
gran_pwy284_pc4 2 2 0.11 -0.081 0.97 0.296
gran_pwy305_pc4 2 2 0.043 -0.073 0.996 0.115
gran_pwy317_pc3 3 3 0.334 -0.083 0.444 0.273
gran_pwy321_pc5 2 1 0.058 0.112 0.992 0.079
gran_pwy326_pc5 2 1 0.725 0.07 0.175 0.544
gran_pwy46_pc3 2 2 0.133 0.088 0.957 0.313
gran_pwy71_pc2 2 2 0.998 0 0 0.996
gran_pwy71_pc3 2 2 0.933 -0.011 0.011 0.787
gran_pwy77_pc1 3 3 0.011 0.125 0.978 0.09
gran_pwy78_pc2 2 2 0.921 -0.007 0.015 0.803
gran_pwy7_pc1 2 2 0.975 -0.002 0.002 0.913
gran_pwy7_pc2 2 2 0.929 0.009 0.012 0.784
gran_pwy98_pc5 2 2 0.034 0.128 0.997 0.116
hct_pwy122_pc5 2 2 0.918 -0.008 0.017 0.759
hct_pwy199_pc3 2 2 0.117 -0.076 0.967 0.29
hct_pwy210_pc2 2 2 0.856 -0.029 0.051 0.659
hct_pwy213_pc2 2 2 0.857 -0.037 0.049 0.639
hct_pwy229_pc1 2 2 0.787 0.037 0.108 0.695
hct_pwy234_pc4 2 2 0.974 -0.004 0.002 0.882
hct_pwy235_pc1 2 2 0.003 0.155 1 0.008
hct_pwy240_pc3 2 2 0.721 0.037 0.18 0.562
hct_pwy253_pc3 2 2 0.919 -0.01 0.016 0.743
hct_pwy259_pc5 2 2 0.071 0.082 0.988 0.057
hct_pwy29_pc4 2 2 0.032 -0.107 0.997 0.057
hct_pwy36_pc4 2 2 0.149 0.075 0.946 0.22
hct_pwy4_pc4 2 2 0.28 0.258 0.818 0.461
hgb_pwy101_pc2 2 0 0.826 -0.028 0.073 0.673
hgb_pwy112_pc5 3 3 0.205 0.048 0.631 0.249
hgb_pwy144_pc4 2 1 0.617 0.052 0.321 0.552
hgb_pwy159_pc3 2 2 0.154 0.082 0.942 0.229
hgb_pwy15_pc5 2 2 0.889 -0.016 0.03 0.719
hgb_pwy171_pc1 2 2 0.942 0.012 0.008 0.84
hgb_pwy185_pc5 2 2 0.951 -0.006 0.006 0.852
hgb_pwy210_pc2 2 2 0.91 -0.02 0.02 0.771
hgb_pwy213_pc2 2 2 0.814 0.042 0.083 0.664
hgb_pwy219_pc5 2 2 0.015 0.066 0.999 0.008
hgb_pwy229_pc1 2 2 0.679 0.053 0.233 0.568
hgb_pwy235_pc1 2 2 0.005 0.141 1 0.012
hgb_pwy238_pc4 2 1 0.954 0.005 0.005 0.868
hgb_pwy259_pc5 2 2 0.01 0.076 1 0.007
hgb_pwy260_pc1 2 2 0.49 -0.109 0.515 0.509
hgb_pwy266_pc4 2 2 0.894 0.013 0.028 0.727
hgb_pwy275_pc5 2 1 0.084 -0.081 0.983 0.107
hgb_pwy278_pc4 2 2 0.124 -0.128 0.963 0.353
hgb_pwy282_pc4 2 2 0.028 0.044 0.998 0.085
