factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_pwy964_pc1 2 2 0.16 0.135 0.938 0.308
HDL_pwy96_pc3 2 2 0.714 0.068 0.189 0.549
HDL_pwy972_pc5 2 2 0.932 -0.014 0.011 0.884
HDL_pwy980_pc1 2 2 0.108 -0.132 0.972 0.172
HDL_pwy989_pc1 2 2 0.597 -0.05 0.35 0.606
HDL_pwy9_pc4 3 3 0.143 -0.145 0.734 0.201
LDL_pwy1017_pc3 2 2 0.061 0.045 0.991 0.132
LDL_pwy101_pc2 2 1 0.51 0.176 0.485 0.511
LDL_pwy1025_pc1 3 3 0.406 0.103 0.353 0.316
LDL_pwy1071_pc3 2 2 0.75 -0.042 0.146 0.627
LDL_pwy1098_pc4 2 2 0.279 -0.135 0.82 0.366
LDL_pwy109_pc5 2 2 0.923 0.011 0.015 0.859
LDL_pwy1109_pc4 2 2 0.527 -0.278 0.457 0.518
LDL_pwy1113_pc4 2 2 0.209 -0.186 0.896 0.32
LDL_pwy1139_pc4 2 2 0.725 0.072 0.175 0.624
LDL_pwy1152_pc5 2 2 0.042 -0.087 0.996 0.08
LDL_pwy1186_pc2 2 1 0.017 0.081 0.999 0.036
LDL_pwy1207_pc1 2 2 0.13 -0.543 0.959 0.084
LDL_pwy1216_pc4 2 2 0.634 -0.071 0.295 0.551
LDL_pwy1229_pc2 2 2 0.257 0.109 0.846 0.371
LDL_pwy1258_pc1 3 3 0.083 0.359 0.841 0.165
LDL_pwy1259_pc1 3 3 0.083 0.359 0.841 0.165
LDL_pwy125_pc4 2 2 0.08 -0.107 0.984 0.155
LDL_pwy147_pc4 3 3 0.957 0.004 0.002 0.965
LDL_pwy169_pc2 2 2 0.728 -0.097 0.172 0.604
LDL_pwy183_pc4 2 2 0.802 0.055 0.093 0.674
LDL_pwy189_pc5 2 2 0.83 -0.042 0.07 0.728
LDL_pwy202_pc2 2 2 0.224 -0.12 0.882 0.318
LDL_pwy228_pc3 2 2 0.577 0.061 0.38 0.546
LDL_pwy231_pc5 2 2 0.668 0.044 0.248 0.584
LDL_pwy247_pc3 2 2 0.189 -0.082 0.914 0.24
LDL_pwy270_pc5 2 2 0.657 -0.067 0.264 0.561
LDL_pwy2_pc3 3 3 0.9 0.014 0.01 0.918
LDL_pwy321_pc2 2 2 0.983 0.002 0.001 0.97
LDL_pwy343_pc3 2 2 0.773 -0.051 0.122 0.655
LDL_pwy344_pc3 2 2 0.773 -0.051 0.122 0.655
LDL_pwy355_pc3 2 2 0.815 0.054 0.082 0.753
LDL_pwy356_pc5 2 2 0.149 0.185 0.946 0.252
LDL_pwy358_pc2 2 2 0.991 0.002 0 0.993
LDL_pwy394_pc1 3 3 0.912 0.018 0.008 0.926
LDL_pwy397_pc4 2 2 0.774 0.052 0.121 0.643
LDL_pwy40_pc2 2 2 0.002 -0.091 1 0.004
LDL_pwy411_pc3 2 2 0.22 0.507 0.886 0.299
LDL_pwy415_pc5 2 1 0.514 0.18 0.479 0.513
LDL_pwy436_pc4 2 2 0.219 0.275 0.886 0.321
LDL_pwy458_pc4 2 1 0.42 -0.188 0.624 0.46
LDL_pwy473_pc2 2 2 0.075 -0.078 0.986 0.129
LDL_pwy474_pc4 2 2 0.035 0.097 0.997 0.069
LDL_pwy480_pc4 2 2 0.803 0.035 0.093 0.675
LDL_pwy503_pc4 2 1 0.657 -0.056 0.263 0.576
LDL_pwy505_pc4 2 2 0.059 0.062 0.992 0.057
LDL_pwy543_pc5 2 2 0.028 0.074 0.998 0.047
LDL_pwy554_pc4 3 3 0.086 0.121 0.835 0.133
LDL_pwy555_pc4 3 3 0.086 0.121 0.835 0.133
LDL_pwy562_pc4 2 2 0.76 -0.054 0.135 0.632
LDL_pwy56_pc1 2 2 0.166 -0.344 0.934 0.147
LDL_pwy583_pc1 2 2 0.233 0.466 0.872 0.323
