factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy156_peer2 2 2 0.073 -0.955 0.144 -0.960641496808859 7.51399838919173e-25 0.423
pwy177_peer5 2 2 0.201 1.121 0.33 1.1072279326747 6.9740337382438e-31 0.303
pwy203_peer4 2 2 0.008 0.706 0.022 0.708075275759558 1.59769838001927e-16 0.586
pwy26_peer2 2 2 0.102 -0.897 0.189 -0.921174175693105 7.1758288227587e-25 0.46
pwy290_peer5 2 2 0.071 0.761 0.144 0.773785296774664 1.60555353626645e-18 0.527
pwy45_peer2 2 2 0.591 -0.341 0.56 -0.0672229946660139 0.2919704250194 0.856
pwy90_peer5 2 2 0.001 -0.88 0.008 -0.8802183182931 2.55984882131225e-15 0.625
pwy105_peer4 3 3 0.686 0.049 0.692 0.0184674475383669 0.15068486734272 0.925
pwy11_peer3 2 2 0.071 -0.143 0.126 -0.147857844315086 6.35445478382022e-19 0.505
pwy133_peer1 2 2 0.044 -0.103 0.078 -0.10345031373694 4.47021273640235e-15 0.399
pwy134_peer4 2 2 0.116 -0.163 0.183 -0.154482273607511 1.13791650352336e-30 0.317
pwy159_peer5 2 2 0.1 -0.215 0.201 -0.215566311194079 1.04083539085086e-54 0.227
pwy16_peer2 2 2 0.056 -0.181 0.061 -0.15316102142677 1.22062882940711e-15 0.254
pwy169_peer3 3 3 0.346 0.081 0.315 0.0433909600084378 0.000220982127632443 0.724
pwy176_peer3 2 2 0.526 0.121 0.499 0.0225160476892027 0.124670072955094 0.736
pwy178_peer3 3 3 0.006 -0.128 0.012 -0.137969201874822 1.72435144365886e-33 0.268
pwy178_peer4 2 2 0.765 0.083 0.601 0.0775811630789447 3.85201787557866e-08 0.628
pwy180_peer4 2 2 0.261 0.179 0.188 0.0277357303234692 0.0761547497679445 0.964
pwy190_peer4 2 2 0.149 -0.164 0.239 -0.141197391541821 2.75748255187154e-24 0.044
pwy193_peer5 11 11 0 0.06 0 0.0639347989605322 2.4917962683673e-07 0
pwy196_peer4 2 2 0.961 0.008 0.921 0.0132652804237157 0.360857054002565 0.902
pwy197_peer3 2 2 0.15 0.235 0.29 0.234360365445688 2.31366098371431e-62 0.18
pwy209_peer5 4 4 0.684 -0.041 0.676 0.00168958844073693 0.986938433806537 0.991
pwy212_peer4 2 2 0.023 -0.13 0.025 -0.13336732152604 3.56429284405405e-18 0.373
pwy225_peer5 2 2 0.056 -0.216 0.115 -0.218387007470399 6.64857174436283e-40 0.273
pwy231_peer3 2 2 0.381 0.126 0.358 0.00416344191060566 0.785444969073544 0.996
pwy235_peer5 4 4 0.966 -0.007 0.963 -0.0161037783921711 0.914950208038245 0.916
pwy238_peer3 2 2 0.053 -0.144 0.105 -0.143221168064832 2.68709699531977e-22 0.435
pwy257_peer3 2 2 0.013 -0.128 0.013 -0.125704687530646 6.7627523719392e-19 0.367
pwy258_peer2 2 2 0.042 -0.402 0.076 -0.404962291529284 4.41378573903639e-15 0.398
pwy258_peer4 4 4 0.463 0.063 0.45 -0.0385351956873277 0.684389692360357 0.708
pwy26_peer4 2 2 0.089 0.141 0.182 0.141139960340825 2.0917109327349e-25 0.419
pwy283_peer3 2 2 0.035 0.116 0.037 0.121113363855654 3.9827626870812e-18 0.367
pwy284_peer4 2 2 0.028 -0.122 0.029 -0.126008068771054 3.70607713260527e-18 0.369
pwy297_peer3 3 3 0.007 -0.104 0.02 -0.107036603427579 2.0093353742153e-26 0.294
pwy301_peer3 2 2 0.127 -0.213 0.246 -0.212488735489628 2.45033835448149e-63 0.18
pwy305_peer4 2 2 0.217 0.206 0.374 0.220032266726138 1.43020120290807e-53 0.175
pwy311_peer3 2 2 0.942 0.014 0.883 0.0341915394468325 0.0168553927595924 0.763
pwy320_peer2 2 2 0.082 0.116 0.052 0.141526918157368 9.95488036197367e-22 0.131
pwy320_peer3 11 11 0 -0.059 0 -0.0629360375001126 1.51958968300066e-07 0
pwy321_peer3 3 3 0.018 -0.148 0.054 -0.153126811510205 6.78691678701474e-34 0.314
pwy325_peer5 4 4 0.916 -0.007 0.927 -0.0791894575120461 0.144766898051947 0.208
pwy326_peer4 10 10 0 0.06 0.001 0.0632772182859029 1.92825418802644e-07 0.001
pwy326_peer5 3 3 0.704 -0.037 0.728 0.0794544009867841 1.55437310695415e-14 0.477
pwy40_peer2 2 2 0.562 -0.067 0.535 -0.00623974342150173 0.640445460478029 0.961
pwy43_peer1 2 2 0.05 0.148 0.05 0.127214621552263 1.02516061512963e-15 0.243
pwy45_peer1 2 2 0.056 -0.152 0.061 -0.128286237286534 1.2205728160651e-15 0.254
pwy47_peer3 2 2 0.051 0.107 0.05 0.115118894490873 2.43983973635145e-20 0.31
pwy6_peer4 2 2 0.234 -0.256 0.397 -0.256335061332025 1.85817255832655e-50 0.235
pwy60_peer3 2 2 0.069 -0.132 0.072 -0.145861237599013 6.44946432755638e-21 0.284
pwy64_peer3 2 2 0.196 -0.22 0.32 -0.197134573314093 3.37385707728441e-36 0.268
pwy66_peer2 2 2 0.994 0.001 0.986 -0.00177612752732 0.905642248057479 0.982
pwy7_peer1 2 2 0.792 -0.064 0.791 0.123975799097404 1.03127106547231e-14 0.494
pwy85_peer4 2 2 0.84 0.032 0.709 0.00344916246155455 0.804106502623067 0.969
pwy97_peer3 3 3 0.506 0.099 0.419 0.0959826648907084 6.79537554806302e-17 0.495
pwy97_peer4 3 3 0.009 0.151 0.041 0.151967824399327 7.29064367272312e-41 0.332
pwy99_peer4 3 3 0.017 -0.151 0.07 -0.155299552306033 7.16279193420666e-39 0.33
pwy106_peer1 2 2 0.861 -0.052 0.763 -0.0205639766214873 0.234248746433227 0.904
pwy113_peer1 2 2 0.881 0.227 0.801 0.0686670322203599 0.433232889900689 0.945
pwy121_peer1 2 2 0.858 -0.155 0.757 -0.0624991871093817 0.214630906748418 0.899
pwy124_peer1 2 2 0.872 -0.087 0.785 -0.0302572265740625 0.334488549623059 0.93
pwy131_peer1 2 2 0.883 -0.124 0.809 -0.0363858466809751 0.45160601138226 0.946
pwy134_peer1 2 2 0.875 -0.043 0.789 -0.0142513710869857 0.362258022735546 0.934
pwy136_peer1 2 2 0.874 0.128 0.786 0.0430029323940953 0.357059966265102 0.934
pwy137_peer1 2 2 0.874 -0.156 0.786 -0.0525029792887179 0.355069274851077 0.933
pwy142_peer1 2 2 0.885 0.153 0.817 0.0428527761285927 0.48135531571428 0.949
pwy143_peer1 2 2 0.885 0.234 0.817 0.0654858496010098 0.482804433291408 0.949
pwy144_peer1 2 2 0.889 -0.063 0.824 -0.0164934008224229 0.524639732828433 0.954
pwy151_peer1 2 2 0.875 -0.13 0.789 -0.0433667008402106 0.365927537212929 0.935
pwy152_peer1 3 3 0.217 0.168 0.192 0.0681289262305507 6.73591092653002e-06 0.657
pwy153_peer1 2 2 0.903 -0.047 0.848 -0.00786355404852686 0.718344508287193 0.976
pwy154_peer1 2 2 0.89 -0.069 0.826 -0.0173850741120419 0.547103466195353 0.956
pwy155_peer1 2 2 0.895 0.12 0.835 0.0267210769206674 0.607473476244017 0.963
pwy157_peer1 2 2 0.88 -0.046 0.801 -0.0139937309452734 0.426531392842421 0.944
pwy158_peer1 2 2 0.861 0.067 0.765 0.026119825506439 0.241450343376043 0.909
pwy159_peer1 2 2 0.888 -0.162 0.823 -0.0430617562597524 0.515274023143675 0.952
pwy160_peer1 2 2 0.877 0.086 0.79 0.0279396501478488 0.385264451127812 0.94
pwy163_peer1 2 2 0.879 0.077 0.796 0.0239469310186683 0.411250156246322 0.944
pwy167_peer1 2 2 0.84 0.181 0.714 0.0844897636549093 0.108128763644751 0.862
pwy169_peer1 2 2 0.902 -0.058 0.845 -0.0101760122346959 0.703338763117312 0.974
pwy183_peer1 2 2 0.856 -0.206 0.754 -0.084894850796289 0.19883565168401 0.897
pwy187_peer1 2 2 0.838 -0.207 0.712 -0.0971931330788256 0.102415167523671 0.859
pwy193_peer1 2 2 0.226 0.166 0.138 0.227043926829146 1.64613460966394e-30 0.066
pwy194_peer1 2 2 0.871 -0.045 0.785 -0.0157773522473643 0.331185149445153 0.93
pwy198_peer1 2 2 0.876 -0.053 0.789 -0.0172941548492425 0.377140194776286 0.938
pwy2_peer1 2 2 0.877 -0.042 0.79 -0.0134518672154086 0.388482240104999 0.942
pwy203_peer1 2 2 0.892 -0.041 0.827 -0.00987230786457408 0.567269574317723 0.957
pwy205_peer1 2 2 0.912 -0.064 0.868 -0.00590342472041063 0.858081064701871 0.991
pwy206_peer1 2 2 0.004 0.138 0.007 0.137944805458074 2.21357593020175e-21 0.509
pwy210_peer1 2 2 0.885 -0.098 0.817 -0.027787621609761 0.477867746739704 0.949
pwy213_peer1 2 2 0.891 -0.037 0.827 -0.00904943363150638 0.561866651774289 0.955
pwy218_peer1 2 2 0.898 -0.035 0.842 -0.0070182059933015 0.656798993434784 0.97
