factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
bmi_pwy165_pc5 3 3 0.311 -0.034 0.474 0.274
bmi_pwy166_pc4 2 2 0.647 0.027 0.278 0.556
bmi_pwy173_pc4 2 2 0.02 -0.079 0.999 0.057
bmi_pwy177_pc3 2 2 0.117 0.078 0.966 0.23
bmi_pwy178_pc3 2 2 0.088 0.094 0.981 0.144
bmi_pwy178_pc5 2 2 0.119 -0.107 0.966 0.234
bmi_pwy179_pc1 3 3 0.031 -0.184 0.94 0.137
bmi_pwy181_pc3 2 2 0.983 -0.002 0.001 0.959
bmi_pwy187_pc4 2 2 0.888 -0.018 0.031 0.729
bmi_pwy203_pc1 2 2 0.052 -0.138 0.993 0.118
bmi_pwy246_pc3 2 2 0.013 -0.096 1 0.025
bmi_pwy263_pc4 2 2 0.953 0.009 0.005 0.87
bmi_pwy283_pc3 2 2 0.966 0.004 0.003 0.917
bmi_pwy295_pc3 2 2 0.997 -0.001 0 0.998
bmi_pwy329_pc1 3 3 0.881 -0.016 0.014 0.877
bmi_pwy329_pc5 2 2 0.649 -0.031 0.275 0.563
bmi_pwy35_pc4 2 2 0.884 -0.024 0.033 0.733
bmi_pwy37_pc5 2 2 0.013 -0.25 1 0.033
bmi_pwy61_pc1 2 2 0.087 -0.165 0.981 0.219
bmi_pwy70_pc1 3 3 0.789 0.032 0.044 0.764
bmi_pwy70_pc5 2 2 0.825 -0.035 0.074 0.718
eo_pwy103_pc3 2 2 0.049 0.155 0.994 0.091
eo_pwy124_pc5 2 0 0.059 -0.085 0.991 0.108
eo_pwy133_pc1 2 2 0.338 -0.363 0.743 0.43
eo_pwy145_pc5 2 2 0.633 -0.115 0.297 0.489
eo_pwy148_pc5 2 2 0.13 0.103 0.959 0.175
eo_pwy152_pc4 3 3 0.275 0.099 0.526 0.281
eo_pwy165_pc4 2 2 0.613 0.039 0.327 0.549
eo_pwy174_pc2 2 2 0.007 0.065 1 0.015
eo_pwy176_pc3 2 2 0.093 0.124 0.979 0.186
eo_pwy178_pc3 3 3 0.048 0.117 0.906 0.151
eo_pwy183_pc2 2 2 0.117 0.194 0.966 0.189
eo_pwy185_pc3 3 3 0.366 0.069 0.402 0.336
eo_pwy185_pc5 2 0 0.723 0.024 0.178 0.635
eo_pwy188_pc1 2 2 0.7 0.089 0.206 0.608
eo_pwy190_pc3 2 2 0.559 0.095 0.408 0.559
eo_pwy192_pc3 2 2 0.588 0.065 0.363 0.538
eo_pwy193_pc4 2 0 0.916 0.014 0.017 0.839
eo_pwy193_pc5 9 0 0.07 -0.038 0.354 0.058
eo_pwy21_pc3 2 0 0.513 0.128 0.48 0.488
eo_pwy211_pc3 2 2 0.599 -0.065 0.347 0.538
eo_pwy213_pc5 2 2 0.02 -0.11 0.999 0.024
eo_pwy22_pc1 2 2 0.015 0.134 0.999 0.038
eo_pwy23_pc2 2 2 0.219 0.246 0.886 0.38
eo_pwy236_pc4 4 4 0.513 -0.048 0.154 0.511
eo_pwy238_pc2 2 0 0.112 0.099 0.969 0.22
eo_pwy238_pc3 2 0 0.952 0.008 0.006 0.911
eo_pwy238_pc5 9 0 0.031 0.039 0.459 0.034
eo_pwy248_pc1 3 3 0.665 -0.064 0.112 0.664
eo_pwy252_pc1 2 2 0.326 0.106 0.76 0.238
eo_pwy253_pc3 2 2 0.876 0.028 0.037 0.764
eo_pwy254_pc5 2 2 0.892 0.017 0.029 0.795
eo_pwy271_pc2 2 2 0.823 -0.06 0.075 0.693
eo_pwy272_pc4 3 0 0.719 -0.032 0.079 0.733
eo_pwy275_pc3 2 0 0.886 -0.018 0.032 0.779
eo_pwy282_pc4 2 0 0.026 0.073 0.998 0.017
eo_pwy285_pc3 2 2 0.761 0.024 0.134 0.661
eo_pwy288_pc1 2 2 0.974 0.006 0.002 0.955
eo_pwy288_pc4 3 0 0.396 0.084 0.365 0.376
eo_pwy292_pc3 3 3 0.016 0.082 0.968 0.014
eo_pwy301_pc3 2 2 0.574 -0.077 0.385 0.547
eo_pwy304_pc4 2 2 0.153 -0.151 0.943 0.286
eo_pwy306_pc4 2 2 0.815 -0.04 0.082 0.681
eo_pwy309_pc5 2 0 0.893 0.014 0.028 0.822
eo_pwy320_pc1 2 2 0.042 -0.068 0.996 0.097
eo_pwy320_pc3 7 0 0.097 0.035 0.391 0.077
eo_pwy321_pc2 2 0 0.076 -0.097 0.986 0.151
eo_pwy321_pc3 2 2 0.948 0.01 0.007 0.902
eo_pwy321_pc5 6 0 0.04 0.046 0.603 0.037
eo_pwy322_pc1 2 2 0.056 -0.105 0.992 0.122
eo_pwy322_pc4 3 0 0.605 0.054 0.156 0.536
eo_pwy324_pc4 2 0 0.051 -0.076 0.994 0.105
eo_pwy325_pc3 3 0 0.797 0.02 0.041 0.817
eo_pwy325_pc4 8 0 0.067 0.042 0.4 0.087
eo_pwy325_pc5 3 0 0.379 -0.083 0.385 0.34
eo_pwy326_pc4 8 0 0.069 -0.04 0.398 0.086
eo_pwy331_pc5 2 0 0.898 0.017 0.026 0.801
eo_pwy42_pc4 2 2 0.331 -0.151 0.753 0.266
eo_pwy52_pc3 2 2 0.961 -0.009 0.004 0.93
eo_pwy56_pc5 2 2 0.001 -0.106 1 0.003
eo_pwy57_pc5 2 0 0.046 -0.121 0.995 0.093
eo_pwy59_pc1 2 2 0.717 -0.043 0.185 0.717
eo_pwy7_pc3 2 0 0.92 -0.016 0.016 0.844
eo_pwy88_pc2 2 2 0.965 -0.009 0.003 0.924
eo_pwy95_pc3 3 3 0.004 0.176 0.992 0.017
EUR.CD_pwy110_pc3 2 2 0.221 1.63 0.884 0.43
EUR.CD_pwy148_pc2 2 2 0.684 0.672 0.226 0.548
EUR.CD_pwy154_pc2 2 2 0.029 1.275 0.998 0.079
EUR.CD_pwy166_pc5 3 3 0.011 0.854 0.978 0.032
EUR.CD_pwy170_pc3 2 0 0.698 -0.363 0.208 0.501
EUR.CD_pwy197_pc3 2 2 0.657 0.527 0.263 0.52
EUR.CD_pwy201_pc5 2 0 0.051 0.581 0.994 0.07
EUR.CD_pwy205_pc5 3 3 0.261 0.629 0.546 0.204
EUR.CD_pwy241_pc2 2 2 0.098 0.909 0.976 0.219
EUR.CD_pwy245_pc1 2 2 0.186 1.753 0.917 0.279
EUR.CD_pwy26_pc3 3 3 0.092 -1.158 0.824 0.038
