Category LV114-Enrichment LV114-Enrichment_p LV113-Enrichment LV113-Enrichment_p LV25-Enrichment LV25-Enrichment_p LV46-Enrichment LV46-Enrichment_p LV51-Enrichment LV51-Enrichment_p LV5-Enrichment LV5-Enrichment_p LV21-Enrichment LV21-Enrichment_p
baseL2_0 0.999999999999999 NA 1 NA 1 NA 1 NA 1 NA 1 NA 0.999999999999999 NA
Coding_UCSC.bedL2_0 -6.139315981055 0.000896311015612212 -1.00420486556614 0.335384230040719 0.0116704925225698 0.571093888731007 -0.381347881685205 0.729497261598602 -1.88737568277663 0.107825393587834 -0.875618229116106 0.210852600702502 -7.28107670063916 0.00135788482575734
Coding_UCSC.extend.500.bedL2_0 0.776934884623547 0.566222867374588 0.467365511511297 0.171235911455174 0.43387861380729 0.240042640642443 0.408243719503898 0.339089638869889 0.521831253239728 0.321213593329813 0.972005796466516 0.943143017467426 0.985016560284751 0.972103136870772
Conserved_LindbladToh.bedL2_0 -1.49164140070443 0.116707523288898 -1.43143334405692 0.111202409143966 0.978869220764086 0.988564667054117 -0.128045744319419 0.567405171617502 -0.897865207409408 0.315259192623998 1.38601691233592 0.791062713334255 -2.58025713752622 0.0646435207104053
Conserved_LindbladToh.extend.500.bedL2_0 1.42286161762965 0.000194586002750808 1.41775982624091 0.00064655394493831 1.16516067257565 0.296166423389652 1.23490332909236 0.11574271789715 1.33058205923734 0.00977841339242165 1.32890541684216 0.00722844941202697 1.29065229345081 0.0503205477985067
CTCF_Hoffman.bedL2_0 4.80403800873601 0.00561849307837297 5.1637295556847 0.0155013973386078 1.25707872945698 0.882691197513052 -0.158328583387736 0.645854729668349 1.90689015201286 0.654082528161076 2.78592577708244 0.312169571086702 3.13268026392233 0.350887871113954
CTCF_Hoffman.extend.500.bedL2_0 3.46742991973736 1.88399475992541e-05 2.96536897507391 0.000629553201594902 3.12929134860887 0.00161656424824309 2.63071847167312 0.0432403323100059 2.98050116222789 0.00733080501741795 2.2588416866067 0.0248339001329547 2.15340779463992 0.122731921350456
DGF_ENCODE.bedL2_0 1.12372526023715 0.863847741275922 2.22968395552517 0.146389018653208 0.45348093144749 0.488663130074987 1.11642588817298 0.886693726211635 1.51738209034909 0.562827354384202 1.5446194035729 0.41834178748494 0.28400813658648 0.38571262287595
DGF_ENCODE.extend.500.bedL2_0 1.65765726350295 2.33624852276357e-06 1.44255914785377 0.000137015204970099 1.44207492288664 0.000249497551494612 1.49446793361127 0.000771710288566923 1.54678174221632 1.22566445089233e-05 1.59173004064377 2.40227915777215e-07 1.67209302273568 5.00561032008377e-06
DHS_peaks_Trynka.bedL2_0 3.16177455665531 0.0116895686218976 2.13709242543421 0.203460319057747 0.204829130767617 0.4262128556124 0.964575687028644 0.971925327052531 1.86629419015056 0.438974871657952 2.9415848179952 0.0287853671841534 1.43271749066788 0.70043056937113
DHS_Trynka.bedL2_0 2.59680087673118 0.0180069716669621 1.97605504010295 0.147029039779864 1.71074972632446 0.274255731670478 1.63825934945841 0.43943079198349 1.86415425276867 0.192449352288036 2.02875365602713 0.146633880663285 1.15917533097576 0.845895129298036
DHS_Trynka.extend.500.bedL2_0 1.78487537773485 5.36497820326119e-10 1.65410438670406 1.04079008592863e-06 1.81166593557626 5.06409877165288e-08 1.64654876401633 0.000361716242028063 2.11700370022624 4.31596681188483e-16 1.73118903029486 3.12519122217805e-07 1.95572997835038 5.8698492438826e-12
Enhancer_Andersson.bedL2_0 0.130931538258049 0.833561871265419 -0.993007134443962 0.731532565472503 6.63681687393142 0.251277518105953 0.92842253380074 0.987349088371636 -2.41117393584527 0.520522360562596 1.1469343358565 0.971531664270379 3.01206305134842 0.648193827919666
Enhancer_Andersson.extend.500.bedL2_0 4.05175292934607 0.000279446271534581 3.35720826017984 0.0451092672997663 4.09043359994793 0.0100263594825734 3.11446877089927 0.0670043960051131 2.93421438576024 0.0892598672049341 5.12452795013791 2.26923904841176e-05 3.16452897800629 0.0690633946784728
Enhancer_Hoffman.bedL2_0 2.39085239272395 0.0854766925224577 1.10641501895684 0.905725271117924 1.97453036306582 0.415901061829216 2.17483257591536 0.156224818797806 3.36763583555644 0.0137335478071925 2.5660269702719 0.0636088572851064 1.21232241567318 0.836612591302516
Enhancer_Hoffman.extend.500.bedL2_0 1.94015893878728 0.0155889265236191 2.04717947862654 0.0100495532139332 1.61567294773722 0.162346005206228 0.918535926696534 0.873332084835689 2.40682147459129 0.000531968481786003 1.31892945158652 0.421057731549562 1.7503502911852 0.0817332357445704
FetalDHS_Trynka.bedL2_0 2.958641851832 0.0387497635990748 2.2265368580542 0.187930310717839 0.889767978712754 0.915645271264963 1.26563722456941 0.818029016753926 4.44329490724192 0.0072963877587536 1.67047861323688 0.498669992152802 2.20658171175995 0.273849290705613
FetalDHS_Trynka.extend.500.bedL2_0 2.78559504117247 2.56489545637179e-12 2.54345970569889 8.17799277693248e-10 2.50819754930184 2.05880761442163e-08 2.29988545894795 4.66343949827804e-06 2.91626067251774 9.95975731642622e-13 2.59954855086664 3.05067739619063e-12 2.75044184721272 4.65256481935104e-09
H3K27ac_Hnisz.bedL2_0 1.29056928658349 0.000274276033718924 1.30177664498515 0.000275402025047428 1.22437898258549 0.0153492825758674 1.3041993405109 0.00464749503893726 1.48201660276165 1.99889818130646e-06 1.42914284704329 4.77600313680613e-08 1.32804406133301 0.000355877671261553
