factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_pwy337_pc1 3 3 0.013 -0.042 0.974 0.04
HDL_pwy339_pc5 2 2 0.12 -0.103 0.965 0.217
HDL_pwy343_pc2 2 2 0.913 -0.022 0.018 0.845
HDL_pwy344_pc2 2 2 0.913 -0.022 0.018 0.845
HDL_pwy347_pc2 2 1 0.193 -0.114 0.911 0.323
HDL_pwy352_pc4 4 4 0.116 -0.112 0.615 0.137
HDL_pwy356_pc4 2 2 0.795 -0.038 0.1 0.665
HDL_pwy359_pc1 3 3 0.013 -0.043 0.973 0.042
HDL_pwy360_pc1 3 3 0.014 -0.042 0.973 0.042
HDL_pwy361_pc1 3 3 0.013 -0.04 0.974 0.04
HDL_pwy362_pc1 3 3 0.013 -0.04 0.975 0.039
HDL_pwy362_pc3 4 4 0.006 -0.156 0.942 0.028
HDL_pwy363_pc1 3 3 0.01 0.043 0.98 0.033
HDL_pwy367_pc1 2 2 0.736 0.044 0.163 0.591
HDL_pwy372_pc2 4 4 0.001 -0.084 0.985 0.004
HDL_pwy374_pc2 3 3 0.238 -0.062 0.581 0.255
HDL_pwy377_pc2 8 8 0.004 0.08 0.719 0.003
HDL_pwy37_pc1 2 2 0.87 0.016 0.041 0.771
HDL_pwy382_pc1 3 3 0.013 -0.044 0.974 0.04
HDL_pwy383_pc1 3 3 0.014 -0.042 0.972 0.046
HDL_pwy383_pc3 4 4 0 -0.067 0.989 0.002
HDL_pwy389_pc1 3 3 0.014 -0.041 0.973 0.044
HDL_pwy389_pc3 2 2 0.043 -0.082 0.995 0.093
HDL_pwy390_pc1 3 3 0.014 -0.041 0.972 0.046
HDL_pwy390_pc5 2 2 0.015 0.09 0.999 0.032
HDL_pwy398_pc4 2 2 0.994 -0.001 0 0.991
HDL_pwy3_pc1 3 3 0.013 -0.043 0.975 0.036
HDL_pwy43_pc1 3 3 0.014 -0.043 0.973 0.044
HDL_pwy455_pc1 6 6 0 -0.048 0.983 0
HDL_pwy455_pc5 3 3 0.021 0.068 0.958 0.069
HDL_pwy457_pc1 5 5 0 -0.045 0.98 0.003
HDL_pwy47_pc3 2 2 0.047 -0.157 0.995 0.103
HDL_pwy481_pc3 2 2 0.819 0.039 0.079 0.821
HDL_pwy482_pc4 5 5 0 0.107 0.999 0
HDL_pwy506_pc2 3 3 0.008 0.084 0.984 0.026
HDL_pwy530_pc4 2 2 0.111 -0.076 0.97 0.189
HDL_pwy533_pc1 3 3 0.008 0.077 0.985 0.02
HDL_pwy536_pc1 2 2 0.078 0.067 0.985 0.117
HDL_pwy538_pc1 3 3 0.011 -0.047 0.978 0.031
HDL_pwy53_pc2 2 2 0.022 0.079 0.999 0.035
HDL_pwy54_pc1 3 3 0.012 -0.045 0.977 0.034
HDL_pwy550_pc5 2 2 0.343 -0.134 0.737 0.468
HDL_pwy56_pc1 2 2 0.168 -0.111 0.932 0.281
HDL_pwy577_pc1 3 3 0.012 0.045 0.975 0.036
HDL_pwy578_pc4 6 6 0.001 0.083 0.925 0.002
HDL_pwy579_pc2 2 2 0.418 0.135 0.627 0.484
HDL_pwy579_pc3 3 3 0.017 -0.027 0.967 0.056
HDL_pwy57_pc3 3 3 0.002 0.095 0.995 0.007
HDL_pwy581_pc3 4 3 0.813 0.005 0.022 0.783
HDL_pwy584_pc1 2 2 0.014 -0.107 1 0.011
HDL_pwy597_pc5 2 2 0.939 0.006 0.009 0.895
HDL_pwy5_pc1 2 2 0.101 -0.045 0.975 0.191
HDL_pwy619_pc5 2 2 0.945 0.009 0.008 0.877
HDL_pwy629_pc2 2 2 0.734 -0.08 0.165 0.589
HDL_pwy639_pc1 3 3 0.012 -0.043 0.976 0.035
HDL_pwy648_pc1 2 1 0.864 -0.022 0.045 0.748
HDL_pwy649_pc2 2 2 0.537 0.08 0.441 0.541
HDL_pwy651_pc4 2 2 0.02 -0.057 0.999 0.037
HDL_pwy656_pc1 3 3 0.521 0.047 0.229 0.447
HDL_pwy657_pc1 3 3 0.011 -0.049 0.977 0.034
HDL_pwy657_pc2 3 3 0.574 -0.041 0.182 0.593
HDL_pwy65_pc1 3 2 0.354 -0.018 0.418 0.282
HDL_pwy65_pc3 2 2 0.085 -0.061 0.982 0.163
HDL_pwy661_pc5 2 2 0.086 0.104 0.982 0.167
HDL_pwy664_pc4 2 2 0.911 -0.02 0.02 0.818
HDL_pwy673_pc1 3 3 0.012 -0.041 0.977 0.035
HDL_pwy679_pc1 2 2 0.09 0.028 0.98 0.176
HDL_pwy685_pc1 2 1 0.957 -0.005 0.005 0.906
HDL_pwy700_pc2 3 3 0.005 -0.055 0.99 0.013
HDL_pwy703_pc5 2 2 0.83 -0.024 0.069 0.706
HDL_pwy714_pc1 2 2 0.736 0.044 0.163 0.591
HDL_pwy722_pc5 2 2 0.753 0.09 0.144 0.616
HDL_pwy728_pc1 2 2 0.103 -0.037 0.974 0.181
HDL_pwy737_pc1 3 3 0.012 -0.042 0.977 0.035
